review_title,review_body
Place to relax,"We discovered this place unintentionally because we took the wrong train. If you know/aware of Oylmpic in Korea previously, you would relate yourself with the area. A nice place for sightseeing."
A pleasure to visit always,"The park is easily accessible by subway (Mongchontoseong Station) on Line 8, near Jamsil. It is a large park with beautiful scenery. The best is to go there in the afternoon, take the path on the right and then walk anti-clockwise around the park. The alternative subway access is the Olympic Station (P550) but there is a lot walking to do ie from there to walk around the park to Mongchontoseong station."
Great to see an Olympic Park so well used many years after the games,I love the Olympics and have visited a number of Olympic cities over the years. How they use the park after the games varies a lot from country to county. Here in Seoul it was good to see the park so busy and well used although turning the former Olympic stadium into an O2 type venue has obviously helped. The Olympic gate and flame were worth seeing.
Passing by,This is a nice park now and it has lots of very modern sculptures. It could be a pace for a bit of respite from busy Seoul.
Olympic Park,"Easy to see on an electric scooter that can be hired in and around the park. None of the sporting venues are accessible to the public for a look in, but they are still standing. There is a Flag Plaza that is also a legacy of time as well as the Olympic Flame."
"20,000 steps ","take water it's a large park to visit. if you're up to a work out, walk uphill around the remains of an old fortbest part were the flags / olympic flame and the rose garden.off season without events, only the gate areas have food and beverages "
Real relaxation.,Very cozy park. The facilities of the Olympics are still beautiful and modern. I also found the names of the Hungarian Olympic champions on the board of glory..I highly recommend it for a full day outing!
Verte full,"Grulla, full, of people , what i liked is the gastronómic food that it has, mostly sea food, But its to crowded "
Iconic place to visit,"One of the places that we visit. My nephew loved it because he can run around. Quite far from our hotel, but reachable by train."
Really peaceful and huge,"This park is very relaxing and goo to spend a lazy time. I think Olympic Park is one of the most peaceful park in Seoul.- Close fom metro line #8 Mongchon Toseong(closer from main entrance) and #5 Olympic Park. - With mounds, tall trees and other installations, it's also good for a photoshoot.- Also, there are stadiums for events and sport games.- In late September, they have Hanseong Baekje Cultural Festival near Peace Gate. It is not to miss.- There's a pretty nice Korean buffet in the park. Good to try.- Lots of magpies."
Check it out,The place around the olympic park is really nice. There are a lot of festivals in this area and its easy to reach.
Venue for the TWICE concert,"I've been in the Olympic park before for a conference but this year it was the venue for my son's favorite girl group, TWICE. It was a coincidence that they were having a concert while we were on vacation in South Korea. So we watched it. The place is so wide that we were late in the concert. We walked and walked and walked until we reached the venue. The Olympic park is huge or should I say gigantic. We had to ask a lot of people before we arrived in the right venue.This place is good for concerts, shows and festivities. It's also a great place for exercise (gosh all that walking. It's also nice place for dining or have a simple picnic. I saw also photo shoots while I was walking towards the venue of the concert.I love the place. It's spacious and good all for all ages."
Good place for a run,I very much enjoyed going for a run in the area and then later taking a closer look at different aspects of the park. Examining the different flags and flags of countries that no longer exist was educational. The park is full of neat statues. Very family friendly-good place for a stroll. 
Must see,If you go to Seoul than you must see Olympic park. This place is just amazing and very well clean. you can enjoy a nice picnic or rent a bike. When I went the park was getting ready for I believe a Jazz Concert. 
Worth a visit,"We spent time here as part of our hop off, hop on City tour and really enjoyed exploring the various areas of the park. "
Great place to rest,Big park with hills and art objects. The mountains could be seen from the highest hill. Good place for a picnic. Tourists are rare.
Olympic Park,Its amazing that the area surrounding are still well maintained. The flame is still there! A good walk around the area. 
Having a valuable time with your people,"This park is known as the symbol of the Olympics 1988 in Seoul. It is very big and in the park there are many facilities for exercising such as sporting equipment, swimming pool, and bike road. Many people always come to the Olympic Park to exercise or walk. Also there is a big lake in the middle of the park, and it also has many trees, flowers and grasses, so that people can see great views of a natural environment. The best thing is that anyone can use this park anytime for free. For example, some familes come to have a great time with each other, some couples have a great date in the park, children ride a bicycle with their friends, Also even if you don't have enough time to look around this park, there is a train surrounding the park so you can see all parts of the park with it. In addition, there are many kinds of events. For example there are a lot of performances, art galleries, skating, or concerts. It is located in near Jam-sil Station so it's very convenient to move to another place. I strongly believe all people can get a great experience and valuable time in this park.."
Nice place to stroll around,"The park is very very big and clean. Saw mostly locals there, many with kids or elders. Nice place to walk around and enjoy the nature. Original purpose was to look for flower beds but couldn't find. Walking up to the tallest hill there can have a good view around too."
Worth paying a visit,"The Olympic Park is a very diverse place to start off, lots of trees and sub-nature but also a lot of facilities. You can really experience much in the Olympic Park touring the statues, buildings and more. One thing about the park overall is that the facilities are quite outdated, so if you are a type of person who likes fresh and all clean facilities, I do not recommend this place to you. For me, it was worth paying a visit and if you just want to enjoy your day walking around and touring why not pay a visit to the Olympic Park?"
Looks outdated ,I love Olympics and the spirit inspires. In this case it didn’t impressed me. I expected more. But happy because I got my selfie. 
a park with many contemporary statues,We went there to see the SOMA museum in 30 minutes. We spent 90 minutes look at all the statues outside in the park.
A lovely place to visit,"It's interesting and pretty. I was there in winter, so there was an ice rink with many people ice skating. There are some coffee shops nearby as well. It's really good for children as well as adults."
Let the games begin...,"This is where the 1988 summer olympics was held. Easy to go to because there are two subway stations to get here -Mongchontoseong and Olympic Park. You can see sports stadiums, forests and grassy fields. I highly recommend to check out the lone tree."
Lots to see,The only problem with this lovely park is that in sub zero temperatures it’s impossible to walk round all of it. There is a monument with lots of information about how the games came to Seoul as well as names of all the gold medal winners. The outdoor sculptures are excellent but the indoor display was a bit too modern for me.
Beautiful in autumn,"The Olympic Park is most beautiful in autumn, particularly towards sunset. There are two main entrances, Previously I came out from Metro station 813 on Line 8 (Monchontoseong) and could see the Olympic arch right in front of me. However this time I came out of the Olympic Park metro station P550, after changing at Gangdong on Line 5. A bit confused, I walked straight and then walked around the park in a counter-clockwise direction. It took a couple of hours of leisurely walk to get back to Monchongtoseong but it was worth the trouble. The scenery was really beautiful in autumn, all along the walk. At one point I was lost at a junction in the park. The sun was going down but I was still quite far away from the park entrance. The signs were all in Korean (no English); what a pity! Tried Google Map but it was not much help. Anyway, I gambled and took the uphill path on my right instead of the level walk on the left; fortunately it worked out. The path brought me to a bridge and the surrounding sunset scenery was fascinating. Further down, I recognized the large courtyard with many flags; the Monchontoseong station was right behind the Olympic arch. Actually there is a short-cut path between the two main entrances, but if you take this shortcut, you will miss most of the beautiful scenery."
A Vibrant Happening Place for All,"We visited on a fine autumn day. Autumn foliage was everywhere and made the park so beautiful. It is a big place, so it does not feel crowded. We started from the Mongchontoseong Station and took a nice walk at the road beside the park to enjoy the yellow trees there. Then we went back into the park towards the Peace Gate. While looking for cosmos flowers at the Wild Flowers Garden, I stumbled upon a field of beautiful pink muhly flowers instead and was so thrilled!"
Oasis in the City,"When i visited this park in early autumn on a weekend afternoon, it was a hub of activity, with young families taking a stroll and youths hanging around the entrance at the southern entrance of the park.It is a spacious park that makes for a nice stroll especially during sunset. Do set aside at least one hour to adequately cover the entire park along with stops to take photos. Best to reach here using the Seoul subway, alight at the Mongchontoseong (World Peace Station) station along the pink line."
Escape to green,This is one of the nearest to be in if you want to be in a place where full of trees. It could be crowded especially during a festival or an event. A great escape for couples where needs to spend alone time.
Not too exciting,Pretty place to visit however if you were at the 2018 winter Olympics there is no reason to attend. A great deal of walking and your time could be spent seeing more interesting things in Seoul.
the famous place,"Korea made Olympic park because of the Olympic game. 1988 in Korea there was Olympic game so they built it, but the people still using it very usefully. In the Olympic park there are concerts very often. such as singing concert or musical. also in the olympic park they made sports institution very well so many people can enjoy it freely. such as skate board or inline skate things. so around the olympic park always there are heavy traffic.so some people don't go to there because of the time spending. the most important thing is that you can see the 1980 style of the Korea."
"Large, Beautiful Park","We visited this park and easily could've spent the day wandering around but instead it was just a long morning but we did not get to see everything we wanted. With the fall foliage, this park is gorgeous and clean. They had some fitness classes going on during the time we were there as well as kids learning to skate. It was fun to people watch as music played from the speakers. We wish we could've stopped here one more time for a stroll before we left."
Big park in city.,"C ( 18.10.22 ) I visited this park on my way to promise. This park was famous and big one in Seoul city. So many people visited there. There was a bigger than I think, and good to enjoy walking. Good park in the city."
80s-style park,"Before PyeongChang Olympics, everything was about Seoul Olympics of 1988. This park is located a little far from the center, but Korean couples often visit here to take photos. Great locations to take a walk and enjoy the silence. Not many tourists are here, so why not blend in with locals?"
"A fun place with so many festivals, like Baekje Festival!","Hello, I live near the Olympic Park in Seoul. If you have any chance to visit Seoul in September or October, I strongly recommend you to go to Baekje Festival taking place at the Olympic park. Olympic park is so wide and always full of so many festivals or activities. In this Hansung Baekje Festival, not only you could experience and learn about Korea's history, but also eat different Korean food!When - October 12th-14thWhere - Olympic Park, Seoul, Korea (near Songpa-gu)Even though the festival will be finished today, I had so much fun at the festival, with so many things to see and try it myself! As the festival happens every year, you really should come here next year. Honestly, the parade, cultural experience, the food, everything I experienced here was so amazing. Can't even describe it with words haha. The festival happens around September or October every year. So those of you who are planning to visit Korea in fall, you SHOULD visit and enjoy this festival! Many services and experiences for foriegners will be prepared as well. Maybe you can even see me- if I work there as a staff or volunteer. Thanks for reading this. Hope to see you there next year! ;D"
A Must for Sports Fans,"What an experience to explore the location of the 1988 Summer Olympic Games, the site is expansive with several museums and outdoors art/sculpture. The flame is still burning and the Olympic spirit lives on 30 years later."
A big park that needs hour to walk,We went there on a weekday and the park was not crowded. The park is so large and it needs hours to walk. It is advised to wear good walking or jogging shoes.Pay attention to the lovely rabbits. You may find a few jumping around somewhere in the park!
Nice place to take walks,"This is a nice park with a lot of art pieces all over the place. We also went to the Museum in the park and enjoyed it quite a lot. Not too crowded either. And of course the gate is very impressive. Would recommend this for picnics, dates or just taking a stroll."
