review_title,review_body
Website update please,"Large extensive grounds, interesting stores including one selling clothes repurposed from other clothes. The exhibitions were, well contemporary and I'll leave it at that.Why the title? According to their website, the museum is supposed to open at 10:00 on Sunday, when I got there the sign said opens at noon, which is a bit frustrating on a hot sunny day."
Wonderful museum,Highly recommend visiting this wonderful museum. I had the chance to see a wonderful exhibition on Park Seobo and honestly I was amazed by it. I wish there would be a lot more discussion about modern contemporary Korean art.
Great Museum,The MMCA is a beautiful building is worth to visit only because of its Architecture the exhibitions i saw The Korean Artist price 2018 was pretty remarkable.
less than expected,"I used to be a frequent visitor to Seoul but recently have not had the opportunity to visit so I was excited to return to the city. Several friends suggested that I visit MMCA and raved about it. It was much less than my expectations. Building is interesting but exhibits were boring. Too much empty space to wander around. Perhaps it was the time I visited. It is quite a distance from even Insadong, although it looks much closer on the map.and is definitely a destination visit. I love modern art but unfortunately this is not one of the best museums I have found."
"Fantastic place to spend the day, wonderful exhibitions and lovely architecture.","MMCA is quite easy to get to, it's right next to the ancient palace Kyung Bok Gung. The area itself is artsy and even if the exhibitions are not to your taste, it wouldn't be half bad to just stroll the surrounding area after your visit to the MMCA.Anyway, I really enjoyed my visit to the museum, free entry for under 24s and seniors (also have happy hour offer for entry after 6pm) which is a plus. A lot of interesting things to see at the museum, suitable for those who want to take a day or half a day off from their shopping spree in Seoul"
Long haul,"A long metro ride and then 10 minutes bus ride on the free shuttle bus to get to this museum, so you need to have plenty of time in hand for a visit. External sculptures as well as 6 main galleries. Check what's on before you go to make sure it's worth the effort."
""" one of the best Art Museum """,""" so awesome because the admission is FREE! Perfect place to visit especially those who love paintings, collections , and some unique arts. Great to know that some of the paintings and arts here have history to tell people. Best place as well for students and for the whole family """
"Wonderful Museum, Lovely Grounds","This was a really nice museum and I was quite surprised to discover admission was free. There was a great variety of exhibits, which I really enjoyed.The grounds of the museum were beautiful, with a reflection pool where you could sit under an umbrella and enjoy a coffee and a sculpture garden.If you're up for a bit of a hike, I highly recommend getting off at Seoul Grand Park station and walking up the hill to enjoy the view of the city and get a peek at Seoul Land and the zoo. There's also a shuttle that runs several times an hour if you prefer to ride. Parking at the top of the hill is limited and looked cramped, so if you're driving I highly recommend parking in the large lots at the bottom and riding the shuttle!"
The best painting that is seen through a window is nature,To see outside of the windowAfter I saw the paintings.I soon realise there is.Hold my breathAnd feel.NATURE.Nothing's specialBut tells me something.
"Extensive collection, best part was its FREE","I'm not really an art person but i enjoyed my afternoon here. Getting there was EASY. After coming off the Grand Seoul station (line 4) exit 4, a few meters away is a shuttle bus going to the museum. It runs every 20 mins and the service is FREE.There is a large garden with an open museum with various installations. There's also a small snack bar for those who wish to have a cup of coffee or sandwich while enjoying the beautiful grounds.Entrance is also FREE for the permanent exhibitions. There's a ticket for the special exhibitions but i opted not to. I must say there was a lot to see and even if Im not really an art person, every form of contemporary art imaginable was there. From photogrpahs, to paintings, to 3D art, multimedia and interactive pieces.I spend around 1 1/2 hours walking around which was quite relaxed pace. Overall for a free trip, it was worth it.Also there a nice pond with tables and chairs at the front of the museum where once can just simply enjoy and chill and relax."
