review_title,review_body
A day out with my Chaplain,"I took one of the Osan AB, Chaplain's , her assistant and a friend to the museum. It was great. I am from New York so hearing the Godfather music and seeing Al Pacino, and Robert De Niro sitting down was a huge surprise and great experience. Also the room with the Presidents was priceless. There were even exhibits of Kings and the Pope. I especially enjoyed seeing Chinese National riding a Horse next to Napoleon. You can even ride a bicycle next to ET! I have not smiled and laughed as much in years."
Cool Wax Museum,"It was a warm day in Seoul on our day to visit the Palaces. We had a list of places to go to with our BTS edition of Discover Seoul Pass. This was one of the places to go to. It was cool and the place was full of figures of people we know, especially our Korean idols and famous leaders of the world.We took our time going from floor to floor and there were also other guests from our country, the Philippines. What was great about the place is that it was not just a museum of wax figures, they also had games and 3D figures you can have photo ops with. They also had a souvenir shop where we bought stuff of our idols ( G Dragon, LMH and KSH) It was a good afternoon for me and my son. We enjoyed it. We have been to a wax museum in HK but this was great because of our Kdrama and Kpop idols. Thanks Grevin Seoul, we had fun . Thanks too for sending souvenir photos through my email."
Meet the Stars,Conveniently located near City Hall Subway station. It was easy to find. An opportunity to meet with many movie stars around the world.especially the Korean movie stars. An interesting wax museum...there were also digital games that you can play inside.
Fun museum,"I liked the Grevin museum, it was my first wax figures museum and I was really impressed with how real some of the statues looked. I had fun with Einstein and Steve Jobs at the pop quiz room and I enjoyed making photos with other celebrities like Al Pacino, Brad Pitt, Messi and the Queen. The museum has a section with only k-drama stars and k-pop artist and overall it was a fun day. "
Great ,"If you have spare time, this is a good option. The place was pretty much empty when we were there & we received 20% discount with our MasterCard. "
Wax museum,"Interesting museum to visit. However, the Asian stars doesn't look as realistic. We had fun playing with the interactive games though."
Good stuff to do when in the city,Good place to spend an evening in Seoul. Some cool things to see and do here. Not a place to go multiple times
Very good,"We went there on Monday and I was surprised there was literally no other visitors but us. Around 4-5 people arrived later. Except taking photos you can also participate in some games at the museum which was kind of fun I think. They take your pics and send it to you via email later on. Also, the regular ticket price was 18kWon but you can get 10% discount if you pay with MasterCard."
Very entertaining wax museum ,"Worthwhile visit. You can go through the process of making your sculpture, makeup, costume and finally, taking picture. "
Interesting,"Like any wax museum, some figures look very realistic and some not. They also have some interactive activities for guests to participate so make sure you have more time to spend inside."
