review_title,review_body
Staff there is very rude!,I went at 12 F and looked for cosmetic product. The staff there dont even know english. And when i asked this one counter. Cannot remember what the shop name. But its near escalator. Maybe pop up store. She was playing with her phone. Then i asked few times and she refused to answer my questions. Keep on playing with her phone. Then after few times then she answered its a toner without looking at my face. And keep playing the phone. Really disappointed with what happen.
MAC counter has a rude staff,"Well, tonight I have very bad experience on MAC cosmetics counter in Lotte Department Store ever as a tourist in a quite luxury place with some other luxury brands inside together. The girl staff in cashier looked to inside my wallet 'twice', somebody in charge who see this review just check your cctv, I'm sure all recorded,it was around 8:15 pm until 08:30 pm, November 22nd, 2019, before I paid and after I paid and gave the money to her friend, they don't speak English well also, and nobody said sorry at all. Is it their manners sell as quick as possible without consideration to serve customer well as I am as a tourist??? For sure I won't be back to this cosmetic counter ever, when I visit Seoul next time. Here I put a picture of the receipts showing time and date of purchase."
Huge food hall; gorgeous store,"Every floor in this store is eye candy for a shopper. Every brand I’ve ever heard of and many I haven’t can been found here. I bought an adorable purse from a Japanese women’s golf clothing designer. They have a huge makeup and skincare department, and even a Lush Bath and Body section. Then there’s the basement. It’s a grocery store, food hall, and confectionery. It’s huge and it’s a delight to the senses."
Mall,You can find everything in this mall Mall that is close to Seoul Station. Very easy to get and also very large to shopping in.
Nice shopping,"We""ve spend 1.5 hours there. A bit expensive, but very posh.Nice clean and a lot of brands there. Not many people. Parking in front with parking service. "
Huge nall,"After visiting Lotte world, a visit to the department store just flow naturally. The mall is huge and as per instinct we drifted unto the basement and in search of food. Not disappointed as I am able to sample and buy some of the local delicacies. We also bought some food items and wears from the department store. "
Good mall to kill a few hours but be prepare to spend!!,"The mall is huge and will take a few hours at least to walk though every level and every wing.Lots of international brands and boutiques charging prices that are more or less the same anywhere else in Asia, even if you factor in the tax rebate. There are some floors dedicated to local designers and brands and even those seemed very pricey to me. I looked at some casual weekend dresses and that ranged from about KRW 250k (USD 200) and upwards going to multiples of that amount. The best part of this mall is the basement food level. Lots to see and choose and try. Similar to the foodhalls you would find in Malls in Tokyo or Harrods in London. I enjoyed browsing and choosing gifts for friends and family. I snacked on quite a few things as I went along. Lovely few hours I spend in there but did actually buy much other than food and gifts. "
Excellent food hall,"Of course the store sells all the items expected of any and all high-end retailers which one can find almost anywhere in the world -- but the basement food hall and grocery store is worth the trip. Yes, you can purchase ""street foods"" and sit in the dining hall to consumer, or peruse the limitless items in the grocery to take home to cook yourself. Either way, foodies will love this place -- though we have found prices of identical grocery items to be a bit less expensive at the Shinsegae Department Store a few blocks away."
Very nice mall,"I really liked this mall, particularly the basement area where the grocery, food court and bakeshops are located. The food available here are all so interesting and varied, from cakes, breads, kimchi, Korean side dishes, to hot dishes that can either be eaten on site or brought home. "
Lots of lots of shoppers,"Came here on Korea’s Memorial Day and there were many shoppers, mainly Mainland Chinese tourists. It is mainly the high end stuff, such as cosmetics and clothing they come for."
