review_title,review_body
Holiday,Heard about this road from our tour guide. We experience it in a bus. The driver stop the bus n turn of the engine...the bus will drive itself. Pretty cool experience 
Really Mysterious,Experience the car to move backward even though you are not reversing the car. My kids and I enjoyed the experience.Worth it.
Interesting place to visit,It is an interesting place to visit. There are some fruit stalls nearby and selling nice oranges and grapes. 
Not So Exciting,"The attraction is not so exciting but still worth a visit if it is your first time in Jeju. This attraction is also pretty near Jeju's Loveland, an interesting and popular attraction that is not mentioned in TripAdvisor. "
Doubtful attraction,Not the only place in the World to claim fame to a road that looks uphill while running downhill. Didn’t get any excitement from this “wonder” of the World.
Just another magnetic hill,"A magnetic hill. Interesting if you’ve never seen one before. Otherwise, just another hill where your car appears to roll uphill. "
Not amazing,Went to this as part of a tour. The view from the coach as your “defying gravity” is of a coach full of people craning their necks not straight ahead which you need to get the perspective. This is something thats maybe worth doing on the way to somewhere else but don’t go out of your way for it.
Great fun,We drove past it on another parallel road and didnt realise how fun it was! So we made it a point to visit it and try it out before we returned the rental car. The speed went up to almost 20km/h! We didnt encounter any local motorists though there were some tourists placing water bottles to see them roll up the hill :)
Not a wow ...,"I wouldn't say this is a must visit attraction. Our driver took some time to show us this place since we were passing thru. The kids found it somewhat interesting, we spent about 10 mins trying out the optical illusion in the car."
It’s all in your mind... no mystery here,"I tried walking and rolling in car to feel the effects of such claims... no luck, felt cheated... at least the kids had fun."
Just so so,"It this is on the way to your other destination, then no harm dropping by. We just drove past by the road, then came down to take some picture. A 10 min pit stop. Nothing fanciful. Not a big deal to give this a miss. "
Up ??? Down ...,IncredibleSeems to go uphill ... but in fact go downhill.Pure optical illusion.To be seen once. Car at neutral point.. and see what is happening.
Nice to drive along though.,We passed by this road. Our guide explain about this mysterious road. We did not get down anymore but nice to dropby if your sked will allow. 
Dokkaebi Road,Have fun seeing the car rolled up the slope while in neutral gear. There are lots of people there videotaping the effect.
Optical illusion,We visited this stretch of the road and experienced the slope of the road. The driver stopped the engine and switched to neutral. To our big surprise the bus picked up speed and rolled downhill. 
Watch cans and cars move uphill unaided.,I was there watching a child put a can on the road at the entrance to the car park and the can rolled uphill.I then put my car in the same place in neutral and filmed it rolling UPHILL.I can only assume that the road appears to be uphill but must be sloping down.Unless there is some other scientific answer.It is worth the effort to see it for yourself.Bottles did not work like an empty can.There is an Archery range there so you can practice some archery as well.
Let it go! WOW!,"We heard and saw this on TV and view to visit when we get the chance so of course we had to see for ourselves. We had impression very crowded road but there were only a few cars. It was about 4pm. We were able to follow another car uphill turn around, follow to the start point.We put car on neutral then let it drive us. Very strange. It just move slow motion like haunted road feel.We stop by at a mart for coffee. There is a cafe too. A few people cos winter not nany tourists strangely, we saw a van and a bus doing same thing, just gliding down.It was just nice finally seeing and experiencing this in jeju."
Can't feel anything,Not sure if there is a certain period of time to get this feel. Tried a few times but nothing seems to be as it mentioned. 
Mysterious Phenomenon ,It’s does appears that the law of gravity is defied! Haha. Big ample car park available at site if u drive. Nice lady at the stalls along the road facilitated my science experiment by lending me a water bottle to roll on the road. And yes! It does appears that the water bottle was rolling uphill against the law of physics. Its worth a visit if u are in town! 
"Indeed, it is mystery","We went here to get the experience for the gravity feels, and its totally worth it. Our car moves on its own without using any human forces. One of the interesting place for tourists spot and attraction. "
Mysteriously hard to judge,"We did this as part of Yeha bus tour - South Course - we were in the back of the bus, so it was really hard for us to see, but apparently, you put your vehicle in neutral and it rolls the opposite of what you would expect. I'm sure the experience would be better in a car."
Not mystery but science,"If you have kids, bring them along to let them understand how science can explain mystery and how eye perception cannot be 100% accurate. "
The road is interesting ,This is a interesting road drive whereby even the engine is off the car will even go upslope. It is worth to go there for an experience. 
I dont see anything here,I cant tell any mystery about this road. Maybe becoz i dont drive there..so i cant tell..this place is just walking distance from Loveland..
