review_title,review_body
Only for hikers,"The cable cars take you up to a picnic area and a bunch of hiking trails.The cars doesnt go at set times either and if you are unlucky you may find yourself waiting for a long time before the cars move.I had to wait 30 minutes before a couple of locals appeared and made the staff start the car. If they hadn't told the staff off we would've still be sitting in that car. The only people we encountered at the top were hikers. going to the south gate is basically going through small forest trails and is not suitable if you are wearing clothing for urban walking. I had sneakers, jeans and a t.shirt and regretted that walk. The south gate is not even close to the cable cars and its basically just a gate. so unless you want to go on a longer hike and wear clothing sutied for hiking then do not go here."
Cable car ride,"Take the cable car from Geumgang Park for some breath taking views on Busan and its surroundings. The ride in itself is unforgettable, but when you reach the top it's only a short walk to the Geumjeongsanseong fortifications. The walk is nice and quite easy. Lovely!"
Nice view,"The ride offers spectacular views of Busan. Once at the top it's hiking time. You can go to Seokbulsa (unfortunately it was late and the air was bad) or to the mountain fortress, which is not very demanding. It closes at 6 so don't go too late in the afternoon. Park entrance is 10 min walk from Oncheonjang station"
Go for the views only,The cable car ride offers a fantastic view of Busan and how the city is laid out.Signages at the top are not sufficient and can be confusing for an English speaker.The South Gate is nothing monumental but okay for a little stroll.Go for the view but definitely purchase round trip tickets for the cable car.On saying that I have come across many Korean hikers along the way so this might be good for those who are into trekking.
Great start to a beautiful walk,"Convenient to the Myeongyun metro station. Catch the cable car up to the top, then you have a variety of choices for beautiful walks including to the Seokbul-sa monastery with its beautiful cliff rock carvings. Park provides free insect repellent spray but we weren't bothered by any insects at all."
NOT WHEELCHAIR ACCESSIBLE ,Even though you are told otherwise the cable car is only accessible via two flights of stairs and a really steep hill from the car parkDo not attempt unless you can walk 
NOT a must see!,"We got promised amazing views but there weren't any! The so called ""observatory"" is a nice picknick area with tables etc. but it is within a clearing. So you haven't any views over Busan at all - just trees around you. If you love hiking this park is perfect for it but do not expect great views over the city - or only when using the cable car! "
More a hikers place than a tourist attraction really..,"Appears to be some great hikes around here. . but if you're a tourist and you go up a cable car you sort of expect great views back down . . not really the case here apart from of tiny bit of the city from the cable car. . . once you get up there its woods, muddy walks and the occasional brick gate . . also some screeching karaok-ing Koreans half way up which was beyond odd. . . . its a long way out of town for it to be a 'must do' for a weekend tourist....."
Great for hiking/walking,"This is a lovely park both winter and summer. If you are a hiker it's a good hike up to the fortress with walking trail around the fortress wall. Or you can take the cable car to the top and walk as far as you want. The cable car is 8,000kw return and provides a great view, on a clear day, of Gwangan Bridge. To get there take Metro Line 1 to Oncheonjang station. Take exit 1, turn left and then right at the next main intersection. Follow the brown signs to the park. You can see the cable car from the metro exit. Well worth a visit."
"Great ""skyline views"" from the cable car","Came here not for the park but to take the cable car to the top of Geumjeong Mountain where there's the ""much-talked-about"" Seokbulsa Temple with giant rock carvings of Buddha; as it turned out though, I actually came here for the great views of the pretty tall 20-to-40-storied buildings of the city which are ""spread out all over the city"" (not just concentrated in one area of the city as is the case in some big cities), and yes the big mountains beyond the city provide an excellent ""nature backdrop"" to make these aerial scenes from the cable car ""absolutely memorable""! Being said that though, despite those great views from the cable car (as mentioned above), there's ""nothing much"" on top of the mountain itself, and I wasn't able to find the temple I came for; I'm sure I got ""pretty close"" to it (maybe just like 5 minutes from the temple) following the signs & asking people on the trails, going past the popular South Gate (about a 20-minute walk from the cable car station on the top) where I made like a U-turn and walked another 10 minutes to Nammun Village but gave up after another 5 minutes or so when getting to like two ""pretty steep steps"" leading downward since I wasn't sure I would be able to come back up those steps; also, I was ""pressed for time"" with the last cable car to go down the mountain leaving at 6 30 pm and it takes like 45 minutes to get back to the cable car station from that temple (Seokbulsa) with the rock carvings (yes ""the 6 30 pm for the last cable car going down"" is everyone coming up the mountain should keep in mind, whether you're going to Seokbulsa or not, since I'm sure it would take much much longer to go back down on foot compared to only like a little over 5 minutes with the cable car either uphill or downhill).If coming from Busan Station (after arriving by train), it's quite convenient to get here by taking the subway Line 1 from Busan Metro Station (right beside the train station) to Oncheonjang Station from which it's about a 20-minute walk: a left turn after getting out of the station from its front side & going on the overpass, then a right turn about 5 minutes later followed by a pretty much straight way (which becomes slightly uphill) for about 10 to 15 minutes, then a right turn again and you'll see the park on your left shortly after. About the park itself though, there's really nothing much to say except there are some nice flower beds right outside the entrance, and there's a playground or a mini-theme park with some rides (probably just for kids) inside not far from the cable car station."
