review_title,review_body
A real shopping experience ,This market was recommended by my hotel staff after I complained about the somehow expensive prices at the malls and it didn’t disappoint. Not only is it a good shopping experience but it is a good place to interact with the locals and offers a wide range of street food. I totally enjoyed the experience 
Closes early!,"Most people have said on the internet that you can shop here until the wee hours of the morning, but be warned that vendors DO pack up at 8 or 9PM and then it becomes a dead zone, I have tried going 4 times at night and this is the result, it is best to go during the day. "
Must eat Vegetable Hotteok and Must make Spectacles,1. 40 minute wait in mid- afternoon for savory vegetable hotteok located just across from Courtyard by Marriot NDM was worth it! Greasy but oh so tasty. Likened to Chinese Scallion pancake. Nice. 2. Shop for prescription glasses or sunnies in the many spectacle shops at the market. Prices and styles are very competitive. We settled on Polaris Spectacles shop where we found the English- speaking Mr Kim to be very patient and attentive. A pair of Varilux progressive lens which would have cost me SGD 350 back home cost just half the price here. And it took just 4 working days to get them ready for me. 
Came here at night and couldn’t find food ,Came here at night and couldn’t find the food alley. I walked around everywhere and couldn’t find it. Finally got internet and found it was north of the market 
Shopping and Street foods,"Here you can find most of Seoul famous street foods and shopping area for clothing, hats...etc, but most stores usually close earlier by 10pm."
Busy corner wit too many shops,"This place is worth looking at. Especially the jewelry building with hundreds of small shops.Anyways, not really a place where I would go shopping "
Very good for shopping small items and souvenirs,"I spent a couple of hours in Namdaemun Market. There are numerous small shops there. You can find many souvenirs and odds and ends there. Don't forget to bargain. The vendors won't be offended by this. Remember, this is not a food street. It is a place for buying/selling stuff. The prices are cheaper than those in more formal stores."
Market Exploration,"Don’t be scared to explore every nook and cranny of this fascinating market. From 10am to 5am you will find many treasures, depending on the time. Also, if you want to practice your haggling skills then this is a good place to start. (Don’t haggle food though; however, don’t me nervous about asking for a big portion.)I’ve come here with family or friends, but keep the little ones close because there is a lot of hustle/bustle taking place. Since it is a traditional style market, try some food you’ve never eaten before. I discovered cow lungs mixed with spicy red sauce and rice is delicious. This is a great place to buy cheap clothes for kids. Also, the silky grandma pants are wild looking and comfortable. I got 2 pair for 5$ once. I wouldn’t take kids here at night, but Seoul is very safe. There might be a lot of drunks singing at the moon, and if you fancy getting drunk and shopping, then by all means shop here. If visiting Korea, then this is wayyyyyyy more of a “korean” experience as opposed to doing something mundane like visiting Seoul Tower. Like I said—-explore. Go in buildings. Walk around. Haggle if you can. Don’t get ripped off. Try something exotic to eat. Howl at the moon with traditional Korean alcohol."
"Good place for cheap shopping, tourism, and souvenirs","I came here during December 2018 to buy Christmas souvenirs for my nephews!! They have cute clothes----Babies to adults!! Got a couple of nice shirts for my dad, and family. It's a nice market to experience shopping and sightseeing in Korea :)!!!"
Best Dumplings in the world ,A must visit for the food. My partner tells me the shopping was overrated and expensive. May aswell ship in the stores for better quality. 
