review_title,review_body
Ancient Gate in the City,"Just down the main strip from Gyeongbokgung Palace is a junction that spilts in several locations and in the middle of this junction is an ancient gate called ""Sungnyemun Gate"". It is part of the ancient city wall that surrounded the capital of Seoul in the Josean dynasty and is one of the oldest remaining features of the wall in Seoul today. It is a great place to visit on the way to Namdaemun Market and there are daily activities at the gate including Changing of the Guard ceremonies which occur daily every 2-3 times in the day. You can get some photos with the guards at the end of the ceremony which makes for some great holiday photos."
Oldest & Largest of Remaining Wall Gates,"Sungnyemum Gate, one of the four main gates in Seoul’s former fortress wall, dates back to 1398. But this South gate has been rebuilt many times with the latest completion occurring in 2013. I was exiting the Nandaemun Market at Gate 1 when I first saw the structure and wondered why it looked so new. Designated National Treasure No. 1, it stands across the street from the market on a big traffic island in a modern section of the city, known for its tall buildings. When I went to investigate, I was delighted to find free pamphlets in English that give the gate’s history from the Joseon Period until the present.The gate features a stonework base, a two-tiered pagoda-shaped tile roof and a large archway in the center. A few guards in colorful traditional garb stood nearby and I soon heard distant drumming that came closer. It signaled the impending arrival of many men dressed traditionally in colors ranging from royal blue to bright yellow, complete with big hats and boots and carrying large flags. I had arrived in time for the free changing-of-the-guard performance at 11:40 a.m. Only a few others joined me, which was a welcome change from the huge crowds I encountered at similar productions held at Seoul’s palaces. After the short, less-than-10-minutes show, visitors could pose with the men for photos.As a history buff, I really enjoyed my stop here and the lack of tourists. The gate stands between Seoul Station and Seoul Plaza. It can be accessed by Subway Line 1, Seoul Station, Exit 4 and Line 4, Hoehyeon Station, Exit 5. Closed on Mondays."
Historic Gate Well Maintained,"The Sungnyemun Gate was built between 1396 and 1398 and was part of the old Seoul City wall.It has been modified over the years and in 2008 the upper structure was destroyed by fire, but now restored. It is an interesting structure in a city mostly glass an concrete."
Quick photo,It's in the middle of a busy square full of cars. So it's good to see it when you are just passing by and catch a quick photo. 
Antiquity vs Modernity,"Better known as Namdaemun Gate, is one of the symbol of Seoul: One of the 8 gates of the seoul's Fortress.It was built in 1398 during the Taejo Reign.You can walk throught it and take pictures.It's interesting see an historical place like this at the center of traffic jam!You can take a quick visit before entering the Namdaemun Market."
Historical Gate,This gate near Seoul Station is one of the last remaining gates in the walls of ancient Seoul. The gate is located on an island in main road. Best viewed from a distance.
"Interest history, picturesque gate","One of the 4 main gates in Seoul, reconstructed many times most recently in 2008, Sungnyemun Gate is impressive and great for some photos, but not really much to do there. There is a changing of the guard to add some colour (I missed it, but had previously seen the change at Deoksugung - its only a 10 min walk from Deoksugung to Sungnyemun). It's a good place to start a visit to the Namdeamun Market (there is an underpass from Sungnyemun gate to the top of the markets. Worth a quick stop and photo opportunity. More photogenic than Dongdaemun Gate and easier to get a good angle."
Lovely gate,"This is a reconstructed version of one of the original Seoul gates and a lovely one, at that. Probably not worth a trip, but when in the area, worth passing by."
Destroyed by Arson in 2008,"Of the 8 gates in this once walled city, this one was the oldest wooden structure in Seoul until an arsonist climbed up and set a fire which destroyed the wooden pagoda on top of the gate in 2008. It took 5 years and several million dollars to restore this National historic treasure. The Namdaemun Market nearby is named for this South Gate."
Elegant ,Right next to Namdaemun market. I love that it’s randomly in the middle of quite a busy intersection. Stands magnificently. We saw the changing of the guards. There are toilets near by.
Make a quick stop,"There’s not a whole lot to do here but it’s worth checking out if you’re close by. I always like seeing some cool architecture and learning some history while travelling. From what I remember from the plaque... the King came to pray at this gate during times of drought.What you’ll discover when you’re there it is super clean and well maintained. There is no fee to enter. There is a changing of the guard ceremony at certain times which may have a fee, not sure."
A small but nice attraction,"Accidentally stumbled upon it, and right at the time of change of patrols. Quite fun to see, if you can time to it, then you can witness it much closer than at one of the overcrowded palace gates. So, better photo opportunities with no crowd around as well..."
Fantastic landmark with plenty of history,"Located in the centre of a busy junction there’s certainly a contrast between the surrounding office buildings and this cultural landmark. It offers a particularly good photo opportunity at night with the passing vehicle lights and is lit up beautifully. There isn’t a huge amount to look at but what is there is worth taking the time to admire, and there’s plenty of signage explaining the history and significance of the gate. Everywhere is well kept and clean, plus on my weekend visit it wasn’t busy with tourists either.Given that it’s free to enter the grounds and walk through the gate it’s a must see, certainly on a first visit to the city."
Okay for a short visit,"Very large and historical gate that located in the central area of Seoul, convenient location, walking distance to Seoul station and Namdaemun market. Entry is free. The superstructure was destroyed in the arson incident in 2008, and the restoration was completed in 2013."
Quick visit to the historical gate,"The gate is walkable from many stations. If you have the energy, you can walk from this gate to many other spots like the Namdaemun Market, Namsan park, Seoul Station, Seoul Tower, etc.The gate was simple and we took a quick photo before heading to the other stops"
impressive gate,This gate is the largest of Seoul's gates. It is surrounded by nearby sights such as the Namdaemun market and Seoul Station so it is easy to reach.
Looks impressive,Saw this gate while walking from Seoul Station to City Hall. Consider it halfway if going to Myeongdong Market.
Restored historical gate near Namdaemun Market,"Fortunately our hotel was just 5 minutes walk from this very impressive gate, so we actually visited the place three twice during our stay in Seoul. The gate can be reached from it's south side from near Namdaemun market and down a small road beside a mini-mart. The original gate was destroyed in a fire and this is the rebuilt one which is still very impressive. It is the Southern gate to the city of Seoul.During my second visit, by luck actually, I was able to watch the changing of the guards which made the place a lot more special and allowed me to take fairly close up photos of the guards themselves. The guards do not mind photo taking although they will not allow you to get up in their faces the way the guards do outside Buckingham Palace.At the entrance to the gate there is a small booth with an elderly gentleman and brochures freely available in several different languages. There are also public toilets here."
Restored gate after fire,"Sungnyemung Gate , often known as Namdaemun Gate is listed as Treasure Number One in Korea, but it was partially destroyed by fire in 2008 and renovated since then. Tgis gate was the south entrance of the city wall."
Large Gate Near Namdaemun Market,There is no charge to visit this large gate near Namdaemun Market. This is the South Gate of the original four main gates of Seoul. It was a bit surreal to see this gate from the 14th century surrounded by modern buildings. There were guards dressed in period costumes standing by.
Impressive structure though rebuilt ,"It's unfortunate that due to the history of S Korea alot of its historical structures and monuments have been rebuilt and it's no different (though for slightly different reasons) for the gate also known as Namdaemun gate which was destroyed by an arsonist some years back. It's one of the most memorable sights when arriving into the city from the airport as it's at a roundabout. Don't think other gates are open like this is so it was nice to walk through it and pose for pictures with the guards dressed in historic outfits. For kdrama fans, the gate featured in a few scenes from Chicago Typewriter :) If you had to pick one fortress gate to visit in Seoul you can't go wrong with Sungnyemun. "
Landmark of Seoul,"This is the southern gate of Seoul in Joseon Dynasty.Visitors can only watch. But, the symbolic value is higher than any other landmarks.- Also known as Namdaemun literally meaning southern big gate. Locals are more familiar with this name.- The access is from the other side from Namdaemun Market. Easy to circle around finding it.- As many people know, it had been on fire years ago. The one remaining now is a modern work built after studying proofs.- Better to stay away when there's an event or a gathering. It will have a huge traffic around this area."
Accidental find,We were shopping at namdaemun market and chances upon this attraction at the end of the market. Understand that most if not all of this gate had been burnt down and this is a reconstructed one. Basically this is the outer gate to the city with part of the city walls. Ceremonial guards are still been stationed here and they are happy for you to pose beside them for photos. Spend about half an hour here taking photos. 
Beautiful historic gate preservation.,Found this while walking around Seoul - Namdaemun market.A free attraction.This gate was built in the late 1390's and served as the new capital's emperor's gate of exalted ceremonies.The beautiful preservation and grounds keeping was amazing in the middle of a major metropolis.Witnessed the changing of the guards and got to take photos with them!
End of the Market,Bus passed here and it looked like a really interesting place to go. It's located on the Western entrance of the Namdaemun Market. The gate looked really nice.
Cool spot on your way to the main market,"Landed up here by accident looking for the market , the Guard’s are really helpful and in full attire. Quite cool for a few pictures with them but not worth a special trip."
Nice ,"Nice place to visit, everyone would stand to look at the shifting of the guards in a traditional ceremony, you can take pictures with them after the ceremony it was a wonderful to watch how they were dressed and played the drums."
Historical structure,This historical gate is in the middle of a busy part of the city. We saw the changing of the guard from a distance and the guards were dressed in very colourful traditional uniforms. Later on we went to the gate for a closer look. It has a colourful painting on the underside of the archway and there is a sign which gives the history of the gate. An interesting place to quickly stop by if you are in the area.
Pretty but not worth a special trip,"The gate is relatively tourist free and you can get some good pictures when visiting, however there isn’t much to do here.If you are going to the nearby market, then it’s worth a minor detour. But it’s not somewhere to go out of your way to see."
