review_title,review_body
Excellent destination for families,Pretty French style houses standing on the hills. A village of children stories and beautiful landscape! Excellent destination for families!
Boring. Simple,"I really do not understand this as an attraction at all. It was cost around $6 USD to walk around for 20 minutes to see what looks like a little town for children in a theme park. It was boring, tacky, and uninteresting. I would not waste time visiting here. I didn't even bother taking a photograph."
Not really worth a visit,Not really worth the visit here as there are nothing much to see except for colorful building. Save the $$$ for other places.
Petite france,petite france is a very nice place already beautiful. there is also a Korean drama shooting location. and very suitable for coming during winter
Only good for Korean drama fans,Everything seems romantic and happy here but I prefer the real things instead of fake ones. Luckily it was a stop on the way to Nami Island.
Nostalgic,You feel being transported back in time with small village in FranceWell preserved collection and you remember why the little prince book was one of your favourites 
Waste of time,"Petite France and Nami Island are owned by the same owner. Therefore, those two places are always bundled together in the tour package. A very very small one road village. The icon picture basically have it all. Do not go there. Nothing to see or to do. Expensive entrance free when compare to those beautiful palaces in Seoul. "
Adorable place,"Purchased a 1 day tour ticket from Travideals and went there for leisure and experience. Petite France has a nice scenery in terms of cute and colourful buildings. But I think going here as a 1 destination is not worth, lucky my 1 day tour also included Nami Island!"
A little disappointing,"I wasn't that impressed with Petite France, regardless of how pretty it was. It didn't remind me of France, more of a cross between Germany (architecture) and Italy (colours). My wife and teenage children surprisingly did enjoy themselves so I can't award a ""terrible"" review. Usually included on tours to Nami Island, you may as well go but don't have high expectations!"
Nothing more attractive,"This is the french styled village and a forest way inside good for kids.There is a puppet show worth seeing.Its like a amusement park not worth specially going.However,photography is enjoyable"
Do not get me wrong,"This place has been made for this purpece only, is More of a móvie set with coffee shops and restaurant in a very lovely natural sightseeing "
Miniature France,Travelled here after a morning trip to Nami Island. It’s a small park that can be covered in 1-2 hours. Might be suitable for young children.
Place like a movie,Nice place to go with family who have children. Very beautiful and pleasant to eyes. The place also easily reachable by bus
Beautiful Petite ,Such a beautiful place to visit. Great view and great place. Lucky we were here not many tourist around. We enjoyed our time taking picture and the scenery! 
Petite France,"As the name implies, you see a small France. The houses, statue, Eiffeel tower, fountains etc. are France. They have puppet show also that we enjoyed."
Nice place to take photos but that's pretty much it,"Petite France or 'little' France as the name suggests is a french-styled town. Nice place to take pretty photos as the buildings, furniture & landscape is quite attractive though I doubt it's authenticity to actual towns in France."
"Do not, I repeat DO NOT, Waste Your Time going to a micro French village in East Asia name Petite France","It's all extremely deceiving. It's based on the love of the book, The Little Prince, that is somehow a cultural favorite in South Korea. If you are not a lover of South Korean movie and culture, you are completely wasting your time. Additionally if you're not with kids younger than 4 do not go there. It was really misleading ......we were told we would find it interesting, what we found was that we lost a day of our trip..... this is a thorough waste of time except for those with a four year old that wants to take pictures standing next to the Little Prince. If this is a cultural highlight of the country..... WHOA!"
Just take photo if you like,"I find it not worth to take time to visit, as I am not the Korea movie lover nor Petite France lover. I go to Gapyeong by myself, after ride bike, than take taxi here, it cost me over 20000 won. As I had not buy suttle bus tickets, I find it difficult to find taxi here. "
Bike stealing capital of France ,"According to the police , do not leave bikes even locked up securely as they will get pinched regardless, police said 100's a day pinched "
Over-hyped Destination,"I loved the place but I think the blogs have exaggerated it. For me, nothing is too special about the place. But it is really Instagrammable place. A visit is still recommended."
Worth Going to As a Tour Stop But Not as A Standalone Destination,"Petite France was a quirky and gaudy mini theme park that would transport you to an old French village. A number of its major attractions center on the Little Prince, evident in how there's a small but beautiful museum dedicated to the works of Saint-Exupery. However, a lot of its attractions showcase the owner's extensive antique collection; which failed to pique my interest (some of them such as the doll collection were borderline creepy). There were pockets of beauty, such as spots which allow you to see the strikingly beautiful natural landscape that surrounds the area; and the surprise gallery (leading to the comfort room) which features jaw-droppingly beautiful glassy portraits. Ultimately though, it makes for an interesting tour stop; but I would not recommend this being the only thing in your itinerary. As a fan of The Little Prince, I also expected unique merchandise for sale in their souvenir shops. Unfortunately, I came out of both shops empty-handed."
Didn't meet my expectations,I thought it would be some little old french village. This a cartoon land. Good for taking pictures. Nothing much for kids to play around. There is puppet show at certain hours. 
feels abandoned,"This place was not really maintained well. Some paints were faded or chapped, there were some cobwebs too. Not much to do here really. They did have a museum for marionettes and porcelain dolls if you are into those. And if you are a fan of the Little Prince, this may be worth a visit."
a bit boring and small place,"If you have time to spend... then go, else bypass this France village. A place which I will not go for second visit."
Great place for insta-worthy photos!,"Highly-recommended as the place is so beautiful for photo-taking. Only downpoint is the lack of cafes, snack kiosks or restaurants for tourists to relax and enjoy the scenery. Just 1-2 hours is enough to tour around the area."
Sightseeing,"It was about an hour away from Nami Island. Decided to do it back to back as it was along the way from Chuncheon back to Seoul. My friend said that there are tourist day packages from Gapyeong station tourist counter that includes bus ride for these nearby attractions, unfortunately i didnt know about it.Petite France is such a lovely, cozy and quaint place! They have lockers just in front of the ticket counter if you wanna keep your luggage. Just after you enter, on the right they have the showtimes available for the day. I went for all 3 types of shows. The Orgel intro was mostly observing as it was all in korean so i didnt understand much. The Hand Puppet Theater was interesting. Though it was in korean too, i could roughly understand as the story they told was of Little Red Riding Hood. All of it was in korean but i still find it relatively entertaining and funny. The puppet shoe near the amphitheater is the best. It has no speech but all of it is just puppeteering so no language bareers here. Its exteremly funny and very impressive how they control the puppets so intricately.The exhibits here are not bad however i have no real interest so i just had a look around, some where very impressive. The general area is very nice to take photos if you wish. They have a small cafe that sells snacks and limited food options if you're famished. Worth the visit because of the shows, in my opinion!"
Little France in South korea,Love this place... Romantic and beautiful place.you can enjoy little france ambience in this place.You must take epic photos in this place
Average,"Visited this place twice: in December and early May. The decorations were prettier in December probably because of Christmas. There is nothing much in this place apart from the bright coloured architecture and French antiques. Visit if you really love The Little Prince or is a fan of some of the kpop dramas that were filmed here. I am a fan of neither and found the place rather boring after awhile. On a side note, there are performances and shows at scheduled timings so do take note of the timings if you wish to catch those performances! Overall, not a must-visit so dont waste your time here if your time is limited. "
