review_title,review_body
Worth a side trip... Maybe.,"It is a really small flea market selling crafts and other knick-knacks. Luckily, it is located in an area which is waaaaaay more interesting.I really do not have much to talk about this place really. I guess if you are within the vicinity, you can drop by for a quick visit."
Smaller than expected,The market was smaller than we expected with only around 20 -25 stalls on the day we visited. It’s in a very lively area with lots of shops and drinking places. Probably not worth a special trip but if you’re in the area...
Hip and Happening street and shops,"First time here on a Chuseok holidays, I thought will be quiet but surprisingly NOT! The place is hip and happening with street performance about 5 different type to watch and support and you may tip them for some cash :) walk along the streets with so many ladies clothes, sports shops and also for guys. There's also street food as well. I am still feeling hungry, luckily there's a mall in Hongdae has Halal Guys for me to dine :P"
Not sure what I was looking for ...,"I came to the location after 1 PM that’s when the information said that it “opened” - but found ... a regular street of shops and stalls, and a few “buskers,” but certainly nothing that wasn’t open an hour before. I wandered pretty extensively, so I’m confident I was in the right place, but unimpressed for an “art market.” Fun to wander, but not as an art market."
Worth visiting ,"Lots of things happening here - plenty of atmosphere- buskers, great shops food stalls and even nicer cafes (where you can actually sit!) Good prices here as it is in a university area and caters for kids with not a lot of money."
More Great Shopping.,Another gem provided by our driver. We met an artist who did wonderful oil paint reproductions of actual photographs for an very low cost. We visited the market in the afternoon and paintings of our three grandkids and two of my favorite airplanes were delivered to our hotel by seven in gathering evening. Lots of neat Korean art items.
Artsy Stuff All-Around,"Every time we visit Seoul, we always schedule a weekend to go to Hongdae Art Free Market. It is an open area where artists get the chance to showcase their talents thru stuff like jewelries, potteries, leather goods, clothes, postcards, paintings, etc. All designs are handmade. You can even have your portraits made while waiting. My 2 girls and I enjoyed walking around and appreciating the talents of the artists who participated in the free market. We bought quite a handful of products and we loved them. Some stalls even accept credit cards. Try and visit this place when you are in Seoul."
Hip and Youthful ambience ,"A place for youngsters and teens. Lots of apparel shops, cafes etc. There were teens performing K pop dance and songs. We went on a Monday so it was not really crowded. A must go place for the young and young at heart. "
Lively place,Lots of food and apparels store. The place is livelier with the younger generations vibes. It is a must not miss place to go visit when in seoul.
So much street food to try,Is totally different with Myeong Dong walking street. Selling different range of stuff and food. Must pay a visit when in Seoul. 
Market,You can find anything here and at reasonable prices! This area it's always packed! Been here so many times
Amazing place for youngsters,"Highly recommended for youngsters who enjoy music and dance.. we went there on Saturday, quite packs with people.. those who got plenty of time can just sit back and enjoy the street performance and dance.. if ur lucky enough u may encounter guerilla date with kpop idol there"
nice place,"For college going crowd. they buy stuff like tops, purse, wallet, mobile covers, suitcases from here plus a few restaurants. May be more lively in evenings."
Shopping street!,"A great place for shopping and enjoy street food there, cater more to younger generations thou, overall worth visits."
Fun Shopping & Food,"I enjoyed my visit to Hongdae, shopping was nice but i enjoyed the street food very much ! Bought lots of face masks and some blouses.. There's magic & singing performances as well along the road. Will be coming back when I have the chance.."
"Small, not many vendors, everyone selling almost the same things/concept applied to different textiles or objects","I was expecting much more diversity in goods and designs when I read that there was an application to sell at the free market. When I went, most were selling jewelry, some were selling leather goods, some textiles, some paper goods with original art. some portrait drawing stalls. No food stalls inside the actual free market. There was one performer when I went. No one actually stood nor sat in front of him to listen to him play. I thought it was awkward that everyone was sitting on the brick ledges behind him. Maybe move the performance area so that the performer has his back to the vendors and is facing people listening and set up some stools. (I had been looking forward to visiting the free market but it had rained the previous Saturday so I decided to wait for the sun. i am glad I did not go on a rainy day because it would not have been worth it for me. The Hongdae area itself is worth a visit, just not only for this.  People that reviewed this seemed confused as to what the free market actually is. The free market is held Saturday afternoons(1-6) at the small park near Honggik Uni. People called it the children’s park, but it seemed too small for a children’s park and there was nothing for children to play on... most people that reviewed this were reviewing the Hongdae area, not the free market itself."
Chill shopping and eating area,"This place had really good stores for shopping - cosmetics, clothes, shoes, bags, and everything else. As for food, there are many good restaurants too, and some icecream places that sell really long swirl ice creams. It's a must visit. I visited this place at least thrice, within my week-long stay in Seoul."
Must-do for Cheap Finds,"Very vibrant and lots of young people around. Lots of street shops selling affordable ladies clothings, cosmetics and socks. Better than Myeongdong in my opinion. If you have time to only visit Myeongdong or Hongdae, I will say visit Hongdae! "
Street performers on sat & sun ,"It was full of younger crowds during the weekend , came here during Sunday evening , saw tourist information people standing and they taught me from the map given by them to walk to a street nearby for shopping which was korea boutique selling trendy clothes , the Main Street were full of performers dancing , singing . "
Great Shopping Area,"Lots of great stores here, clothing and skin care come to mind, oh and shoes. Didn't see an Art Market, though saw many signs of art on the street. Street perfomers, good bars and restaurants and street performers, what more could you want!"
Went to Shopping Street,"Daebakkk!! you know if i had a lot of money i'd definety visit every store. there's like a lot of stores, clothing, skincare, some souvenirs, also odeng (fish cake) and tteopokki. watch busking here too!! there's a lot of talented people perform here :)"
Shopping Street,"The free market doesn’t operate in Dec. Instead I went to the shopping street in Hongdae.What a vibe! Youngsters are everyone and all the stalls are playing fun music. Makes me feel like dancing to the beat. Some shoppers even brought exotic pets (raccoons?) and attracted a small crowd.We visited a small shop where you can try your luck “fishing” out a toy from the machine. Lots of people carried off their prizes (soft toys) and we thought it would be easy. Sorry, no luck. Will try again next time."
"Young people's street, performances.....","This place stands out as a place for the young people. Lots of shops, cafes & restaurants catering to this group of people.Many aspiring K-Poppers (either dancing or singing) perform in the open walkways. Hoping to get lucky to catch the eye of scouts.But be careful- there was a news report from Korea yesterday about some aggressive performers pulling the audiences' hairs ( see picture). Other than this, it is about the same as any other shopping streets in Seoul. Just come walk around if you have time to kill or has never come here before. Or if you would like to watch the potential K-Poppers performances."
Come here just for street performance ,"Not sure if the performances are good or not, but it’s something I’d recommend every to experience.There’re also tons of restaurants along the way."
nothing much to see,Fast foodsBrands u can see everywhere around the cityNothing much reallyBut if u r bored u should come here n get sandwiched by the youngsters and foreigners 
Disappointing,"Even if the area is young and active, the art free market is quite small with nothing really artistic out of the ordinary crafts"
Cool nightlife for youngsters!,"Very happening. Full with cafes, shops, and restaurants. The price are moderate. Very easy to access because near with subway station."
Nice Shopping Spot,A very hit hot shopping areas for young people. Sport shoes and trendy fashions you can found here. Also many nice restaurants around. The coffee shops here are very special and stylist. Worth to come during night time experience the big crowd shopping fun.
"Place with good vibe, good food and shopping!",A lot of shops and restaurants in the area. There are a lot of street performers too so you can stop by and watch the local teens dance/singing performances. There are also a lot of bars so might encounter some drunk people at night.
Good shopping place,"5 to 10mins walk from Hongaik MRT station exit 9. I prefer Hongdae than Dongdaemun. Its a shopping paradise with cafés, KTV and restaurants. There's even Kpop singing at one of the street. It's definitely worth the trip."
Shopper Paradise for young people,"There are many shops selling clothes, caps and mobile cases. Besides, there are also several coffee shops and juice shops so people can buy some drinks and snacks when they do shopping. There will be lots of people in the evening."
Bustling,The place is bustling with people of all nationalities and walks of life. Many fun seeking students and opened shops even late into the night. Most fascinating is the lighting and security; it seems like day light even at night. Are you craving for fun? Then stop over at this Mapo gu hotspot and mingle.
Fantastic Day out - soak up the atmosphere,"While this is the domain of the young don't let it put you off. Heaps of street food, students entertaining dance, music and acrobatics, interesting fashion particularly mobile phone accessories, it's a great day out to really feel the Seoul atmosphere. It's easy to get to as 3 metro lines service the precinct and anyway as they are mostly students English is easily understood. To me after going to the tourist populated Namdaemun and similar markets this is a great and better alternative."
The best place in Seoul for a night out,"If you travel to Seoul, make sure you visited Hongdae!During the evening the street performers come alive, food stalls send amazing smells across the streets enticing you to reach for your pocket and locals shop for bargains.This place is busy, be warned! The atmosphere however is amazing. Every time that I have been I have noticed how friendly everyone is and stall owners try there best to converse with you in English. Along the sides you will find Korean versions of pubs, numerous restaurants and shops that will meet any price range that you are looking for.Head out early, around 6pm. Gives you a chance to gather your bearings and in a way, plan what you want to do. I ended up buying a few beers from a local shop and spent most of the evening listening to music and watching street performers."
cool vibe at night,"lots of street performances, shops, restaurants, a great district for me! wish i could spend more time checking out more shops."
Hustle and bustle .,"Lots of things to do and shop. Mainly more stalls selling fashion items, bits and pieces. Young and trendy place with a.Uni nearby. Like Myeongdong without the beauty stuff."
Great area,"Vibrant and lovely place filled with cafes, restaurants and shops. Prices are moderate and affordable and you'll find some Korean specialities and goods as well as international store. It's close to the public transport and it's a great way to be a part of the city and all of its energy."
Where,"Should have done research. Went there Monday noon time. Nothing going on, at all. Area around has little shops selling clothes mostly."
Nice place to shopping and find something to eat,"Actually i stayed at hostel in Hongdae so Hongdae is really nice place i walked to market every day to shopping and had dinner there, a lot of young people also every weekend you will see young people show dancing, singing, rap etc. it gave a good energy there"
The hip place ,One of the places where you need to visit when you're in Seoul. It has very nice atmosphere. Lots of youths are around this area. There were street performances by various groups of youth - from dance to singing. Lots of things to see!
