review_title,review_body
A little of everything,"Nice market area with tiny shops on narrow streets. Good deals on some items, including clothing and textiles."
Huge market ,This is a must do and see market in Busan. But fresh fish and they will send you upstairs and cook it for you 
Business Trip to Busan,Lots and lots of shops and stalls. Everything for every body. The food market is amazing lots of variety of Korean cuisine. Pickled garlic was my favourite to go with superior quality kimchi.
Local culinary market,Gukje market can easy to find in nampodong area 5 minute walk from jagalchi marketMust try local snack a food like famous fish cake a cold spicy noodle 
Shopping ecstasy ,"There is almost every type of shopping available at this market. High end fashion, second hand clothes, vintage and kitsch, food, art and some things completely foreign.We went on a Sunday so some stalls were closed but that did not detract at all from the experience. It’s a market, so expect jostling crowds but hawkers are not overly insistent so browsing is easy without ending up with unwanted purchases."
Busan,"Glad to visit this place, there are so many things you can do here! A lot of local food you can try, local coffee shop, etc...."
Must go place in Busan,There are many shops that sells household items to furniture. There are also lots of food stalls for you to choose from. Most of them taste really good and cheap.
HBH another busy shopping area,"We were taken here on a tour. Dropped off at dusk having been told that Koreans like to drink all night. Not a good start! However, there was a reassuring tourist Police Cabin in full view. Narrow streets, large and small shops, malls and street vendors selling local food. Very busy. Also cars are allowed down what we at first thought was a a pedestrian area. If you want to shop shop shop, then this is the place for you."
"Half day visit: Yondusan Park, Gukje Market, Jagalchi Market","This is a great place to visit as part of a walk from Yongdusan Park, easily accessible by subway. Here is the course we took: Yongdusan Park -> Busan Tower -> Busan Modern History Museum -> Gukje Market -> BIFF square -> Jagalchi MarketGukje Market is a perpetual buzz of activity, with small storefronts crammed into rows and rows of pedestrian-only side streets. Throngs of tourists mingle with locals so it can get pretty crowded. Places where they sold food were the most interesting for me, and there were plenty of places for a quick bite."
Interesting market,"Mainly fish - live, dead and dried. But also a mix of dry groceries and houseware stalls. Easy to walk through and look. No problem in taking pictures. Worth a visit. "
Places for souvenirs ,Great stop to buy souvenirs/ memorable items to bring home. I think it is cash only as most vendors don't take credit cards. They aren't keen on bartering. Maybe they can discount 1000 won. They don't try to negotiate so playing hard to get won't work here. They sell snacks and grocery items too.
Big Market,A very big local market that sells so many arrays of things. Worth strolling around even not buying. 
Always interesting ,"It doesn’t matter how many times you go to the International market, there is always some new to see. There are always the ‘aunties’ cooking local food in the laneways, and food trolleys with local fare. Try the dumplings as they are to die for, as are the Korean pancakes. But you are spoilt for choice - watermelon slushee, turkey ice cream, chicken kebabs, endless choice. There are always bargains to be found at the countless stalls. Some nights you can have your fortune told. Sometimes the film festival is on. It is always busy, always interesting. "
Interesting ,A market that you can not only buy mostly household daily stuff but also a place to wander and see the locals doing their business. It is business as usual and they are quite oblivion of others. Some simple food stalls also available. Visit and get a taste of local market. 
Quite an interesting place to wander,"We spent an hour or so wandering around this huge market. This certainly wasn't just for tourists - you can buy anything here, like a local, from electrical and kitchen goods, to food, and clothes (which are often piled high). There are pictures at the beginning of each row to indicate what can be found within that row. We didn't buy anything and a lot of the stalls were not doing much business (although we were there during the week). The most interesting thing was the way stall holders cooked and set out their lunches (with several dishes of food) to eat at lunch time, oblivious of passers by and shoppers."
Decent markets,"Interesting market to wander around in Busan. Variety of stores, local goods and heaps of food stores. Nice to wander around."
Want a quick snack,We visited this vibrant market and grabbed a meal on the run. Not expensive and yummy waffles!Plenty of stalls with a wide range of goods to rummage through.
Not For Food Lover,"If you are looking for cooked food at this market, think again. There are a few stores selling the standard street food and fish cake, don’t expect to find restaurant food here. You will find raw food and plenty of house hold items like pot, bowl, cup, etc, clothing (vintage clothing as well)"
Aimless shopping? ,"If you are not looking for something specific to buy and just want to surprise yourself with bargains or the odd this and that, this market might serve the purpose. It is perfectly ok just to roam around aimlessly and you may find something. It is not a clothes market but there are clothes, there are some socks shop, there are also other shops selling pots and pans. All kinds. I mean, why not? Things here are in general not pricey. And you get the usual coffee shops and restaurants around when you get tired walking. "
street food galore,"varieties of street food to choose & you will be spoilt by choices. do not be tempted to start buying at the very first stall you see. walk along and see which is more appealing to you. guess where there is a Q it must be good. go there a little earlier so that you can venture and beat the crowd, walk, shop and try many other foods. "
Traditional Market,"A stone's throw away from BIFF square offering everything from tshirts to bags, stationery and cookware. Interesting to explore the small streets. Can see Busan tower from here."
"Gukje Market,","Had an opportunity to visit and explore this market with friends and though there are many shops selling similar items. It is the small places and it is the people that make this such an interesting place. The street food was good and sitting with the ladies and eating soup in the middle of the market was a treat. Honestly, nothing really special unless you have the time to say hi and engage, but if you do you will have a great time."
Local Flea Market,"There are lots of shop where sell lots of local souvenirs, fake luxury fashion wear and food. Just an ordinary flea market, nothing special. However, the stalls that selling tteokbokki and pancake tasted savory though."
Not very special,There is lots to see here and there are many different shops. But the shops are the same as the ones you see in every market in the country.
"Fun, Food and Savings!","What a great experience to enjoy the street food. Wonderful smells and great cooks provide you many options for dinner or lunch on the street. While shopping is wonderful. You can shop knockoff's, fun fashions and even thrift shopping used items. Fun area to explore."
Great ,Another fascinating dry market. Lots too see but have local currencies for many shops. Some take credit cards.
Colourful and vibrant,"This market comprised shops and stalls over a wide area, teeming with people on a Saturday and vibrant with colour. There was an interesting, seemingly continuous ‘fast food’ area along one street with low stools around each cook who sat on a stool or the floor to cook. There was an overall impression of many colourful umbrellas and a very large variety of goods for sale."
Food and more Food,"Come here for a touch of street nibbles. Standard prices for most food eg 10kWon gets you fishcakes, sundae, mandu for 3 people. Many stores selling similar food items just go to the one you like most they all taste similar honestly."
Shoppers heaven,"It sells cigarettes, shoes, lights, fishes, noodles, herbal tea, hanbok, chainsaws, odens, camera, grass mats, pyjamas, nail clippers, screws, taps, vegetables, socks, ladder, etcBasically anything"
Busan Biggest Fish Market,"Local market with lot of varieties sea produce, quite similar to Tokyo Tsukiji market but with smaller scale."
Find everything here,"If you are looking for a feel of the local market, then this is the place to be. Very near BIFF Square, this huge market sells everything under the sun. One of the largest market in Korea with very narrow lanes, with shops occupying every available space is said to have been first set up by the refugees who migrated to Busan during the Korean War.One can spend as much time available. But at least set aside 4 hours for this place. One can plan BIFF Square, Gukje Market and Haeundae Beach in a day."
Anything Korean is available ,"If you like to bring home more than just souvenirs, here’s the place to visit. Household utensils, hardware, etc can be found here. It was worth exploring and discovering that the most memorable souvenirs were found here. "
Good street shops,Nice place to shop for things especially wholesale. Easy access to Busan tower after walking.Near BIFF and eateries.
Food and shopping,"A big market for the locals and tourists. It sells many things here - hardware, shoes, bags, clothes, daily accessories, food, snacks and many more. Huge variety at an inexpensive price. Worth the visit for sure."
"Full of foods, bags, clothes, etc","Gukje market is a big area with many small streets. Each street sells different types of things. There are household items, clothes, bags, shoes, lights, etc. The food sellers are selling in the middle of the street. Some of them provide small chairs to sit around the seller, but some not. You can just stand around the cart to enjoy the local foods. They sell Tteok-bokki (spicy rice cake), Eomuk (fish cake), Gimbap (rice roll a bit like sushi), Mandu (dumpling), etc. There are too many foods to have, just go there and explore yourself."
Market that sells a variety of things and snacks,"Gukje, Kkangton and BIFF are next to each other. You can visit these 3 places together. It’s best to get a map from at your hotel. The stalls in Gukje are divided into kitchenware, clothes, household items, hardware and foods. Got to try the popular street food at these markets. It’s best to visit in the afternoon and stay for dinner. "
Big like a maze! Endless exploration,"Gukje market is just beside BIFF square. You wouldn't even know that you have wandered into here as it feels part of the BIFF. There are alleys with street food cart all the way, fashion clothing & even 2nd hand clothes. Take your time to explore around."
Find it all here,"A good typical Asian market with a very local feel. It was a bit difficult to locate at first but once found, you could spend hours just wandering from one section to the other and lose yourself to all the sights, sound and smells. A good side trip if you're at Jagalchi Market."
They sell so many things here ,"There are so many stalls here where you can find korea traditional things, electronics, kitchen appliances, clothing, food, agricultural products, fish, dairy goods, ....... The alleyway connect with Bupyeong market or Kkangtong night market. There are also many chain coffee shop like cafe bene, angle in us, ... and so many restaurants "
Lotsa stuff to do,Enjoyed strolls around this market. From Busan Metro line 1 jagalchi station exit 7 walk straight around 5 mins. Its not difficult to get lost here! its also within walking distance to BIFF and Kkangtong market. Lot of sections that sells diff goods. They sells lot of inexpensive items uninflated like the one at myeongdong. Street foods here are way cheaper.
