review_title,review_body
Impressive,"As the largest shopping mall in the world it's huge, sparkling clean and upmarket with designer outfits and accessories but moderate-priced in the restaurants on the 9th floor and the Food Hall in the basement.We had lunch at the traditional restaurant Gaejung, ordered the Jeonju style bibimbap and the seafood stew with soft tofu. Delicious, kind and warm service, value for money. There 's even a water dispenser near the lifts in this super-store.There' s a kind of Jurasic Park for children on the 9th floor before you come to the restaurants.Worth a few visits even if you're not a real shopper, you can get organic fruits and vegetables in the supermarket and try the lovely snack foods, skewers of meat, fishcakes, nut chips, buns and bakery goods which all look appetising and well-prepared. The cafes offer gourmet coffee and innovatjve dishes, Western as well as Korean. "
Truly a big store,It was suggested by the hotel staff to go check out this gigantic department store. It's very well kept. The 9th floor park is a great place. The view is awesome. Unfortunately I couldn't find any halal products or food here. 
Great experience!,"Super clean, modern and exclusive shops. everyone was so friendly and helpful. Plenty of parking easy to get access."
Touring South Korea. ,"Our tour guide took us to this Mall for lunch and then a walk through some of the the duty free shops. I’m almost sure we went up at least 5 sets of escalators and we could still see more ahead. Our lunch was at a buffet restaurant and the food did not disappoint. The few stores we visited were all priced like home. I liked the cleanliness and open atmosphere of the place, but merchandise wise, it is not worth struggling with extra luggage, when you can get the same items at home. Just checked off as having visited one of the largest shopping malls. "
Very large department store but it feels like a mall,"Supposedly the World's Largest Department Store...well it is big and has a lot of stores, movie theater, ice skating rink, etc. Why would you come here? To see a big place with a lot of people. Again, a lot of people so only come here if you really need to go shopping. Otherwise, the best part is the food court in the basement with a ton of different cuisines and desserts."
great food court in the basement,"We grabbed a bite for lunch at the counter of a noodle spot and tried to copy the locals. Great experience and great lunch. Had a quick tour around the mall- saw the Guiness Book of World Records certificate, went on the escalators, got a Starbucks Busan mug and checked out the skating rink. Neat spot for a quick lunch and visit- I wouldn't spend too much time here as a tourist."
Highly recommend!,So huge and nice with many choices to shop and even nice to walk around in there! Even has a nice vr experience that you should definitely try!~
Dissapointing,"Huge Department Store, very easy to reach by underground train, staff friendly and helpful, but unless you are a Designer fan and prepared to pay the exorbant prices at one of the many Designer stores, you are out of luck. The selection of non-designer clothes, shoes, etc. are very uninspiring, floor upon floor of the exact same clothes, very boring and dissapointing. The Food Court is ok, the Ice Rink nice to see, the Cinema absolutely modern, these are the best things about the place. Not worth a second visit. "
Guinness Book Of Records - Largest Shopping Mall,"This was a ridiculously large shopping mall. I know of no other mall that packs all the following into one building: a rooftop playground (known as Zooraji) filled with dinosaurs statues and playground structures, a golf driving range, an ice rink, a massive spa complex (Spaland) and tons of shopping.Besides the above, the downstairs basement floors contained the food market (consisting of another very large assortment of food and drinks) and a pharmacy.For all the people in the mall that day, the staff do a very good job maintaining the displays and the overall condition of the building. Prices in general were a bit on the pricey side so we just window shopped.The Guinness Book of World Records certificate was located next to the main information desk on the first floor.Overall a good place to keep anyone in the family occupied or entertained."
Dim Sum and Cheese Tarts,"This is review is specifically for the restaurant DimDimSum upstairs (not in the downstairs food court). There were a few restaurants upstairs (Korean, Chinese, Japanese and possibly Italian?) and it was much more relaxed and quiet up there than in the food court madhouse. We ordered dim sum with shrimp & scallop, shrimp, duck with choi sum and noodles, and stuffed eggplant. Everything was scrumptious and the staff were very kind and polite. Afterward we ventured downstairs and were ecstatic to find Kinotoya Cheese Tarts in the food court. They also had them in the Lotte Department Store in Myeongdong. Yay!"
A shopping center ,One of the biggest shopping centres I’ve seen. There is a lot of things to see. Many famous brands. Prices are cheaper then in North America. 
Nice high end,Nice high end department store. You can find everything you need. There is also food everywhere. And its near metro 
Shinsegae department Store,"It’s just a large building with mostly western high end brands, nothing you won’t see in any big city on the high end shopping streets, but disappointing that the lonely planet marks it up so high as if it is a must see, just wanna give you all a heads up. Spaland was alright if you wanna relax for a bit also don’t let the pics foul you as if it is a must, there are much nicer spa’s around "
Just a shopping mall,"I came here in search of something to do on a very rainy day in Busan. As someone who does not like shopping, I quickly realised this had been a bad idea. It is a very big and impressive shopping mall, but still just a shopping mall all the same. It is filled with western brands you can find all over the world.I checked out both the CGV cinema and the Lotte one at the top of the Lotte department store next door, but my timing was unfortunate there as both of them were showing almost nothing except Avengers: Endgame (the Lotte one, bizarrely, was also showing Notting Hill from 1999, presumably a 20th anniversary re-release).Anyway, in summary, if you like shopping, you'll be in heaven. If you don't, you'll quickly be bored and searching for something else to do."
Very huge shopping mall,No doubt it is huge with 2 departmental stores and many many small individual shops. Easy to spend time here and also plenty of food and resting spaces to rest your tired legs. Check out the plaque out front of the building that states this place is recognised as the biggest shopping mall in the world the year it was built.
Not a shopper but very impressive mall,"I do not like to shop, but even I must say this is a very impressive mall. It is absolutely enormous and we let our two teenage girls have an hour to run around. I don't think that was enough time - I bet you can spend an entire day here. The food court was really nice and we had lunch there. The claim to fame is it is supposed to be the largest."
Had to check it out,"Nice store ,impressive spaland,Nice ice rink for kids and family ,food stalls ok for choice by ice rink , but overall very expensive store with big designer name ;Gucci pradas and all big designer names you can think of. (Can't really shop here ,out if my reach ) . But had a quick look and I can say ;I've seen the world's biggest shopping store hehe lol "
Massive with duty free options,"If I were shopping for duty free items, this would be the place. One could also process tax refunds immediately and also arrange to be sent to airport for collection at the boarding gates. A simpler option of course to purchase from the airport. Duty free shopping is hassle free. "
This mall is conveniently connected to the subway station and spans multiple levels,"We visited this mall on a Monday afternoon. This mall is conveniently connected to the subway station and spans multiple levels. We tried many of the stall selling snacks, bread and gelato, among others."
Fun to walk around,"We wanted to visit simply because of it’s world record. It was fun to walk around, but we only spent 1.5 hours here. The more affordable shopping is in the basement floors and we liked looking at the food areas. We also enjoyed the arcade, which is on the same floor as the movie theater. It’s fun if you’re in the area, but from our perspective, skippable unless your purpose is shopping. You can also window shop at LOTTE Department Store next door. "
Biggest Department Store in Korea,"Shinsegae Department Store Centum City holds the distinction of being in the Guiness Book of World Recordsas the largest department store in the world in size and floor area. On e day is not enough to explore all the shops and dining places inside. For all your shopping needs, you will find everything in Shinsegae Centum City"
Massive Mall,"This place is massive and seems to go on forever. Just about every name brand store is here. Not as well organized as it could be, but with so many options that's to be expected. As some have noted, the prices are not cheap. If you are expecting major brands at lower prices as you would see in a mall in Bangkok you will not find that here. Prices are not bad, just not as low as in some other locales. Food options abound here, with basically three separate food court areas. The best are on the lower floor with the grocery store. A goid place to wander and shop."
Amazing store with large food court,"This is a huge store with an even larger food court. Every food imaginable, in different little areas. Korean food, Japanese bento, pizza, burgers, macaroons, Cinnabon cinnamon rolls, choco pies, French pastries....AMAZING!!! Also a grocery store is present. Everything under one roof. Short hours compared to USA....opens at 11 AM...closes at 8PM most days."
Shopping,shopping department store with really good prices but I prefer lottee department store even better during sale 
Just like any other big city mall,"Despite the glowing reviews for this place, I strongly would not recommend it unless you have a lot of time to spare or you have not experienced any malls before.While the facilities of this place is commendable and there are a lot of stuff to buy, Shinsegae is no different than other big city malls out there. The price range is also on the higher end, with items costing an average of 20,000 to 50,000 won.Coming from Singapore, Shinsegae just reminded me of all the big malls like Ion Orchard or Vivo City. Not a lot of difference, except maybe Shinsegae has bigger walking space and taller roofs. Don't deny that the place is huge but it's just different floors with the usual Men, Women, Children and Furniture departments etc. There's also a Kidzania, spa, cinema and golf range here if you're looking for something besides shopping. If you absolutely love shopping or have time to kill, then this place is for you. Otherwise, I would not recommend this place as it doesn't offer anything different other than a mall shopping experience in Korean. "
Massive shopping center,"Really neat to walk around and experience the massive shopping center, however the price tags are also massive in every store. I expected it to be pricey, but didn't expect all of the hundreds of stores to be so unreasonably priced."
Largest department store in the Guiness book records,"The department store carries most of the brand names as you can find in most department store. Interestingly, it is segmented into two buildings with a connecting bridge. As this is my first time there, one can get lost in the maze of shops. You need to see from the exterior to see the extent of space that it covered."
Big but nothing special,"If looks like any other major shopping centers that I have been to. Only manage to browse through the first storey as what I have seen did not attract me to go further. For shoperholics, I believe you will have the time of your life as this mall is HUGE. "
Huge shopping centre with big cinema,"Watched a movie with my family, the audio was in English with Korean Subtitles. The Starium cinema was beyond big. It was very comfortable and spacious inside the cinema. It is said to be the largest cinema screen in the world and I have to agree cause it was massive. There were so much things to do and shop there in Shinsegae that you can easily spend the entire day there. The spa land is great for seniors and adults. The kidzania is great for young children and the arcade and shopping is great for young adults and teenagers. The variety and quality of food is to be commended on as well. Many international cuisine dishes were served which made it very inclusive. Recommended to visit when you have an entire day of schedule free."
Big & Clean Mall Easily Reached By Subway,"This is reputed as one of the 5 biggest malls in the world but I think it ""was"" and not ""is"". Make no mistake that it's big but I personally seen bigger. This mall does have 4 floors of indoor golf driving range which is pretty unusual. Included are men and women's locker rooms where you could change into your golf outfit, practice your swing or take a lesson on the range, take a shower and change back into your street clothes, and no one knows that you had practice golf. The mall also has a big food hall in the B1 level where there's a variety of Korean, Japanese or American food to choose from. If you want a nice quiet environment to drink coffee, you could also go to the 9th floor where there isn't so many people. All in all, a beautiful, clean mall for shopping, eating and practice golfing..."
Great mall! ,"A great mall! So many food, so many shopping area. A must visit place in busan. To visit here : Alight at Centum City Station "
Great mall with a great food hall,It was a great mall with great shopping opportunities but most importantly with a fantastic food hall!! My husband is very picky with food and I LOVED the opportunity to eat what I wanted while he got what he wanted as well!
Wonderful mall,"Big, top class, clean.All exclusive brands in one place. Don’t miss the food court in -1 level.Also is a tax refund bureau."
Be prepared to get lost!,"I visited this store twice and could not find my way out into the rest of the mall. The store is massive! Every brand you can think of is here!If you are here to wander for hours, you have picked the right place."
Designer and Overpriced Food Galore,"Full disclosure, I went during dinner time the week of Chuseok so it was probably madness compared to most days, but expect a wait on the escalators or for any sort of food vendor. It's overwhelmingly big, but the majority of stores are just designer outlets with jacked up prices. I recommend the H&M though, nice selection for foreigners and spacious fitting rooms."
Just a shopping mall,"One of the biggest in the world, therefore it's quite easy to get lost there, lazy elevators, too many people, lots of too expensive luxury-stores (compared to europe)..."
A very big department store,"We visited at night on our way back from Haeundae beach. It is supposed to be the biggest department store in the world. Next door is the Lotte Dept store. If you like to shop for branded products, you can spend an entire day here, otherwise just spend a couple of hours to walk around. The area is huge. There is also a food court where we had a meal and drinks. Go to the rooftop at night and you get a good view of the surrounding area. Be aware that elevators are inadequate and slow. There is a metro station here."
"Huge, lots of shops but nothing special","If you like shopping you'll like it here, as the choice is huge, but it is nothing special.Visit the duty free shop to buy duty free items but carry your passport with you and evidence of a booked international flight."
boring use of time,"Shinsegae Centum City. The largest departmental store in the world. Spent a total of 15 minutes here and decided, nah, lets get to someplace else to explore."
"Good Cinema, nice department store, not enough elevators","Went to the cinema here and visited SpaLand. The cinema was good, very comfy chairs and good sound. SpaLand was also very nice.The department store is full of fancy brands. Nice to walk around here.It did bother me that the elevators are very slow and there aren't enough of them. The capacity is also limited, like only 10 people. It then says that it is full and it doesn't close...."
Worth a visit for a day's worth of activities,"This place is huge, with spaland and ice skating rink, and a huge foodcourt and restaurants abound. You can spend an entire rainy day here if you unfortunately has plans side tracked by weather."
Largest Department Store in the World,While this place is enormous I thought it was pretty average overall. Goods seem to be sold at a higher price than in similar stores nearby. Worth going to for a look but if you want a bargain shop elsewhere
Huge mall,Huge mall... With all varieties... Good discounts on branded products... You need atleast 2 hours to cover both sides... Decent food.... 15 minutes in taxi from huaendue beach.... Worth a visit.
Hints on this place,"1) Keep in mind there are two buildings. The big one is mainly dedicated by luxury brands and expensive shops. The second is more casual and democratic. Buildings are connected by the brige and in a basement (B2 floor).2) Obtain store guide near the entrance. The mall is too big for a human being ))3) B2 is one of the best floors. Book store, electro mart, good shops to buy a gift for friends.4) Food market (B1 floor) is good, but it almost always overcrowded. It's hard to find a place to eat and seat.5) Very good nursery room on 6F.6) Don't forget to have Tax Refund! Counter is on B2."
Its soo big,"Go 14 floor, lower ground is libray got ice skating there..got many iternational brands, a good place to look around and shoppings"
