review_title,review_body
One of the best fish market for our view and taste. ,"What a pleasure for the senses to stroll along the walkways of this big fish market. Go inside the covered building and look at live swimming fishes, crabs, giant crabs, abalons, eels...You can order them cooked to your taste. Prices reasonable. "
Speaking Korean is the key for a good deal,"Came here from Yonggungas Temple by taxi for 8000won.Ordered 1 snow crab (2kilo) for 80000won, with two snow crab for free.Table next to us ordered 5 snow crabs (~2.5kilo) for 210k won. Avg 42k won each. Speaking Korean and doing your research is important. It was tasty nevertheless."
Good shopping experience,I shopped here in December for some souvenirs and gifts for friends and relatives.You need to bargain very hard for the best prices.
Snow Crab,"We was there in the evening, take the subway to Haeundae station then the bus no 39and get off at Gijang elementary schoolit is one stop before Gijang market stopbecause it’s more nearer to the market, then walking back and turn right inwe went to Ching Ching restaurant the sellers are really nicegave us the discount, you pay for the crab and also pay for the side dish , they charge each 3000 won ( it is really worth the money)after we finished, the uncle seller is very kindhe asked us where we heading backthen walk with us to the bus stop :)we will visit you again for sure"
Seafood lovers Haven!,This spot is one of the best seafood market in Korea! The prices are all reasonable. We bought a 3 kilos lobster for only 100$ and 4 kilos King crab for only 130$! Of course you will have to bargain a little bit to get them even more cheaper so having a korean friend with you will also be a good idea . Over all the experience was amazing it was very delicious dinner. We will definitely comeback! 
Nice place for various choices of food. ,"Nice place for various choices of food. They have the expensive one to cheaper one, like seafood and tokboki. "
It used to be better.,"Years ago the market sold a wide range of delicacies. However, it mainly sells crab these days. The drive to sell typically makes the sellers shout and try to herd you into their stall. Overall, it was not the greatest experience. If you are specifically looking to buy crab then maybe it might be worth your while but honestly Jagalchi is a lot better. "
Ultimate crab brunch - reason for the extra mile,"At Haeundae metro green line 2, we took Exit 7 and bus 181 to Gijang market. Be prepared for a fairly long ride (about an hour, depending on traffic). The bus stopped at the market entrance - if you're not sure, ask the driver for Gijang Sikdang.Many shops with dried seafood of all sorts - ahjummas offered us free tasting. Upon weighing, they added the customary ""service"" of an extra handful. Happy customer 101. However, do note as some vendors may be more light on the scales than others.Our mission was the ultimate crab brunch and we accomplished it. We browsed a few shops and finally settled on the one with a giant crab above their building - we figured, how can we go wrong? The seller spoke perfect English and we finally agreed on 3 big snow crabs, 1 large king crab + 1 ""service"" snow crab for W272k for 8 of us. Came with 8 portions of crab roe fried rice (yummy) served in crab shells and plenty of kimchi. Post brunch, we bought some banchan (mini crabs, squid, seaweed) and hopped on bus 181 back to Haeundae station - bus stop is across the road from the one we alighted earlier."
Huge crabs,"Saw stalls with huge king crabs in water tanks, baskets of many different types of seaweeds. We had lunch at one of the many restaurants with live crabs. The crabs were very sweet! Good place for lunch."
Miss the old one ,"Transportation: New GiJang station Pos: lobby is relatively large and brightCos: the hotness of carriage made me feeling dizzy n hard to breath... Besides, remember to bring an umbrella, you will need it whenever it's sunny or rainy day in the platform. "
