review_title,review_body
Lost in the mountain,"We arrived via subway (Oncheonjang Station) and up the cable car; we followed internet directions to reach the South gate, after that we got lost.The fact that it was raining on and off and the few signs didn’t help us. After a while we went through a little village (main dish they offered was duck bulgogi) and afterwards down (bridge/little river/rocks) and up (steep part). After hiking for 5+ hours through the mountain we finally reached Seokbulsa temple and it was worth it!It started raining again; there was only a couple walking around and soon we had the place all to ourselves. We have seen several temples, but got to admit the wall carvings are truly unique. We were thankful for 2 things: the drink vending machine a little before reaching the temple and for not slipping down the rocks along the way and being hurt.Arriving through the road (not the cable car) there are taxis that can save you around three fourths of the steep ascent, but missed one going the opposite way so had to walk down and had some food mid-way at a nice looking café.Once we reached the bottom since we arrived from a different place and there was no subway around we asked a guy waiting for the bus and told us to cross the street and take the bus; we did and arrived at Minam subway station to change to line 4.I enjoyed the hiking, but my teenage son hated it. My body hurt the next day, but I was still smiling."
Peaceful half-day from Busan,"We left the Busan Tower area at 7:15 am and were back by 11 am - an easy half-day activity. Not sure why everyone says it‘s so hard to get to. We took subway line 1 to Dondae, then took bus 46. Just put Seokbulsa in Kakao Map, and this is the path it shows. The bus drops you off right at the 1.5 km path through woods and onto a sort of street to the temple. It took us 30 min. from there. The last 500m were the steepest. English and Korean signs all the way up. And it seems you could drive/get a taxi up if you really needed to. There were only 2 others there when we arrived. It was so peaceful and beautiful - the rock carvings, the views... a true highlight on our Busan trip. We were too early for the cable car on the way out. Thought we could take the cable car down, but the signage to find that path from the temple was questionable, so just took the same path back down. Would suggest going up with the cable car and back down toward Mandeok to the 46 bus. There are plenty of signs down. "
Unforgettable,"This temple was the highlight of our Busan visit. You can reach after taking the Geumgang Cable Car, but there is also a bus stop not to far away from the temple. We took the cable car and had a hard time finding the temple. We had to ask for directions, but luckily found a very friendly Korean gentleman who showed us the way. The walk to the temple was not easy, so you'll need to be in shape.But when you reach this temple everything is forgotten. The view on Busan is breath taking, but what makes this temple truly unforgettable are the magnificent rock carvings. What a tremendous feat!"
In the middle of no where ,"This temple is very hard to get to. We took the metro and then we hiked for a good 1h before we got there and the path is not an easy one. Since the temple is on top of a mountain, the hike is straight up. But honestly, once you get there, it is SOOOOOOO worth it. The views are breathtaking and the carvings on the stones are so beautiful. Once you get there, there is such a big sense of piece. I would really recommend it. "
Unique carvings ,"Firstly, we came here by car and the journey up was quite something. Basically just keep going until you can’t go no further! It will mean going up some rather steep roads but there is a small car park at the top (just a level down from the actual temple - much better than parking early and climbing the steep slopes up). The stone carvings are like nothing I’ve ever seen. Really interesting and impressive. I also tried to find the room with loads of buddhas but was unable to? The air up there is very clean and fresh. Good views in places."
Beautiful Temple besides the sea,"Nice relaxing place for worship and scenery in Busan, Korea. Public bus transport at Won12,000 from outside Haeundae station to bus stop along main road from temple. Then a nice stroll to temple ground. Temple have simple route to main hall complex. Entrance is free and relaxing place to pray too. A spring head provides cool refreshing water to drink too. Avoid morning tourist timing and the crowd is manageable. Stroll around the temple complex and toss a coin from small bridge, visit the temple prayer hall and then walk to seaside area. Under ground room is cool and half a day is sufficient. "
Favorite Temple in South Korea,"My husband and I spent 6 long months working in South Korea. During our time off we often visit temples and this by far our favorite. It is a little difficult to locate, but not too bad considering we didn't know the language and were still able to find it. We drove most of the way up to it and parked along the road. We were not sure what the road would be like further up and had a large vehicle, so pulled over and parked where we could. This place is AMAZING. Large carvings in the cliff. A room with thousands of buddhas. Very, very quiet and peaceful. Not a lot of people. It felt like a real sanctuary on top of a busy city. Definitely recommend! "
Unique Stone Carvings- Worth a visit,Seokbulsa is small but different than other temples in Busan due to the huge stone carvings behind the temple. Certainly worth checking out. You can come most of the way by vehicle or you can hike from the Fortress if you want to combine the sites and get a little exercise.
Breathtaking! ,"The most beautiful temple I've seen in Korea! Most authentic and impressive compared to all those ""mambo jambo"" touristic temples. Worth the visit in Busan! "
Peaceful place for nature lovers,"This place is seldom be mentioned in any guidebook in Asia. I just found this place accidentally through a news website. Before visiting this place, my husband n I found there r lots of routs to go to the temple on the internet. So we choose to take the subway to Mandeok Station( exit 2) first as our plan. Once u got out of the station, u'll see signs in English all the way which indicate the direction to Seokbulsa. So u don't have to worry about getting lost in the mountains. But I still recommend people who wanna go to Seokbulsa better learn how to read Seokbulsa in Korean. Cause there r signs indicate shortcuts in Korean on the way. Actually we should walk for at least 1.5 hr to get there, but we took the shortcuts n got there less than an hr. I don't know how to type ""Seokbulsa"" in Korean, but it's at the right n top of the 1st pic.The path is kind of hard for climbers especially the last 600 meters to the destination. U'd better not to take any little kids with you. The path is kind rough even for an adult.  The views on the way r really great. Once u got to the temple, u will feel it really worth it."
