review_title,review_body
Hikers gonna hike,I can't believe the stamina of Koreans...I'm loving this hiking hobby. You're gonna hike for more than an hour or two so wear proper attire. 
Great hike while enjoying an historical site,This was a lovely easy-moderate hike with great city and mountain views. It is a beautiful setting and worth the trip out of Seoul to see.
Nice hike w great views on Seoul,"Went there yesterday w our boys. Nice views of Seoul. Easy to hike. Best to arrive as early as possible, as parking can be difficult on holidays or weekends.The palace is nice too, but there much more exiting ones to visit"
Quiet walking close to Seoul.,"A lovely quiet place to walk through woodland with some beautiful traditional Korean building. To get there we took line 8 to Sanseong station came out of exit 2, about 20 meters down the road is the bus stop, we took bus 9 up to the park. The park is the last stop and most people get off there. We got off a little sooner to walk up through the wood. Once you are close there are many paths up. The area is quit large and you can take a gentle stroll along the wal or zigzag up and down to get some more hills in. There are lots of signs and you can pick a map up close from one of the huts close to the bus station. The maps did not appear to be internally accurate or to scale, some of the maked paths are smaller than they appear and some large paths are not on it, but it will give you a reasonable idea. There are quite a few little temples and shrines doted about as well as the fourt and the palace. The main reason to come is the walking as the buildings are no more impressive than those found closer to the centre. It is quieter than the more well know walks this close to the city."
A hiding place,"This was actually something I took from tripadvisor thinking it was close to the city, we took a taxi from Itaewon after we went for breakfast there. Taxi did not speak any english so I was glad that I added the name of this place in Korean so he put it on his GPA, this taxi guy did not know where this place was located in fact most people in Seoul do not know about this fortress is actually about an hour away from the city of Seoul but once you get there is a little town and you find the trail to start hiking. You see lots of local and elderly people hiking up, it is a beautiful place with beautiful areas lots of trees and you can actually hike all the way to the end, but sadly we did not had much time to do so since the taxi guy was nice enough to wait for us. So I guess that by doing a personal tour or even renting a car you can come here, I truly recommended."
"A great nature walk ""along the wall"" :)","Famed for its ""encircling wall"" which is really a ""fairly short"" wall (at 5-foot-6 my head was either at par with or just slightly below the ""roof part"" of the wall in some places but was clearly above the wall in some other places; in any case you can be sure if you're of an average height that you'll have a ""clear view"" over the wall pretty much all the way as you walk along the path alongside the wall), I walked around this ""mountain fortress"" from the North Gate to the West Gate to the South Gate taking in the ""very peaceful"" nature scenery of mountains & forests over the wall on one side (on the other side of the path is also a wooded area throughout); and besides taking in the nature scenery along the path, the gates themselves are also ""good sights"" especially the South Gate (the ""most popular"" gate back in the day when this was a functioning fortress as I learned from the signs) which can be gone up and where there's a little park just outside the gate, and there's also the West Command Post just a little inside from the main path (about a 10-minute walk from the West Gate if you're going toward the South Gate) which is a ""fairly sizeable"" building supported by pillars all around on a stone platform with an associated ""sad history"" that the commander of the post was falsely accused & executed despite a raven appearing to vouch for his innocence (as he said it would!). Also, as you approach the West Gate from the direction of the North Gate (about a 20-minute walk between the two gates), the main path ""forks"" into a secondary high-ground path just about 5 minutes before getting to the West Gate, and I suggest going up that path (can also go up from the other end when you get to the West Gate) for ""quite a breathtaking"" view of the city below with its plenty of high-rises (likely the southern outskirts of Seoul as that is where this mountain is).And yes, apart from the walk along the wall, there's the so-called Emergency Palace (so named because it was where the Joseon kings fled to in times of invasion by Chinese & Manchu back in the day) which is ""considerably compact"" compared to the palaces in the city on their huge expansive grounds, but I figured they reasoned this was just a ""temporary palace"" for times of crisis so it didn't need to be a big palace; it's quite conveniently located near the rotary (roundabout) area where if you come up the mountain by bus is where you get off and from which it's also just about a 10-minute walk to the North Gate, so you have an option either to go into the Palace first (ticket required from the little ""hut office"" near the roundabout where they also have tourist maps of the area available free of charge) or do the walk first starting at the North Gate. And what I suggest if you only have a limited amount of time (if you don't plan to spend like ""the whole day"" here) is to ""turn left"" when you get to the North Gate and make it to the South Gate via the West Gate for a little less than an hour in total, then take the ""shortcut path"" which goes through the woods back to the rotary area and which to my surprise took only like 15 minutes in total all the way from the South Gate to the entrance of Emergency Palace! On the other hand, if you want to continue from the South Gate to the East Gate, the main path alongside the wall seems to have a ""break"" when you get to the South Gate although I'm sure it resumes at some point to continue on to the East Gate (which I didn't get to since I took that shortcut path through the woods as mentioned above to get back to the rotary area).Coming by subway, Sanseong Station (on Line 8) is where to get off followed by a bus ride that takes about half an hour to the rotary area where you get off (as mentioned above) & where there are also places for food (I had a ""pretty good"" sandwich breakfast at the GS25 store with some tables & chairs to sit down and eat at the back of the store)."
Great Trail Running in a huge city!,"We were visiting Asia to run an ultra marathon in Nepal. We spent a few days on a layover in Seoul and needed to get in a 2 1/2 hour run. We found a link from a website that recommend this park. It is a beautiful park with 157km of trails in the middle of a huge city. It took an hour via subway to get there but was well worth the effort. The trail we took was a pretty good climb (about 3000 feet over a 2 1/2 hour run). To find the website about running, just google ""Seoul trail running"". There are several suggestions for running. We chose the run titled ""Seoul Trail – Starting from Suseo Station: 10-14 km Moderate"". You'll also get some great views of the city."
The huge fortress in the picturesque mountains.,"Namhansansung means Fortress on the mountain Namhansan. This fortress included by UNESCO in the list of World Heritage in 2014. Of course, this fact has affected the number of western tourists. Though I can`t say it was too much. This place is popular mostly among Korean people. The trip here from Seoul requires a half of day minimum. You should use subway (line 8) to get to the station Sanseong (prior to Namhansanseong). After it needs to use bus 9 or 52. The bus will go to the mountain. It doesn`t need to pay smth for the park but the visit to Emergency palace costs 2500 KRW. It takes 30-40 min. But the inspection of the park requires a remarkable physical abilitues. It`s about 55-60 km around the perimeter. I doubt that most of tourists will be able to do it, But I saw a lean Korean seniors and something told me they went around... As for us we just climbed to the Norht gate (Bugmun gate) and climbed a little more to the Site of North command post and after that turned back. Seoul waits us."
Fortified Forest,"Very pretty spot nestled in the mountains with diverse sites and lots of history. Generally easy to moderate walking with restaurants sprinkled throughout the entry area for breaks as needed. Crowds were minimal on a weekday mid-morning and allowed for great solo exploration. Easy to access from the Sanseong or Namhamsanseong metro stations - it is the last stop on a couple of local buses, primarily #9, which allows for pretty views on the drive up."
A Great Way To Spend A Sunday Afternoon,"We use to live in Hanam City - and if you do too - then there's no excuse not to visit this great little attraction! It is about 1.5-2 hours walk out of the city centre. Simply follow the rivers upstream (walking South away from the Han) and then when the rivers disappear walk up the mountain, once you get round to the other side you will be at Namhansanseong! I wouldn't say there is an abundance to see but the fortress is pretty and as well kept as similar attractions around Seoul and its satellite cities. You get good views over Jamsil and the Lotte Tower being built there and there's almost always someone selling delicious Korean food or ice creams from a cool box! It's a great way to spend a Sunday afternoon in late summer, that's for sure."
