review_title,review_body
Great water park!,It was a great experience and personally think it is slightly better than the Caribbean Bay. More food varieties and facilities are more organised. But the slides and waves are not as exciting than the Caribbean ones
Summer escape ,"What a fun day at Vivaldi Park Ocean World! My friend and I went there last weekend, and we had so much fun Lots of rides, cafes and good changing room facilities One thing tho, I would definitely recommend going there during the week, as we went on Sunday and let’s just say- it was PACKED so we had to wait long lines for slides & rides~ Other than that, it’s a perfect getaway "
We went during the winter season but is still good fun.,"We stayed at the Vivaldi Oak Suite for a 4 nights and took ski lessons. We spent one afternoon at the next door Ocean World. It's only a 10 mins walk to the ocean world from our hotel. It's all heated indoor, and the water is quite warm, so it is still okay to go. At first, I thought it might be too cold. Once you went in, they had a ticket counter. I think is 50,000 Won for adults and 40,000 for kids. Then, they would give you a key to put on your wrist, and there was a number on the key, and that's the number for your lockers for shoes and inside the changing room. They have a huge sauna area in the ladies changing room and the men changing room. After you walk out from the changing room, then is the main play area. They have a lazy river, a small lap pool, a large kids playing area with slides and huge bucket on top that pours water down every 5 mins, jacuzzi, a small children play area where they can scoop the gold fish, and 2 long slides for older children above 120cm. My daughter was presently surprised to find a slime corner at the entrance level, where you pay 50,000 won or something to play with a cup of slime and some decorations and to bring home. That's the highlight for her. I enjoy the hot tub jacuzzi both near the pool and inside the ladies changing room. Overall, it's good fun, especially after a day of skiing.. will definitely go back. "
water park & winter ski resort,"world big 4th water park. winter ski world resort. 2,500,000 peoples come every year세계 4대 워터파크이고 강원도에 위치하기 때문에 연중 2백5십만명 이상이 찾는 유명 리조트이다.외국인들도 많이 오고 서울 경기 충청지역에서 무료셔틀버스를 이용할 수 있어 인기가 높다."
Need to pay for everything ,"Spent 5hrs in ocean world with my 5yr old daughter, height of about 110cm. For families with younger children or height below 120cm, or those who are planning to drive, please read my review. Please be prepared to pay for everything within the park. I know most parks do not provide towels for free, ocean world is not an exception too. But i am surprised i have to pay to rent the life vests and sun beds, which most theme parks would provide for free. I m saying sun beds, not cabanas. Well it comes as a shock to us that we have to pay for everything else after paying entrance fees of $160 in total. Theme parks such as Atlantis in Dubai or adventure cove in Singapore, do not even charge for sun beds or life vests. You may be thinking ok i will do without a life vest, sorry, they insist on their patrons putting on life vests for most of their pools. Note: -parking in located right in front of the theme park, just drive to the entrance of the park, you’ll see a multi storey carpark-signages to park is not clearly visible, pls take note if you r driving. I did not know the carpark is right in front and hence parked across the road, and had problems finding the main entrance. They have 2 entrances, 1 located near the youth hostel, that entrance is for groups. The other entrance is at the opposite end of youth hostel, nearer to vivaldi main centre. So just drive to main entrance as per your gps instructions. Carpark is there and main entrance is right there too.-pls pick up an info guide from info counter next to ticket booth and read it carefully. They are very systematic. Shoes needs to be removed immediately upon entering and kept in lockers.-pls get a coin band for all purchases within the park at the coin band counter once u pass the entrance. No cash or card is accepted within the park for all rentals and food n drinks.-no outside food and drinks is allowed, they would ask and check your bags. Kids’ water bottles seems to be fine. -entrance to the slides and play area is accessible through the stairways in the changing room. Meaning, if you have a son and the father is not with you, your son would have to go to the men’s changing room by himself and meet you at the entrance after going down the stairways and vice versa. No way you can enter together. For younger kids, this may be a problem if the same gender parent is not around. -everything is in korean, announcements too. -staff don’t really speak English fluently or understand english very well. Pls be prepared for that. signages are in multi languages though.-Please bring your own towels otherwise you’ll have to pay to rent towels too. -pools in indoor area are heated -Please book your tickets in advance which i did, so you won’t have to wait for admission time. The park do not allow more than a certain number of visitors at one time, hence, patrons have to wait for the time allocated to them to enter the park. Tickets bought in advance can enter without waiting. Was glad i did that. Anyway i had a hard time searching for tickets online, Klook did not update theirs, still winter tickets....KKday don’t have either. I emailed damyeung to ask if i can purchase online tickets anywhere, nobody replied my email. I finally found tickets on indiway. Hope this helps. Or perhaps, you may try klook again.-do not be alarmed, people walk around naked in the changing room. And do not stare, its rude in their culture. Basically nobody would be bothered by one another’s nudity. Its part of their korean sauna culture.-all patrons MUST wear a hat/cap/swimming cap/bandana OR rash guards with hoodies is fine too.-sun is scorching hot and glaring but its windy and chilly at the same time around this time of the year, pls prepare your kids to brave the weather conditions in advance.Ocean world is a huge water theme park, consisting of several zones, including a indoor zone. This indoor zone basically is a miniature of whatever slides, playground, heated pool, massage pool and lagoon they have outdoor.It is especially made for kids like my daughter, height below 110cm. They are extremely strict with height restrictions and will have their staff roaming around taking the kids’ height. If your kid is over 110cm, they are NOT allowed to play in the indoor playground. Yup, over the height limit, please use outdoor playground, which means if your children are of ages 5 and 8 etc, 1 has to play indoor, the other pls proceed outside. I am not saying that older kids are not allowed indoor, but definitely not at the playground. Other areas is fine. I must say my daughter had a splashing good time in the indoor zone. For adults i think it can be quite boring if you have a young kid in tow. I yawned several times in the park. Think height limit is way too strict, if the kids are accompanied by guardians, there should be some exceptions to use their bigger outdoor lagoons which seems to be more fun and exciting, just like most other theme parks. But your kids need to be at least 120cm-130cm. 120cm accompanied by guardians, 130cm to go alone. Well i guess its a safety precaution which I cannot blame them. There are many heated pools, massage pools and jacuzzis within the park as well, something that i have not encountered in water theme parks, which is a plus point. They have their traditional saunas in the park itself, if you would like to use the facility, you have to pay extra. Pls avoid going on a Public holiday. I made a mistake not looking up their local calendar and booked the tickets on a PH. The park was swarmed by their locals, i would say its over crowded. We went on a 21 days road trip in South korea with my 5 yo daughter. If you have any qns with regards to driving etc, do feel free to ask. I will try to help. Hope my review will help you plan your trip better. "
Vivaldi!!!,"It's a winter wonderland!!!Ski, cable car, snow, snow boarding... very very cold! White Christmas and everything!"
Surprisingly Crowded During Early Winter,"We bought discounted tickets from Funtastic Korea. Didn’t notice the fine print that the vouchers had to be PRINTED (no access to printer in korea), but decided to try our luck anyway. Luckily the ticket office was flexible and did not deny us entrance to the Ocean World.It was early winter, and only the indoor section was open. I was surprised to find the indoor section so crowded (weekday afternoon)! It’s not school holidays yet. Don’t the local children have to attend school? Although there were no queues for the pools, the noise level from squealing kids knock off one star from the review.Dr Fish (extra charges apply) was cool! The wave pool was a hit with the kids. I found the water not warm enough though. So I spent more time in other massage pools. Again, very crowded.Some tips:1) Cash not accepted in the compound. Please charge wrist band before entry. Minimum charge 10,000 won.2) Life jacket compulsory is wave pool and indoor flow. Rent at 6,000 won.3) Swimming cap compulsory. Buy at 4,000 won."
Good place,Big and nice place to have excellent time.ticket prices is same regardless which time you go so it had better to visit as early as possible.For foreigners there is a 30% discount. that is very nice )))Closing time is 7pm. be sure to have good time before that time.Enjoy )
Fun Day!,"Really enjoyed Ocean World. Booked on klook and klook gave the wrong info on the voucher re the timing and korea contact number, so we did not get the bus on Friday. Contacted Daemyung Resort directly and the service was great, they found us the local provider who solved the problem and brought us there the next day.Ocean World is very well organised, with place to keep your shoes, lockers, towels, plastic bags for your wet clothes. There's a hot tub / bath area after you are done with the park. It was kind of cold but there were tons of people there. The longest wait was 1 hour for the monster blaster which is only open without reservation after 3pm. The other slides (both indoor and outdoor) were all good fun. There were jacuzzis everywhere so we hid in those from the cold. And the extreme river and wave pool's waves were real large and amazing. Perhaps one improvement could be the food though, as there's not much choice (most stores sell the same food). Ride from Seoul took about 2 hours both ways (free shuttle bus)."
tourist package deal 35000 won w/ sleigh ride 2 hr,"Got the tourist package for 25t won, The sleigh ride is ok, for a few mins than you get bored of it fast. but the water park is great for kids, Adult go to the spa where you HAVE to be NUDE/ NAKED. They have all what you expect from a spa/ water bath in asia. First time I experience it and I liked it."
