review_title,review_body
Loved the outdoor springs be careful with the river ,"My kids loved this place especially after spending several other days outside doing winter stuff. The water park is warm , clean and there is a lot to do. The wave pool and water park were fun. We really enjoyed the outside sauna and pool. The river, tube pool was a bit too strong though and I would say almost dangerous for kids under 8. It’s just rough and as an adult, I felt a bit seasick afterwards. Other than that, great fun. Try to get there either before lunch or just after since they will close in the early evening. They also close on Monday’s, so schedule your trip around that. When we went the cafeteria was a bit backlogged and took a while to get the food so possibly order 30 minutes before you think your kids will get hungry. The water park was a highlight of our trip for our kids so I would recommend it. "
Nice indoor thermal water park,"It's a great water park. I thought it was going to be very cold during winter. I was wrong. The park was warm and the water was just nice. There's a lot of things to play inside. Slides, tubes and a fake wave pool too. Very clean. There's personnels around the area to assist you after you slide down into the pool.It's just beside the Alpensia Pyeongchang Ski resort. Walking distance to the ski area and Holiday Inn Hotel.There's place for lockers, showers and a shop selling swimwear & gears if you've forgotten to bring yours.My kids enjoyed it so much. Mind you it's during winter some more. Just awesome!"
Over priced and charged,"Facility is fine but over charged . After the main entrance fee , you have to rent a life vest and cap (this is mandatory, regardless your swimming ability ) , and rent a lounge chair if you want to sit on the side to watch your kids. "
Pleasant surprise for kids!,"Stayed at the Intercontinental for 4 nights during the winter months mainly for skiing. This water fun park is a great break from skiing when the kids were a bit tired of skiing. It's not the greatest I've been but quite good with about 5-6 areas with different rides with floats and tires. My favorite was being able to swim outdoors in warm water when it's like -5C outside, almost like the onsens in Japan. We went after day skiing about 5pm and stayed till 8pm which was really plenty of action for kids to exert whatever energy they had after skiing. Slept well that night!! "
Not bad if weather prevents skiing ,"Spent an hour with my year old daughter. Facilty is modern and clean. Difficult to navigate if you do not speak Korean however staff are exceptionally friendly and really try to help. Park is advertised as one of the largest in Korea however actually quite small. Fortunately not that crowded so you can easily have multiple goes on the water slides. Tornado four person rubber ring slide is a must try..my daughter loved it.We spent a fun hour there, however could not imagine spending much longer."
Nice waterpark for family,"Though it is in winter, the waterpark can still give you fun. The water is warm with spa, made you relax and relief. It was also suitable for kids with a few slides. Feeling good when you go outside of the waterpark especially in winter time, so enjoying."
Nice waterpark for kids,"Since it is not crowded, no need to queue up for most of the water rides. Water can be warmer, but overall very good. Changing room is super clean."
Family 2016 Winter break,"Small indoor park with few slides but provided good fun away from the slopes for the children. Its heated, so its nice and warm although its snowing outside.Theres also a korean sauna at the top level where one need to be fully undressed to enter.Theres stalls serving udon, burgers, fried chicken, rice, etc. Enough to keep rumbling tummies happy.Recommend for family with kids if you are visiting Alpensia."
Extra bonus when you stay at Alpensia,"Great indoor waterpark and small part of it is open to air and especially good during winter, discount for hotel guest and please show your room key"
Nice place,It is good for adult but not good for kid who height lower 120cm. Because all faculty is not for kids. The price of ticket is quite high but guest of hotel have 30% discount.
