review_title,review_body
Cherry blossom and local vibes,There were cherry blossom in every corner of the city. The street was really beautiful with pink color. The weather was really nice too. The festival was so lively with Korean local vibes; street food and music.
Beautiful.,"This was a beautiful festival. I highly recommend a camera and good shoes. The ""festival"" is spread over different parts of Jinhae. There are many photographic opportunities with beautiful cherry blossoms everywhere. To see it all, you'd need to bus or taxi, plus walk a fair amount. There were some neat shops and street vendors as well. It was a bit hard to see everything since it wans't together in the same area, but still doable with enough time. Definitely recommend while the blossoms are out."
memorable spring at Jinhae,"it took 6 hours drive from Seoul to Jinhae, but the view are stunning and the cherry blossom are blooming all over the corner of the city, the best view to enjoy its at Korail train station and the romance bridge. A lot of food hall also surround the area to enjoy korean traditional food"
Chasing cherry blossom in Korea,It was a highly expected trip and this place didnt fail us. It was beautiful to see all these cherry blossom trees in the park!! Lots of crowds but you can still take good photos as areas are wide and weather is good. Shorter route to go from Busan( just 1 hr plus drive) than from Seoul ( around 3-4 hrs drive). 
Amazing festival highly recommended ,It should not be missed in you are in South Korea during Spring. I would recommend avoiding weekends as it will be very crowded and depart early from Seoul or Busan so you can maximise your time in Jinhae also wear comfortable shoes as this is a lot of walking around 
Great experience,"I never had been in a country which has cherry blossom festival thats why I feel so blessed that I should not missed this kind of festival. Though it was 4-5hours trip from seoul, its really worth it. Flowers are amazing..you even don’t mind if there are a lot of tourist and locals in the place. You just need to enjoy the moment."
Beautiful Festival,Spent 3-4 hours here. Could have spent all day here and definitely would love to check out the evening scenery! Didn't even make it to the monorail or the museum! For shame! Will have to do it next time!
1st day of Cherry Blossom festival ,We visited this place on 1 April which is the first day of the Cherry Blossom festival. Many tourists and locals were here though it was a Monday. We took nearly 2 hours and enjoyed taking many beautiful photos.
Visit between March 30 to April 9,The biggest Cherry Blossom festival in South Korea. Jinhae is beautiful and there are lots of cherry trees. It was worth a long drive from Seoul. 
Full of Cherry Blossom,You have to take bus ride from Busan. I suggest you purchase your return ticket right away when you get there because there will be so many people in the evening trying to get back to Busan. It will save you time to line up for tickets. You also have to line up for the bus ride but if you are willing to stand in the bus instead of getting a seat you can easily get in. Just ask the bus operator for it. 
Cherry Blossom All Over The Town!,"I was privileged to celebrate the Cherry Blossom Festival! The town was extremely beautiful. I stayed at Changwon, took a bus to Jinhae. Free buses available in Jinhae during the festival to ferry people to places of attractions. If you love Cherry Blossom, do plan your travel during the season."
Long journey but worth it,The journey is very long from Seoul. 5 hours to and 5 hours back. A total 10 hours but it is worth it. The full bloom of cherry blossom is breathtaking and enjoyable. Crowded during the festival. Occasional wind adds a different views with cherry blossom petals flying around. Great experience. 
