review_title,review_body
Lovely to See,"This a very photogenic area. There are beautiful statues and/or light structures in the riverbed that look nice in the day and would probably look amazing at night. Definitely bring a good camera, as there's many great photo opportunities. Going during the cherry blossom festival is quite nice, but be prepared for crowds. Many of the trees are intentionally situated to create specific spots for pictures, but it's still beautiful with full blooms out. Highly recommend going, but be patient."
Not as good as reviewed,Pictures on most reviews seem to let you see alot more cherry blossoms but in reality by walking along the bridges you can only see hanging cherry blossoms dangling along the stream. Too far for nice pictures. If you cannot wait for the lights to be up after 7pm then there is no need to spend alot of times walking through all the 3 bridges despite the different statues under the bridge as they dun look different. 
Romantic Bridge,"Super romantic when the cherry blossoms are in full bloom. I went third week of March and there were a few blooms seen. I guess it will be full in April.Nice to walk along or at the bottom.Just be careful as there are lots of small bees collecting nectar from the flowers. I am not sure how it will be when the whole stretch is blooming with flowers. How many bees will be buzzing about.Directions:. Jinhae Bus Terminal. Blue bus 160. You can take 150, 162 or Green bus 307, 309, 31. I used Blue 160. Alight at the 8th stop.. Walk to the traffic junction. Cross the road to the left. Walk straightThe stream is right ahead. "
jinhae in september,I am going to south Korea september 2018 and I will visit Jinhae. Is it beautiful that time? and can I see cherry blossom?
Beautiful Stream,Must go personally in order to have first hand experience of seeing and feeling the cherry blossom in full bloom.
Romantic ,Cherry blossom was awesome. This place felt very festive with food stands and cherry blossoms along a stream.
Beautiful Cherry Blossoms,"I heard that the Jinhae Cherry Blossom Festival is one of the best, so I booked a tour with Trazy. We took the KTX train from Seoul Station to Daegu and then took a bus to Changwon. Once we got to Changwon, we used a combination of taxi, rental car, local bus, and walking to get us to various sites.Yeojwacheon Stream is a beautiful little stream and walkway that is lined on both sides with beautiful cherry blossoms. It is a sight to behold when it’s in its full glory and loaded with blossoms. Unfortunately, it is a very popular destination, so be prepared to share the stream with throngs of people all trying to take selfies and get that special photo. Because of the crowds, it is better to visit during the week and very early in the morning, if possible. Having said that, I never found the crowds to be rude or unpleasant in any way. Everyone is there to enjoy the spectacular flowers and the warmer weather.The blooms only last a few days, so keep close tabs on the blossoms forecast to avoid disappointment. Also, there are beautiful cherry blossoms on Anmin road driving up the hill or mountain. There is a walking path if you can find a place to park your car (that’s why we had a rental car for part if the day). The cherry blossoms that line the road are gorgeous, and there are no crowds, at least none when we were there on a Wednesday. It is a great thing to do after visiting the Stream for a different perspective."
Beautiful day & night,"We arrived Yeojwacheon stream at 2nd of April, start with a sunny day, what we have seen was flowers every where!!! although there are all fill up with people, but at the phone zone, people will automatically queue up. At night some of the location will have light show. Highly recommended visit there both day and night."
Wish we could have seen it when the cherry blossoms were in bloom!,It was beautiful even when the trees were not in bloom. There is a nice wooden path lined on either side by cherry trees all the way. 
Breathtaking ,"The whole stream was covered by Cherry Blossoms and they even decorated it with artworks, there was a lit of food stalls on the street next to the stream, I would suggest to come here in the morning during the festival to avoid the crowded scene. Definitely one of the most magical experience I've ever had. :)"
cherry blossoms in a different light,Spent a day in Jinhae during the cherry blossom festival.. you need gps to get around! Our wifi egg wasn't working so no gps for us. We followed the sounds from the festival and asked around for directions. Jinhae people are very very friendly and will help even if there was a language barrier. A local gave us directions to the stream in the evening and we saw cherry blossoms in a different light - the flowers looked spectacular even at night. Beautiful but very very crowded.
Cherry Blossom Festival,I live here; quiet small area most of the year and very busy during the festival. Do not attempt to park in the area. For residents only during Cherry Blossom festival
Revisiting a memorable place,"To escape from the weekend crowds, we visited Jinhae on 31 Mar 2017. The flowers were beautiful although they were not in full bloom. What was different this time; we chose to make a day trip from Busan, taking the intercity bus from Seobu. The yellow flowers that used to line the little stream when we first came in 2014, however were no longer there. We saw what looked like fake tulips planted instead. Not sure why. Still a nice visit. "
Cherry blossoms' City Jinhae,"벚꽃축제기간에 유명한 장소이다. 저녁에는 아름다운 빛과 벚꽃이 어우려져 환상의 뷰를 자랑한다. 여좌천을 따라 올라가면 내수면 연구소에도 들를 수 있고, 예전 드라마 로망스로 유명해진 로망스 다리가 있다. 그 다리가 사진촬영의 핫스팟이다. There are many cheery blossom trees along the stream and some small bridges during cherry blossom festival. The bridgies is famous for Korean drama titled Romance. Especially the stream is the most beautiful at night. When you visit there at night, you might find beautiful illuminations on the stream. So I strongly reccommand this place."
Excellent place to visit,"The best time to visit is late March/ early April when the cherry blossoms flourish. Take the subway to Sasang station and then the long distance bus to Jinhae. From the bus station, walk to Yeojwacheon. It has a long stream with numerous crossing bridges. There is not much water in the stream so one can walk close to the stream. Avoid going there on the weekends or April 1 when the crowds are huge. The decorative lights come on at around 7 pm and the place is stunning. Leave by 8 pm to walk back to the Jinhae bus station to catch the last bus. One should see the cherry blossoms in the afternoon and then continue on to see them at night, to gain the full experience of the excitement. There are big crowds during the cherry blossom period (late March to early April) but the place is quite orderly (the visitors have good manners and do not push around)."
Beautiful Photo Spot,"I visited this spot during the annual cherry blossom festival. It was incredibly crowded. If you attempt to visit during festival time, please go early to make the beautiful photos possible. "
Beautiful Place for Cherry Blossom,"A beautiful place to watch the cherry blossom. Whole street are the cherry make the view very romantic. This place need to visit for both day and night. In the morning, you can see the beauty of the cherry. At night, there are the light with the cherry blossom, that make another picture of the place."
A must-visit in Spring!,"If you're looking for a place to really experience the cherry blossom season in Korea, then Jinhae is a must-visit. The best places to go are Yeojwacheon and Gyeonghwa Station. We went on the first day of the festival, just before the opening, and even though it wasn't a weekend, the place was packed with families and couples. There's lots of street food, but for Muslims and vegetarians, finding suitable food is not easy so I'd advise you to pack some bananas or sandwiches before coming down for the day ^^ For people staying in Busan, the best way to get here is by taking the bus from the Seobu Inter-city Bus Terminal."
Love it,We were there for the cherry blossom festival and it was great!! Loved the variety of street food and it wasn't that crowed the stream. We took a lot of good pictures to remember the good time we spend there.It is a must!
Breathtaking,We visited in April during the Cherry blossoms Festival. It's far from Seoul but the entire trip was so worth it. The entire place was filled with Cherry Blossoms in full bloom. Simply breathtaking!! The place is even more beautiful when the wind blows and the petals start to fall.. like snowing of petals... indeed a place not to be missed during Spring.
Awesome view of cherry blossom,"Went from seoul to masan by ktx 3hrs 40mins ride and from masan take bus to jinhae another 30mins ride . Although is v far , but the view there is awesome . The cherry blossom is v pretty . In deed worth visiting despite long journey ride . "
So photogenic with the blooming cherry blossoms,"We just visited this stream in Jinhae when the cherry blossoms were in full bloom. Simply amazing - the dense beautiful flowers were blocking most of the sky. So pretty that it would make girls scream and most jumping with joy and amazement. Well worth visiting during the 10 days to 2 weeks in beginning of April, but expect crowds, starting from queuing for the bus from Busan (at Sarsong Station). Still, not to be missed."
Beautiful cherry blossoms,The stream is beautiful during the cherry blossom seasons. Breathtaking views. There is a lot going on around the stream also. Tons of street food and vendors
Wonderful,"I come here in Spring Season - April 2015... The Cherry Blossom Festival, i go with my friends and fact.. Oh My God.... it's very AMAZING place with the Cherry Blossom around the bridge. If i have a time, next time i would like take my family for go there."
Brook Yeojwa in Changwon. ,"In spring, lots of people all around country come to see cherry blossom when a festival, Gunhangje (Navy Port Festival), is held in Changwon. At night, it is gorgeous to see cherry blossoms with colorful led lights."
Amaaazing,Don't ever miss April in this place.... It's more than wonderful. You will take At least 200 pictures in it and also you will enjoy street food
Blossoms Galore,"If you're anywhere in Korea during Cherry Blossom season you must make your way down to Jinhae. They are extraordinary! You will not be disappointed. The whole city becomes a festival. Lots of street vendors but most of all beautiful Cherry Blossoms. Walking along the stream provides an interesting perspective as you are much lower than the blossoms. A beautiful stream and bridges make for amazing photo opportunities. Really, don't miss it. If you've ever been to Washington, DC during the Cherry Blossoms you have some idea of the their beauty. Go, and take lots of pictures."
Great in the morning (during cherry blossom period),"During cherry blossom period, do come early in the morning before the crowd arrives. You'll get great photos / landscape scenaries as 1) there are less (or really a few) people and 2) petals of flowers will still be on the ground/walkway. The negative side is you'll not be able to get photos of the decorations with lights. We reached at about 10am and it was drizzling. We got great photos in the morning. The next day we came again in the evening to get photos with lights. Hence, we could compare. There were just too many people in the evening. The end of stream near Jinhae Train station side will have all the decorations like the colourful heart shapes, colourful umbrellas and floats. You can only walk on the road level and take photos from the top. The 2nd half of the stream, there are pathways where you can walk at the bottom along the stream. This is where we got great landscape photos. The best time to visit this stream is during the annual cherry blossom festival week. It was like a fair - many vendors along road selling food/drinks. There are also two tents managed by the tourism organization. Staff are very helpful. One of the tents provide help in English. Near the start of the steam, there is a road perpendicular to the stream (where there is a high school). There are rows of cherry blossom trees and benches along the road which would also good for photo taking."
