review_title,review_body
Delightful way to spend an hour,"There weren't so many murals but the neighborhood itself was delightful and sweet to explore. If you have an hour to spend, this would be a great place to go."
Funky local art spot!,"My husband and I decided to head out to Ihwa Mural Village early Saturday morning. We followed the directions found on a few different websites to get there. First things first...it's a good hike up the hill to get to the murals. Wear comfortable shoes! If you have small children just know that it is a walk and that there are even more stairs once you get in to the mural village area itself. Having read a bit about the mural village before going, I knew that a couple of the iconic pieces had been painted over. While sad, there are still more than enough murals to take in that we were not disappointed. The route up to the top and around Iowa Mural Village was well signed and helpful. Some of the murals are a bit generic but there remained enough along the loop, which took us along the Seoul Fortress Wall for a spell, to keep us entertained. There were a number of cafes with great views of Seoul. We enjoyed our visit and would recommend this to people who have explored all the standard sights of Seoul and are looking to branch out to see things off the beaten path."
Nice walk,"I stumbled upon this village almost by mistake after hiking along the Seoul Wall. It’s a great walk up and you can include a visit to the Wall Museum, which is interesting and entrance is free. The village itself is just a good place to wonder around and explore some is the small shops, galleries or just look at the street art. Good for photographers."
Disappointing,"Some of the locals were fed up with the visitors so they painted over the more famous murals, Some of them are very childish and obviously painted by amateurs."
Nice and cute place,"It's nice to walk around! Be prepared to face some big stairs though.Also, it's not that big so you'll be finished in no time"
Beautiful art,"We stumbled across this village as we were walking to our next destination and saw some really beautiful wall art. A really lovely little stumble, even in the rain!"
Not great for toddlers and preschoolers ,"There are a series of hills to get to the village from the information center and then a series of steep stairs throughout the mural route that would make it difficult for families with small children to complete the tour. We ended up staying on the lower loop and only seeing about half of the murals because the kids were so tired of climbing the hills to get to the town (before we even reached all of the stairs). There’s also a map of the route available at the information center near exit two of 생화 subway stop. The guide told us we could do the tour in an hour with kids but if you’re walking from the information center, 1.5-2 hours might be more realistic without them. "
Interesting murals,"While searching the web for places to explore in Seoul, I chanced upon this interesting village and decided to make a trip here. As expected, there are many murals of colourful designs spread over the village or rather a town. There are signs recommending a specific route and murals to look out for.Visitors are reminded to keep their voices down and the place clean when visiting this place in considerations of the residents living there. Apparently they were so upset with the noises that they disfigured the flowers and koi fishes mosaic on the staircases."
Super fun afternoon stroll!,"This was a super unique experience in Seoul! I loved the opportunity to wander aimlessly, and discover lots of interesting shops and views! The street art is fun and offers great opportunities for social media posts. "
Awesome trip up to Ihwa Mural Village!,"Loving the trip up to this quaint little village. One of the highlights of our 9D8N trip. Interesting shops around for browsing around. Hubby even bought 2*shirts for KRW10,000! Highly recommended if you want a day out of Seoul city."
Really nice,"I really liked walking around here. There is lots to see and it wasn't crowded at all, even though I was there on a Sunday afternoon. Be aware that some parts are very steep."
Art village,"Good for photo. Lots of handicraft shops. Have some cafe for drink, snack and sit for a while. Morning or early afternoon time reccommend. "
a break from all the shopping and commercial city,"It is an area within a village that is full of art murals. Can take many photos and enjoy a cup of coffee there. There are also a few cafes/ restaurants you can choose from, though quite pricey compared to the rest of the restaurants in Seoul. It is in a neighbourhood that required some stairs/steep walking, so take that into consideration. Also try to be quiet when visiting =)"
A break from the crowded city Centre,"Be prepared, a bit hectic to walk up the steep hill slope. If you like arts - this is a relax care free place to go. You can look around the murals scattered on the small houses along the hilly alleys. The small cafes around the area are decorated with individual art tastes. You can take a cup of coffee or beer to enjoy the specific city view from the hill. A fun experience."
"Very cool, feels like somewhere in Europe","Sick of palaces? Then this is a different, good 2-3 hour activity that you can do without a tour guide. Requires an average level of fitness; quite steep.Very cool part of Seoul that has a number of pokey cafes from which you can view the city and have a coffee or beer.The murals themselves are pretty good, but they could do with more. There is plenty more space to be utilised."
classic korean alleys!,"i am glad that i did not miss this in my itinerary. even though the murals are not as many as i expected (one of the main mural of goldfish on the staircases are gone), but i like the walk up the alleys, to experience what i've seen in many korean dramas (houses in the small hilly alleys).the was no signboards/directions from Hyehwa station to go Ihwa Mural Village.. i just used Kakao map. really recommended if you are up for a hike, otherwise, don't try it ^_^"
Lovely theme,"I had a good time in Ihwa Village. The place is very cute, u can easily rent some uniform for your photos, and the price is very cheap"
Peaceful Village to have some nice photos,It is a very peaceful village located in Seoul. There are many murals which you can take a photo with. My favorite mural is the wing painting. The village has many stairs so make sure that you are in a fit condition when going there.
Good place to spend a nice day,"Well, the murals may not be as many as it used to be but it was still good to take that stroll up the slope towards Naksan Park. Nice cafe and little eateries as you go mural hunting. Milk Gonghang is a nice place to stop for ice-cream and coffee. "
Not as vibrant as I imagined,Not a lot to see anymore. I understand that some artworks were painted over. Might have been a mistake to visit Gamcheon Cultural Village first since we couldn't help but compare.
Bohemian Ihwa Mural Village,"Ihwa Mural Village (이화동벽화마을) perched at the top of Naksan Park, was once set for demolition as it was seen as a poor and down-trodden neighbourhood. In 2006 under the “Art in City Project” carried out by The Ministry of Culture, Sports and Tourism, murals were painted to revitalize the area. Brightly coloured murals on walls, fences and rooftops were created by 70 artists to transform it into a charming and photogenic village. The Mural Village illustrates the ability of street art and human ties to breathe new life to the city. Many small museums, art centers and cafés have also sprung up to add to the bohemian feel. As one mural-hunt, remember that this is a place where people live and the daily lifestyle of residents should be respected. So, please don't intrude."
A steep climb but nice murals,"The climb is steep and long but you Will be rewarded with nice murals and view OF The City. The houses are unique and The murals are varied in theme. There are photos OF The place displayed hanging by some OF The walls. The locals are nice and welcoming. There are café and drinking places with nice balconies at The TOP. A good place to relax, drink and eat."
Flourishing Colors,"Who will not be captivated with Street Art? But this small community in Seoul is a priceless gem of all for me. I love walking on every alleys of this community because every steps I take is another art. Installation, mural, photography, wrought metal art and seeing a fantastic view of the city!"
"Beautiful views, fun art, funky neighbourhood.","The views alone are worth the walk up the hillside roads to Ihwa Mural Village. It was 48 degrees C with the humidex the day we walked up to the village in Seoul and we were pleased we made the trek. The little area is quite charming and boasts some stunning views of the city. The quirky murals that dot the area are fun to see. This is NOT, however, a place for someone with mobility issues as there are many stairs, a steep incline throughout, and many uneven surfaces. "
Very Disappointing ,"Looking from the past review, we thought there will be more mural paintings to see. But they are all either already faded away or badly painted over. Not worth going at all. Don’t waste your time. "
Disappointing ,"Was looking forward to the village as had seen some pictures. Sadly the famous stuff like the steps were covered over. It's a bit of a climb to the top and kdrama fans can see Strong Woman Do Bong Soon's house which is apparently a museum but looked like a shop. It's also close to Naksan Park which is worth a look. Though there was some interesting art work, it was nothing special and really uninspiring compared to Gamcheon culture village in Busan (where visitors actually seemed to be welcome). We had some yummy milk ice cream at Milk Gongbang which was a cute little place. "
Visitors were not welcomed!,It was my first time visiting this neighbourhood and I was shocked at all the messages doodled in red paint by the residents of the area saying “Please be quiet” and “I wan’t to live” etcetc. It can be seen that the residents hate to see tourists there for obvious reasons. Read on blogs that some murals were removed by the residents there as they could not take it anymore and witnessed some being covered by paint.If you’re looking to go to this place just remember to be respectful. The place is located about 1km away from DDM and is on a hill - some routes are very very steep slopes so be careful. You can walk to Naksan Park as well since they are side by side.
arty Village,In downtown Located nearby the former city fence wall ITVs a real pleasant placeThere is some shops and cafes and you should go up and down and follow your instinct in order to collect the beautiful pictures about street artIt s so nice even with childrenYou can play on it !
Famous Murals Are Gone,"We made this a must-see on our second trip to Seoul. It is not an easy place to find - it took us an hour to get to it.The reason that we wanted to visit this Village was the artwork, especially the stairs with fish and sunflowers. Unfortunately, they were gone as we think the local people painted over them (so that outsiders would not come?).We were able to find a few other mural paintings, but not all. We wished that the Village would keep up the murals as they are what makes the Village, regardless of outsiders or not.One advice - getting to the Village requires a lot of walking uphills and up LOTS of stairs. It is a good exercise but not for everyone."
Nice quaint place worth a stroll,"Although some of the artworks are removed, it is still worth a trip there.Totally understand how frustrating it could be for the residents there with the noises from the tourists.Would be good to bear in mind to be considerate and dont talk too loudly.Coffee and ice-cream at Milk GongBang is worth trying but staff there could work on to be a little friendly."
Just for a stroll,We went to see the Ihwa Mural village to see the more known wall paintings. Apparently local people had painted over the the better known painting of fishes at the staircase. This was a bit of disappointment. The rest is so-so but you can enjoy a drink at some of the roof terraces to get a good view.
Unique Village,The village located at the top of the hill near by Naksan park. It has a beautiful art wall around the village.
Worth a visit,"This place is hilly, so need comfortable walking shoes. Many interesting murals on walls which capture nice photos. There are also many small cafes & shops. I went in the morning & is a quiet neighbourhood & not very crowded.It’s a nice break from the shopping & eating.There is a Naksan Park nearby & noticed that the locals go for hiking. "
