review_title,review_body
Good experience but pricey,"Lots of stalls offering the same seafood. We bought about 2kg King Crab and a 2kg Lobster + a few freebies (few prawns and oysters) that costed about krw170k which I don’t think is cheap compared to where I came from where seafood is imported. However, these are fresh and therefore delicious.Do note though, the price of cooking these at the 2nd floor is not cheap either. It costs me about krw100k. Cooking goes by a fix krw4k/pax cover charge and krw8k/kg cooking charge and additional charge for rice, drinks & etc.To conclude, you can go for the experience if you don’t mind spending. If not, you can spend this money somewhere else."
Varieties of Seafood!,"My Daughter and I walked around the market being wowed by the different varieties of seafood but to avoid the hassle of haggling to buy and paying the preparation fees, we opted to go directly in one of the restaurant upstairs. We choose a restaurant that served a course menu of Korean style sashimi with 14 dishes. I would say, the food was average when it comes to taste but but the squirming chopped live octopus was definitely an amazing and unique experience."
Best place to get seafood in Seoul,"The best place to get seafood in Seoul. The fish stall are linked to the restaurant, so Khuan need to select and they will cook for you. A bit pricey but the king crab is worth the price. A heartfelt meal for the whole family."
Fresh seafood but be careful of the Restaurant Price,The lady that sealling the fresh seafood was very friendly and give us advise on the seafood that we chose. And the price is reasonable too.But be careful of the restaurant you going to choose.they will charge you the price very high..that what happend to us.
Fresh...Fresh Seafood!,"Visited on a weekday morning and it's not crowded. Abundance of stalls selling live seafood. The lady selling us the seafood was extremely friendly but the guy was quite arrogant! She also brought us to a small restaurant on another floor to prepare the seafood for us. The food preparation was fine but the charges just for the cooking was expensive. Overall, not really worth it."
Best whole fish market in Seoul,"All fresh seafood are here . Not too expensive. And you can choose the restaurant for cooking upstairs . The price for cooking is also cheap . Very impressed . Some use English speaking, very easy to communicate"
"Great market, but beware of the restaurant","Went to Noryangjin fish market with my wife to treat ourselves to king crab. Managed to get a good price for 2.8kg crab ($180Aud), however, we were stung by the restaurant preparing our crab. First there was the serving fee ( which almost doubled in price because we didn't have soup), than the steaming fee for the crab (charged per kilo). What started up being a simple day of buying and eating fresh crab, ended being an expensive day at the restaurant, charging us approximately $60aud just to steam and serve our crab with a garnish of 4 pieces of lettuce, 1 chilli and 1 sliced fresh garlic. It's cheaper to go to a restaurant that has king crab and get them to prepare it.Btw, the crab was delicious. Meat was firm and sweet. Much better than buying the frozen crab legs."
Big one!!!,My friends mum said this place made new building.So big..!!! We choose sea foods then go up stairs one of restaurant we can eat these we choose sea foods. but quite expensive here ...Sea foods cost + cooking cost +cover charge etc...We spent 5 of us W 320000 all up.But one day of experience is GOOD!!!
Fresh seafood with different level of pricing,"There were plenty of seafood, it was very interesting we went round and round the market. King Crabs are a common sight.. Fresh Fish if you want it sashimi style. We check the price, it was very costly. They have different layers of pricing like buying the fresh seafood price. They lead you to the Restaurant upstairs, There is a surcharging of per dish fee, tea fee, side dish fee, per head fee before you sit down. In the end, we decide not to have dinner there. But it is a good visit, I get to see new seafood that I never seen before."
The freshest seafood you could possibly find in Seoul,"My daughter and I visited this place because we wanted to get fresh seafood, and true enough this was the perfect place. There are fresh seafood vendors inside and outside and we opted to just eat fresh sushi but there are fresh seafood inside where you can purchase and take to the restaurants upstairs and they will cook it however way you would like it cooked. It was a great experience anyway and we wanted to visit the place as well. For a seafood wholesaleMarket , it was pretty clean and organized and not chaotic. It was easy to catch a cab in the other street after we ate. The place closes early in the afternoon so make sure you go there early in the morning or late morning . "
Costly seafood,Heard from friend to give it a try. Ordered crab and 2 large prawns and cost 73000 won with cooking fee. Seafood tastes very fresh. 
Pricy but the experience is worth it!,"We went there after all what we heard and read about that place! We really enjoyed the evening! The food is super fresh and tasty. Picking such fresh fish isn't something you can do in many places around the world! Yes, it was pricy and yes they charge foreigners more and yes you have to negotiate the price but isn't this part of the fun "
"Visit, take lots of pictures, don' t buy","A clean large fish market with a huge variety of fish and seafood. When you just buy as a final customer, it is really expensive. Busan is better in that respect."
Lunch at the fish market is pricy,"As many of you have probably read in other reviews you buy seafood from one of the vendors on the main floor. Then you're brought up to the 2nd floor where they take you to a restaurant where they cook the food for you. I bought a king crab (price is by weight) and an order of prawns which came 5 in an order. That cost me KRW 60,000 which is about $50. I thought that would be it but when I went to pay the restaurant charged ME another approximately KRW 30,000 as a service fee for cooking the food. All in with a beer cost me about USD $90 or fractional more. The food was fresh and good but I wasn't prepared to spend that much. Oh well you live and learn. "
Must visit,Come here and view an auction or just walk around looking at the different selection. There are a couple of restaurants on the 2nd floor that will cook you any of the fish you buy. Food was fantastic and the experience was well worth the time
Overpriced,"This is the first time I’ve brought my parents along, and this isn’t my first time here, was pretty excited as my parents love to have seafood. We had fun selecting our seafood with reasonable price but the nightmare started when we finished our dinner and was going to pay our bills. Couldn’t believe my own eyes how much it costed us. We had 4 seafood, 3 out of 4 dishes was steam, we only had our crabs stir fried, yet the bill was exorbitant. Our seafood costed 56000won with a fish, 4 abalone, 2 crabs and 8 prawns. The bill for dinning in the restaurant was 71000won. "
Highlight to Our Trip to Seoul,This isn't a place to save money. It is an experience that is so memorible and delectable it has to enjoyed. My 3 children and niece were mesmerized by all the edible sea creatures for over an hour. When we finally chose our dishes they were prepared upstairs... sushi downstairs (where my hawk of a mother-in-law made sure we got the freshest selection) My five year old had sea cucumber and enjoyed it. I will remember that taste for a long time.
