review_title,review_body
China in Korea,"I recommend this place if you are looking for authentic chinese food in Korea. Although the place is becoming a little bit touristy by adding cafes and such. The traditional parts are still there, if you know what you are looking for"
Can be a convenient stop to avoid dusk traffic,Nothing particularly interesting. Many Chinese restaurants selling Korean style Chinese food for sure! But why come here for Chinese food? Never mind if it is just a convenient stop to avoid traffic jam back to Seoul.
Like the China Pavilion in Epcot,"If you think this is what Chinese culture looks like, you clearly do not know much about it. Incheon Chinatown looks like a fake, a movie set, similar to the China Pavilion in Epcot. The streets lack diversity and honestly the entire area gives me the creeps. It is just weird and does not feel alive. Do not recommend."
Nice distraction,China Town is near the sculpture zone and Japanese concession.It is small enough to see in an hour.We bought Chinese pastry's and Sugar cane juice.There are lots of interesting shops and restaurants.It is directly opposite the main station.
Chinatown in Incheon Korea,This is a far better than the most to China Town I have visited. It was clean and good service then the food was great.It's a subway ride from Seoul.I highly recommend a visit if you are in ROK.
The deep culture activity taking place,"China town was a great experience, loved the mural painted on the wall of the great Korean war history "
Is it really a Chinatown if it is just a street of Chinese restaurants?,"Having been to Chinatowns in London, San Fransisco and Seattle this was somewhat disappointing after about an hour's trip on the metro."
Korean trip,It's a good place to visit in Incheon! There're also nearby places for sight seeing and take photos. 
Fairy tale land in China town,"Nice fairytale land, almost all corners of the street are themed, you can go around the whole area take photos for 2-3hrs."
Cute little Chinatown but be prepared for some hills,"While this Chinatown is very small when compared to those in New York, Los Angeles and San Francisco it packs a lot of style and atmosphere in it's relatively small area. As you exit the Incheon Metro station you are greeted by the 30 ft gate across the street. The roads are lined with various shops and restaurants as one would expect to see in any Chinatown. As mentioned the streets are very hilly. You will get a work out walking up and down to explore all the streets. If you rather climb stairs just go right by the gate walking heading south along the main street until you come to the entrance by the Japanese section by the Art Platform. Walk up the street to a small park dedicated to the boundary between the Chinese and Japanese settlements in Incheon. Climbing the stairs you reach the statue of Confucius. To your left will then be the Three Kingdoms Mural. From there you can walk back down towards the shops and restaurants or you can continue straight uphill to Jayu Park where there is a nice view of the port. Jayu and Chinatown are very photogenic parts of Incheon."
the food makes the whole trip worthwhile-ish?,"i have quite the expectation since i was travelling from seoul just to visit the chinatown of south korea (and the other stuff around) and my conclusion is - it's worth a trip if you are also visiting the other area. there are many restaurants and shops selling food and other stuff. They’re a lot of buildings, nice to take pictures. The mural is a bit of a let down because they’re all in korean and chinese, so if you can’t read them - too bad. They look good but gets repetitive (kinda boring). but there are other stuff to visit!"
Underwhelming ,Took 2 trains to get there from Songdo. Not worth it. Chinatown in San Francisco was more bustling and full of energy. We went on a weekday. Place was quiet. 
INCHEON SUBWAY STATION IS CLOSED,"you no longer can arrive Chinatown via Incheon Suwbway Train Station, as it has closed. You can't use line one or Singpu line (yellow colored line). You have to start walked around 22 min from Dongincheon subway train station."
A wide variety of activities....take at least a couple of hours to immerse yourself in the culture..,"The street food, second floor food court and local resturants are all wonderful. Bargain shopping to everywhere with a great selection of shops...The Chinese Cultural Center is a must see.....just like it was in the 1950's..."
Lovely market ,Loved this market a lot. Bought many stuff and food from it. They do sell Korean things too. Haven’t had the time to explore more as this place needs a whole day 
There were many eateries and shops selling street snacks,"We walked around Chinatown on a Thursday, and it wasn’t crowded. The start of Chinatown is just across the street from Incheon Station. There were many eateries and shops selling street snacks, and do try them as they were delicious. The Chinatown area is hilly, so it may be a little challenging for those with walking difficulties. "
Free and easy walk with family,We reached there (free and easy) on a December Tuesday afternoon 4 plus from airport hotel. The street is really empty. Not really vibrant that I expected since I've taken a 2 hrs round-trip for this. The buildings are overwhelming red to show the Chineseness. Though they have really beautiful facades for photo taking.The quality of Chinese food is quite good like simple jjajangmyun and (really fragrant) fried rice we had at a corner of the street. It only got slightly better at six in the evening with more tourists.I think it's better to go with a guide and not recommended to travel there by yourself. Just my two cents.
History underneath touristy veneer,"Incheon’s Chinatown is definitely worth a visit, since it sits at the edge of the old port and serves as a reminder of Korea’s ties to China, and the long history behind those ties. Although it has been flooded with new investment from China in recent years (easily seen in the murals, statues, and plaques that have popped up detailing the importance of Chinese influence on Korean history), the interesting pieces of that history have more to do with the way in which immigrants to Korea were treated, and how places like Chinatown served to keep them separate from the population at large. There are several museums throughout the district that cover different parts of this history, so depending on your interests, you can spend anywhere from a few hours to the whole day exploring the different options. If history’s not your thing, then just go for the multitude of street food options (warning: if you’re expecting the Chinese specialties that you may have experienced elsewhere, say in Taiwan or Beijing or Hong Kong, you will not find those here. This is decidedly Koreanized food, so enjoy it for the novelty). Bring good walking shoes and be prepared for hills. In summer, you can escape the heat by going up to Jayu Park, located above the neighborhood. That’s where you’ll find the locals, chilling under the trees and enjoying the ocean breezes with views of the surrounding city and port. It is now much easier to access by public transportation since the second Oido Subway Line opened, so you no longer have to spend half your visit looking for parking. Go for the food and stay for the people watching. Lots of places to just sit, sip a latte or a yuja cha, and watch the world go by. If you close your eyes and listen hard, under all the tourist chatter, you can still hear the sailors coming up from their ships, looking for a good meal and some entertainment while on shore leave."
Great Tour w/ My Local Friedns,"I went there with the lcoal. It was quite nice to walk along the alley. Very close to fairy tale village. If you walk a bit more to the hill, you'll see beautiful sight of Incheon port. "
Good,"It is quite small but worth to visit, lots of restaurants with excellent food. you can walk to the top of the hill and enjoy nice park and nice view as well."
Lotsa restaurants selling same thing,Good for casual sightseeing and understand a little bit of history about how the Chinese migrated to Korea in the earlier days. Whole stretch of restaurants selling the same thing so not much of a variety to choose from. 
"Top views of the hill, AMAZING",It's quite different from real chinese quizuine. But korean style chinese restaurant is really easy to try. Most of the shop food is similiar. And quite cheap.
Clean and unique.,Very unique China town with good food and coffee experience.Korean version of Chinese food here is exceptional. I love Champong.They have all the flavors you ever imagined.Fresh ingredients because it is located on the seaside. Historic streets are full of historical heritage preserved from the old day.Love how peaceful tGIS place is.
Unique area-worth seeing if you have time,"I recommend coming here as early as possible, before the Chinese tour groups come. It was quiet before 9 am and you can wander around and enjoy the feeling of seeing a Chinatown in a foreign country. I work in China so it gave me a unique perspective. I liked the Chinese cultural murals on the walk to the hillside park. Visit here and historic downtown Incheon as well if you have the time. However, it is not a must see place."
Rainy day visit ,"I always like to see what Chinatown is like in a different part of the world, as it tends to be very cultural and interesting. This one didn’t disappoint even on a rainy day. As soon as you exit Incheon station you can’t miss Chinatown across the street. All the restaurants and shops were quiet because it was of poor weather but it added to the atmosphere and we managed to walk around and see the painted murals along the wall and walked down the Japanese steps. Seeing the contrast of Japanese style buildings and then the vibrant Chinese style was interesting for the artist in me. We ate at a small restaurant that served pretty decent Chinese food. Being Chinese myself I was not disappointed. If you are in the area, do pop to Chinatown for a short visit. "
"Decent for a stroll, food not great",Came here on the way back from Wolmido. Nice to walk around the streets and have a browse but nothing really to do. All restaurants are pretty much jiajiamyeon based so go elsewhere if looking for classic Chinese food
"Busy, with a lot of restaurants ","The busy streets that make Chinatown are filled with restaurants and other services like snack foods, souvenirs and coffee shops. Free Parking is pretty limited so expect to either park far or pay for parking.A family or couple could easily spend 2-3 hours shopping and eating."
A part of China in Korea,The place is full of chinese culture and architecture. There are a lot of Restaurant who provide different chinese dishes. So many statue of different chinese culture are available there. Anyone can go there via seoul subway within one and half an hour journey. You have to take off subway on Incheon Subway Station and one minute walking distance.
Fun and nice Walkiing,"Try the Jajangmyeong. The shops are fun, out door food vendors, a fairytale village for kids. They light of the whole area at night, very pretty. The walk up the top was okat but the views were not that great. Bought some great beads"
Good food,Enjoyable place to visit right near Incheon Station. I cannot speak to the authenticity but it's a nice place for a stroll and bit to eat. 
Pretty walks and good foods,"The immigration office is nearby the Incheon Chinatown, so I made a visit to Chinatown to taste the highly recommended Chinese foods; if you are geared towards Korean infused Chinese foods, try out Boo & Boo restaurant. Walking the streets, taking in the colors and views of vendors selling Chinese buns and cookies, it was a good day spent. With the autumn season coming, there are festivities planned at the outdoor stage at the entry of Chinatown. Looking forwards to revisiting next few weeks to participate in the festivities. A definite place to visit with children of all ages."
There is a park up there,"Chinatown is really an escape from korea-world for a short time. there, you can go to the nearest park, it called jayu park. jayu means freedom in English. you can see the mural, paint about the history of korea, and since the park at the high level, you can see a port with surround ship from the park, here also some monument, I watched old people paid respect to the monument.you can also go to the fairy tale village near the chinatown, there, there are lots of cartoon mural, lot of spot to take pictures. i also bought a rose-ice cream. the price is much cheap from myeongdong street, seoul."
Fun place for family time or a date,"It’s a small area next to art museums where you can experience Chinese culture and food. They have quite a lot of “맛집” (mat-jib) there, which is famous restaurants with great food. They have lots of nice street eats too, so you’ll never get hungry when you’re there. "
Awesome jjajangmyeon!,"There's a museum that introduces you to the history of jjajangmyeon. The jjm, jampong and tang su yeok in Yeon Gyeong is really good, it's usually queueing. "
Beautiful,"Visited this place in the evening. There are a lot of beautiful buildings and restaurants spread around. A couple of parks are also situated in the area. There were not many people around, but looked like a nice place to spend some time or just chill out.A few bakeries were also in the area, we tried food at one of the many chinese restaurants and food tasted very good.Good place to visit."
Atmospheric ,"First visited 2 years ago at dusk and it felt very atmospheric and like a filmset. Went around lunchtime this time round and it was quite quiet though some shops were open. Had jjajangmyeon at one of the restaurants which was reasonably priced and delicious. Quite a few shops selling tarts and pastries and we bought some pineapple, melon and chestnut ones to try. Interesting place but best visited in the evening when it comes alive."
Enjoyable ,Quite fun and beautiful buildings in China. There are main beautiful restaurants. The area is safe and people are quite friendly. 
A Cute Slice of China in Korea,"I love the architecture and feeling of this small Chinatown in Korea. There are lots of great places to eat and when it hits around noon time, some places start forming lines. There is also Freedom Park nearby and the Fairytale Village all in walking distance. It's definitely worth a visit, even if you're not the biggest fan of Chinese food. I arrived at around 11 and it was still quiet around the streets, so come early if you want to go to a hot spot!"
Chinatown and Jjajangmyun ,"Since I had some time, I decided to take a day trip to Chinatown and do some sightseeing and have some famous jjajangmyun that originated here in Incheon. Toughest part of the visit is walking up steep hills. My legs really hurt the next day from doing all the walking. "
Free and easy ,"Nice the main door of Chinatown , maybe the weather was cold a lot shop was closed when I reach at 5-6pm "
"Colorful,Happy, Lucky, CHINATOWN","Climb the steps from bottom to top,or jog up like I did. What a workout. At the top you are greeted by a beautiful shaded circular walk with great views of the surrounding area. Plus weekend activities and live entertainment. Up and comng K-POP artists. Great restaurants and a few museums round out a fun day in Chinatown in Incheon"
Authentically Chinese Appearance ‘Cept for the Inauthenticity,"When you stroll through these streets you could imagine being in China. Of course if you’re on a layover in Incheon on your way to China you may wonder why bother. The reason is that this is a sanitized, monetized Chinatown. Trinket shops galore. "
Good place for a walk ,The area where you find a lot of great & designer cafes. It is worth going there for example in a break between flights.
