review_title,review_body
"Hiked up, took the cable car down.","Short wait, quick ride down with an amazing view of Seoul. Highly recommended.Extra 100words.Djdjdjzjzjjs. Djdjdj djdjkOksjdIdjdhdOdjdjsjzj odjej DJ idjsjd. Ijshh jsj sjsue jduj iuen nnsa ask lois bdud.Hdjdj sjsjs djsi hajj. She. Sjsj. She. At. Aji jsj"
Good ride,The ride in Namsan cable car provide a great view of Seoul when you are riding up and down. Would suggest to take the cable car during night as the view is great.
Wonderful view of the city,This cable car ride ends with a beautiful view of old and new seoul. It's a shirt 3 minute ride but the niew from the top is beautiful.
"Few hours to kill, nothing better.","Enjoyed the trip to Seoul Tower via cable car. Likely queueing for cable car but moves well and will let you know queueing time when purchasing ticket. Lovely views of the city, clear blue sky’s. If traveling with partner bring a lock! "
Short,Shortest way to reach namsan park or tower is to use the cable car. It's a short ride to the top of the hill.
Expensive and not worth it,Short ride and nothing to see. Yet we paid so much. Disappointed....Truly disappointed with the experience. Better to take a bus or taxi up than the cable car.
Good but loads of people to a car,We thought the easiest and most fun way of getting to the top of the hill and the tower! They do cram you in but it’s ok you can still move at least to bring your arms up to take a photo. The views are cool enough. They have windows just around the top half of the car.
Disappointing and Expensive,"I took the cable car down with my 3 year old son (we walked up), and we looked forward to the views, but the queues are long, the staff are pretty rude, and you’re rammed in to the cars. It’s pure luck if you’re next to a window with enough room to get your camera out and take a photo. It’s definitely not worth the money (everyone over 3 pays). The walk up was really lovely - even on a warm-ish day in late May. There are also several buses that run you up to the Tower, which I’d definitely recommend over the cable car. I wish we’d walked back down."
Sum up of seoul city! Read till end for surprise:),"You probably see a lot reviews saying packed cable car, can't see much etc. Well cause you expecting it at the wrong place!Not there yet.. The aim getting Namsan Cable Car is to reach at the top, Namsan Tower. And it is fine if you can hardly see the view along the way cause the best view is on the top later! Breathtaking view and have few fav spots for your instagram feed. hehe. Got convenience store, cafe & souvenir shops too upthere. But i suggest you can packed your own sandwich then. save! haha.Tips: Personally I highly suggest you guys to buy one way ticket. Go for a walk when going down from the top. Another forgetful view and hidden insta spots beside the love locks.LOL. thank me later!"
Worth the visit on a sunny spring day ,"Gone up and down the hill by cable car. They charge a small fee to use it which was all acceptable. We booked a return so we could also get back down. The cabin was not air conditioned and they stuff quite a lot of ppl into the cabin. But it’s only a 3 min ride. We didn’t have to Quere please note this. Up the hill there are love locks - like the ones in Paris where u can leave a message and then seal it at the fence. Nice idea . You can Bring your pwn lock or buy one locally. You find the tower, food and drinks nice views over the city and some shows up there. Well worth the visit!Definitely recommend!!"
Bonding time with my family,"First time in this place, and we finally get to see all these padlocks that we see in a lot of k-dramas. Perfect cool weather this time of the year! "
Not an option,"Pay 7$ just to be pressed inside the cabin with lots of people after a big line to enter. You can hardly move, forget about taking photos. My advice is to take a bus (see on naver map: 02, 03, 05) to get there, they're going from all main places nearby, it's cheaper and even more comfortable. "
Love queing its for you,"We spent 50 minutes cramped in a line with coughing wheezing sweaty Koreans waiting for a cable car to the Seoul tower. Believe me it's not worth the hassle or stress.No air conditioning and this is only April. God help people when the Sumner arrives. All because of a technical fault, which sums up Korea. Promises so much delivers little.You are then crammed into a small box for the 2 minute trip and are greeted by a long queue that you will have to join to get back down. All this to go up Seoul Tower where you cannot see out off if the Sun is shining as the windows have not been cleaned for years.Complete waste of time and money, which sums up Seoul."
Not that good,The distance of boarding to the nearest metro station is far. You will need to walk up hill.They will squeeze everybody in one car. Literally pack. There wont be enough space to even take pictures.
"Convenient cable-car, but not worth a visit in itself","The cable-car is convenient, and not particularly expensive, however not worth a visit in itself, and if steps or time are not a problem (of if the line is long), I would recommend just taking the stairs up to the N-Tower at the top of the hill, which makes for a very nice stroll."
