review_title,review_body
Excellent Facility ,The business I had in Seoul was at the World Trade Center Seoul located at the COEX so I was there everyday for 10 days and visited every facility located there.I’m particularly impressed with the Airline check in available there though it’s restricted in terms of airlines served. The Underground Starfield Mall is impressive and offers a wide range of shopping opportunities. There’s a good library located within the Mall. The Bongeunsa Temple is located just opposite the Mall. There’s also the “Gangnam Style Hand” that offers a great photo opportunity. It’s definitely worth a visit
"Great Mall, AIRLINE CHECK IN COUNTER,","The best thing for me at Co-EX is the airline check in counter. Drag your baggage to the airport check in annex at Co-Ex. Done. You get a boarding pass, get rid of your baggage - all you have to do is drag your a** to the airport and off you go.This the most convenient thing I've ever seen in my life.Make sure you have ample time on the weekends if you intend to take a taxi, limousine bus, or friend driving to Inchon or Gimpo - traffic out of Gangnam area could get interesting - consider taking the train (subway).The mall has numerous eateries, and department stores. You can spend days there (which we did). Various attractions have their own reviews, so scan through them. You can easily find the gems in those reviews."
Center for all,"Aquarium, shopping, temple, cinema, library, food centre, Sky Garden, exhibition hall, hotels, restaurants and so much more. No wonder this is a meeting place for all as you can just about do all things here. We spend almost the whole day here, shopping, dining and of course taking photos. "
Worth Spending Half Day for Shopping or Eating ,"It's a very large complex with international brands of shops, Hyundai department store with supermarket, library, restaurants, cinema, five-star hotel (Intercontinental), conference centre, aquarium, food court, City Air Terminal that can do flight check-in. Our itinerary of that day was to have a fabulous seafood lunch in Garak seafood market (metro station #817), then took 6 stops to Samseong station (#219) where COEX mall is located, strolled around for a few hours, bought some food in supermarket before taking a taxi at Intercontinental Hotel back to our hotel apartment in city centre. Very enjoyable and convenient. Worth spending half day here. A cozy and clean mall. "
Large impressive centre,I came here for a conference and was impressed with its size. Loads of large rooms inside used for conferences - they had about 3 on when I was there each occupying a large room and several other spaces. There’s a multitude of restaurants and places to get food. I believe they have an underground mall as well. Really clean and well kept.
In the center of it all," This venue was very near the hotel I stayed in while visiting Seoul last year. I found it a bit hard to imagine that a mall is sharing the same building as that of the convention center. Despite of its huge size, I found it easy to explore this place, wherein I got lost looking for the convention center. I managed to find it after about 3 minutes - I realized one has to take about 2 floors up to find the convention center as the street level of this place is the mall.  After that small incident, I found it easy to navigate this place and marveled at how this building has varied designs and architecture. I especially like the garden design I saw in one part of this place. "
Worth the visit,"I wasn’t sure what to find, and after visiting thru I can tell you that the artistic side of it is great!Sculptures, the World Trade Center buildings, hotels, restaurants and the Hyundai shopping mall, makes a big complex to be discovered. "
Big landmark in Seul,"Coex complex is one of the most popular tourist destination located in downtown area of Seoul. Asia's biggest underground shopping mall (Coex Mall), Duty-free shop, Department Store, Casino, Book Store, Kimchi Musem, Traditional Buddist Temple, Cinema, Musical Theater and other facilities and amenities designed to provide memorable tourist experience are all located in one place, Intercontinental Seul is adjacent to Coex complex ."
Remodeled and huge,I lived in Seoul for five years and went back to visit after eight years away. The Coex Mall has been remodeled and it is overwhelming. I'm sure Koreans love to go here but it was too confusing for a short visit.
Ok for a visit,It is worth to visit. There are lots of shops. If you are in search for a place with more reasonably priced items. This place is not for you.
"Big Mall, Library in a mall","5 more hours for the driver to arrive for the airport from Gangnam. Took the subway to COEX.nice cafe ""mamas"" at the entrance of the subway which led to the mall.Eateries are aplenty, but prices are definitely upmarket though not expensive per se.The Aquarium and a couple of Korean popstars exhibits and themed museum are all within the huge building, co-joining the exhibition halls, as well as the Hotel Inter-continental.A good walk for 2-3hra is recommended, esp if the outdoors too hot, or raining."
Great Shopping,"The Coex is an exhibition and shopping centre. The stores range from top end retailers to department stores along with restaurants, a library and movie cinemas. It is a large centre with kids activities like LEGO playland and cafe at Brick Live. There is an aquarium and many hotels that surround and have entry into the shopping mall. There is also an airport check in if you fly certain airlines eg. Korean airlines or Thai, you can check bags in like you do at the airport. An airport bus leaves every 20 mins and you book tickets an hour before you want to leave. Price for the bus is 15000 won each adult, cheaper for children. Clothing prices aren’t cheap and if you want discounted clothing you need to go to the outlet shops. There are lots of coffee shops where you can buy food and beverages for around similar prices toAustralia. The library is big with floor to roof bookshelves and many Koreans come here to just read. A great place to visit."
Great Big Mall,Huge Mall next door to the convention centre. Not too many great pr extraordinary shopping options though. very standard mall affair. good if you are staying next door hotels
Lots of Books,A very unique mall that full of books. You can read books here or taking a few photo of this incredible mall. Worth a visit. 
Cool to look around ,It’s a mall but it’s big and pretty much has anything you would want to do including a theatre and an aquarium. Lots of tasty places to eat it at and of course who could forget the Gangnam Statue outside!! Also the library is pretty fantastic to stop at. 
A Massive Mall,"COEX is a huge underground mall, ideal for a whole day excursion. It had hundreds of restaurants and shops, as well as an elaborate movie theater, a library, and an aquarium. We recommend COEX for folks living abroad in South Korea or people on long vacations, but it isn't something you need to see if you're passing through. It's next door to a lovely Buddhist temple. Be prepared to pay a little higher prices than elsewhere in Korea - it is a mall, and it's in the heart of Gangnam. It is the nicest underground mall we've ever been to, though!"
Giant shopping mall ,"Giant shopping mall with various shops and pretty much anything one might want to find. Library, playgrounds, food, clothing and all the rest of things.... "
Cool underground shopping mall,"We stayed at the COEX hotel so we took a trip underground to the shopping center. Cool gift shops and strange food, but otherwise just another shopping mall. I attached some photos"
DO NOT WASTE YOUR TIME ,"This place is not worth it at all! First, it's very far from Seoul's center so you'll stay in subway for awhile. Second, it is so misleading I could not find that ""many"" shops everyone talking about. I found some shops you can count on your hands. Too many restaurants, not sure this place for eating or shopping. Even the material and designs of many shops SUCKS!! We barely found anything to buy. And when we decided to eat, the restaurants started to close. We only went their because of the Bongeunsa Temple that was across of the mall, too bad the sun went down before we reached + there were constructions there so we headed directly to the mall and it is complete waste of time with no shops to actually shop. "
Huge convention center with food and shops,This convention center is huge and you could easily get lost if you are not careful. The food and shops can be pretty pricey though so be prepared to spend a little more if you intend to eat/shop while you are there.
Changes ... for the worst,"We visited this place multiple in the past and after the last round of renovations few years back, we decided to re-visit this time round.Besides the aquarium, this used to be a location of variety of small and large shops, food and items you can find probably elsewhere can be found here.It is now a glam map, with numerous ""anchor"" style stores but an empty feeling like ""just another mall - just larger"".A pity the renovation went the other way."
Disappointing,I heard a lot about the COEX mall beforehand and travelled a fair distance on metro to see it for myself. Disappointed. Just a big mall with an aquarium in it.
Food + Shopping,"Here you have everything in one place: delicious food (authentic Korean) and endless shopping for affordable brands.If you are a tourist, remember to request the tax free purchases!"
Big Center,A ery big Center with lots of shops and food places.. they have a big theatre and an aquarium. . The aquarium closes jist before 8 PMThe shops around 10Lots of food variety. .Its all in basements. .Underground mall..
Great center!!,"Well if you are in the neighbourhood.. yea sure look in you'll find an aquarium, great cinema Megabox, loads of shopping Centers and food places. It's a high end place where prices are a bit high. So it's not an absolute waste but if I have to choose I would go to Lotte World much more fun."
High end shopping center,"This is Korea's largest exhibition venue, many exhibition halls, a convention center and meeting rooms. There are other additional facilities, including a hotel, casino, underground shopping mall, museums and an aquarium. Subway Line 2, Samseong Station"
All in one shopping experience at Coex Center,"There is a post office, Intercontinental Hotel, shops and food court...etc inside Coex and I was there by subway. Stayed warm with the indoor shopping."
Shopping and Dining,"Coex has been renovated a few years ago and now I have mixed feelings. In the past, it was way easier to navigate around and shop while avoiding the hot or cold weather outside. I like how it is much cleaner and modern but the layout is much more confusing than it used to be. The first time I visited after renovation, I couldn't find my friend because it was like a maze! We stayed for a bit to look around and when it was time to pick a place to dine...we gave up and just left to go somewhere else. There were many options but we got exhausted from walking around. They have cool shops and it is a great place to hang out but I guess you would really have to know how to get around. I'm planning to visit again so we'll see if I get lost this time. LOL"
expensive labyrinth,"Wear walking shoes and be prepared to get lost and be told by the information to go in clock directions. Go straight at one o'clock for your escalator. It's been bought over by Shinsegae group and renamed the Starfield COEX but still an awful concept in planning. You need to spend 50,000 won to get an hour of parking. It's hard to do that between two people for just food... Hyundai department store purchases don't count either. Just an expensive mess. "
Worse than IKEA for getting lost,"I have been to a lot of large malls in my time, including the Dubai Mall, but this labyrinth is a confusing hodge podge of hallways lined with stores, without any apparent structure or thought given to it. It is worse than IKEA for getting lost. The food court is a joke and embarrasingly small for such a large mall. Even when we gave up trying to find the store we wanted, which was so clearly marked on the info screens, we could not easily find a stinking exit out of the place. Of course there are lots of exits but they are not clearly marked and we contemplated using an emergency exit just to get the hell out. Heaven forbid should an evacuation ever be necessary. Unless you are being forced by the wife or girlfriend, I would highly recommend skipping this place. My god, Seoul is just full of shopping malls, there is nothing special here to draw you in, and wandering aimlessly in this maze just made me aggressive. Avoid Avoid Avoid!"
confusing as hello,really confusing to walk around this place. nice shops just confusing though. really easy to get to. large movie theater near by as well. 
Very nice shopping centre,"Great place to eat, shop and soak up the Korean atmosphere and hospitality. Certainly worthy of a visit"
"Huge, confusing convention center","Although this convention center is shiny clean and well-located near the Seoul Station City Airport Terminal, where one can take an express bus from the international airport and even check-in on your departure day, I found its whole layout of the Coex convention center to be terribly confusing. My co-convention attenders were similarly confused and often lost, and often late to meeting sessions. Except for individual meeting rooms, the main building was HOT and very poorly air conditioned. I realize that the cost to keep it cool is high, but this was only June. I can only imagine how convention-goers suffer when it gets even hotter. Signs are poorly marked and the huge place only has a couple of 'help' desks where staff speak poor English. A plus is that there is a huge shopping and food mall located underneath the convention center. Of course, the goods are all international; with the exception of the food and perhaps tea for gifting to family and friends at home, it is not a shopping destination for Americans or others who are looking for something special that characterizes their experience in Korea. There are many high priced hotels nearby or attached to the center. Good for avoiding the frequent rains in summer. Despite a few pluses, the overwhelming scope of and poor signage within COEX makes me caution organizers of other large, international meetings, before selecting this location."
nice,alot of famous shops and restaurant near grand intercontinental hotel recommend to go there and enjoy
All in all mall ,"You have everything there including a 5 star hotel, all restaurants, conference centre, shops, aquarium and movie hall. Located at Samseong metro station on green line. Another metro station on new line 9 also is close.Opposite to this COEX centre, there is a good and famous Buddhist temple. A must visit place..."
ok,"Coex Center is a huge complex in Gangnam Area. Visited with other attractions in the area such as the temple, SM Building. This is one of the stops of the bus hop on hop off."
Nice experience,wide range of fish and creatures of display. really was an excellent experience. traveled log time back in dec 2011
the ordinary multi complex,huge but not really convenient to roam around-many choices available to dine though-hot for K-POP fans to visit their idols at the SM museum nearby-
Superb neighborhood,Aside from the Coex Mall that I think was just average in terms of the shops. The Neighborhood of the Coex center itself is such a fun and awesome area to be with. Located in Gangnam-gu. Do visit for photo opt.
Nice,"This is a really nice convention center, sort of in the middle of everything south of the river. It's got some nice features, but the location is really what stood out to me. "
"Shopping,Aquarium all at one place.","Takes a day to complete to roam around the place.Aquarium is one of the best.Design of building.Shopping Mall etc., "
Not only shopping,"Although COEX is a large mall one can find other things to see and visit as we did. We knew about the flower exhibition there and it was worth visiting...well, that exhibition is not there all the time but Aquarium will be. Admission fee to aquarium is high but you will see a lot of sea creatures in normal but also in some crazy tanks."
Shopping paradise,This place is an shopping paradise for the first timers like me. So many choices and so warm people. I bought lot of souvenirs and toys and chocolates for kids. There are so many awesome eateries inside. You can spend your entire day here easily.
Huge,"You can easily go COEX in Seoul. It has a lot of shopping center, and the aquarium is must visit place."
