,username,content,location
0,hyeri_l86,이제 나의 전용 포즈❤️....................#서울여행#경복궁#이쁘다#하트#그림자#나비#여행#즐거워,
1,kge7878,#서울 #우정여행 #5명우정영원히❤️ #놀이똥산 #경복궁 #쌈지길 #한복대여 #1박2일여행 #반포밤도깨비야시장 #한강공원 #넘많이먹었다 #우여곡절여행 #우정사진 #일상그램 #뚠뚜니 🐹🐻🐶🐨🦊💕,
2,nightrunningcrew,2019.10.07 MON #경복궁 10K.겨울냄새 느껴지던 오늘! 날씨는 추워졌지만함께 달리면 하나도 안츄우ㅓㅇㅏㄴ추워...🥶#여러분감기조심하세요#내허락없인아프지도마..@nightrunningcrew,
3,zhanna_nana,У каждого свое понятие исторического места😅Фотка называется не до Gyeongbokgung🌌💫°°°#ootd#아스다나#경복궁#gyeongbokgung,
4,kmh._.zz,#휴가#1일차 #경복궁 #외국인천지,
5,sims3692,#경복궁 #삼청동거리 #인사동 #간니닌니카페 서울 나들이~^^,경복궁 Gyeongbukkung
6,n_141203,#韓服#クルミ韓服#한복#景福宮#경복궁#従姉妹#やっぱ小さい子が着るのが可愛い#てか韓国の子供鬼が着くほど可愛い,
7,saesaem.lee,경복궁 예쁘다🌙#경복궁#경복궁야간개장,
8,jeonjanghyun,경회루...#스냅사진#후지필름#후지#fujifilmxpro2 #fujifilmxseris#xpro2#nikon20mm#snapphoto#snap#day#스냅사진#감성사진#서울투어#경복궁#경회루#버들나무#감성사진,경회루 (慶會樓)
9,duddls0422,내 밤톨 보고파 💓오랜만에 나한테 편지써주겠다고 저렇게 열심히 쓰던데 결혼해도 계속 써줄고지 ?ㅎㅎ 🤗,
10,dalbit0707,#서울행 #경복궁 한복 나들이 #5살 이서진 어린이 끼 폭발 #누구 닮았는 지 모름 #엄마는 여행 아님 #극기훈련,
11,_min__co,バイバイㆍㆍㆍㆍㆍ#coffee#tea#instagood#instamood#instadaily#photooftheday#happy#tasty#foodporn#cafe#food#foodstagram#daily#instalike#follow#f4f#서촌#경복궁#카페스타그램#먹스타그램#데일리#음식#グルメ#いいね返し#食べ物#食べ歩き#グルメ巡り#カフェ#カフェ巡り,"Seoul, South Korea"
