"","attraction","category","lon","lat"
"1","Myeongdong_Shopping_Street-Seoul",1,126.9828427,37.5636375
"2","Myeong_dong_Cathedral-Seoul",1,126.9873604,37.563177
"3","Chuncheon_Myeongdong_Street-Chuncheon_Gangwon_do",1,127.7275516,37.8794817
"4","Gwangandaegyo_Bridge-Busan",6,129.1300371,35.1476738
"5","Nurimaru_APAC_House-Busan",6,129.1513029,35.1523864
"6","Haeundae_Beach-Busan",6,129.1603842,35.1586975
"7","Haeundae_Dalmaji_gil_Road-Busan",6,129.1782858,35.1624207
"8","Jamsil_Baseball_Stadium-Seoul",8,127.0719011,37.5122579
"9","Lotte_Cinema_Lotte_World-Seoul",8,127.1050254,37.5139534
"10","Jamsil_Sports_Complex-Seoul",8,127.0731124,37.5148406
"11","Seokchon_Lake-Seoul",8,127.1030184,37.5097431
"12","Lotte_World_Tower_Mall-Seoul",8,127.1050225,37.5134998
"13","Nami_Island-Chuncheon_Gangwon_do",10,127.5255418,37.7913541
"14","Gapyeong_Rail_Park-Gapyeong_gun_Gyeonggi_do",28,127.516603,37.8292541
"15","Gapyeong_City_Tour_Bus-Gapyeong_gun_Gyeonggi_do",28,127.3525467,37.7439438
"16","The_Garden_of_Morning_Calm-Gapyeong_gun_Gyeonggi_do",28,127.3525467,37.7439438
"17","Gangnam_Underground_Shopping_area-Seoul",7,126.9853555,37.5608222
"18","Dongdaemun_Market-Seoul",2,127.0078389,37.5703603
"19","Migliore_Dongdaemun_Shop-Seoul",2,127.0084776,37.568063
"20","Dongdaemun_Design_Plaza_DDP-Seoul",2,127.009506,37.566725
"21","Dongdaemun_Shopping_Complex-Seoul",2,127.0081494,37.569903
"22","Dongdaemun_Gate_Heunginjimun-Seoul",2,127.0095452,37.5711389
"23","63_City-Seoul",20,126.9402103,37.5193776
"24","Yeouido_Hangang_Park-Seoul",13,126.9343012,37.5284017
"25","Yeouido_Park-Seoul",13,126.918916,37.523816
"26","Chuncheon_Myeongdong_Dakgalbi_Street-Chuncheon_Gangwon_do",10,127.7275516,37.8794817
"27","Chuncheon_Mullegil-Chuncheon_Gangwon_do",10,127.7299707,37.8813153
"28","Dongmun_Market-Jeju_Jeju_Island",9,126.526099,33.5115818
"29","Jeju_Folklore_Natural_Museum-Jeju_Jeju_Island",9,126.5316181,33.5064642
"30","Jeju_Stone_Park-Jeju_Jeju_Island",9,126.6586582,33.4485653
"31","Seongsan_Ilchulbong-Seogwipo_Jeju_Island",9,126.9425,33.458056
"32","Seongeup_Folk_Village-Jeju_Jeju_Island",9,126.7997102,33.3863435
"33","Sinchon-Seoul",4,126.9435838,37.5594793
"34","Cheongnamdae-Cheongju_Chungcheongbuk_do",1,127.4730318,36.6366543
"35","Itaewon-Seoul",5,126.9921017,37.5400456
"36","Itaewon_Land-Seoul",5,126.9972861,37.5341594
"37","Itaewon_Antique_Furniture_Street-Seoul",5,126.9948943,37.5316779
"38","Daegwanryeong_Samyang_Ranch-Pyeongchang_gun_Gangwon_do",21,128.7196307,37.72305
"39","Daegwanryeong_Yangtte_Ranch-Pyeongchang_gun_Gangwon_do",21,128.7196307,37.72305
"40","Incheon_Airport_Transit_Tour-Incheon",36,126.4406957,37.4601908
"41","AREX_Airport_Railroad_Express-Incheon",36,126.4406957,37.4601908
"42","Hwaseong_Fortress-Suwon_Gyeonggi_do",33,127.0139413,37.2885205
"43","Hwaseong_Haenggung_Palace-Suwon_Gyeonggi_do",33,127.0137341,37.2819578
"44","Paldalmun_Gate-Suwon_Gyeonggi_do",33,127.016724,37.277488
"45","Hwahongmun_Gate-Suwon_Gyeonggi_do",33,127.0176056,37.28746
"46","Janganmun_Gate-Suwon_Gyeonggi_do",33,127.0142055,37.2888038
"47","Hangang_Park-Seoul",13,126.9965186,37.5101798
"48","Eland_Cruise-Seoul",13,126.9384944,37.5257811
"49","Wolmido-Incheon",30,126.5978148,37.4754003
"50","Wolmi_Park-Incheon",30,126.596287,37.471318
"51","Wolmi_Theme_Park-Incheon",30,126.596287,37.471318
"52","Wolmido_Cruise-Incheon",30,126.5977278,37.4766964
"53","Jogyesa_Temple-Seoul",3,126.9826498,37.5743716
"54","Jongmyo_Shrine-Seoul",3,126.994143,37.574583
"55","Jongno_Jewelry_Shopping_Street-Seoul",3,126.9928707,37.5716781
"56","Cheonggyecheon_Stream-Seoul",3,127.0246275,37.5713521
"57","Jonglo3ga_Pojangmacha_Geoli-Seoul",3,126.9779692,37.566535
"58","Songdo_Central_Park-Incheon",32,126.6385145,37.3923788
"59","Songdo_Beach-Busan",32,129.016761,35.0754546
"60","Songdo_Convensia-Incheon",32,126.6455391,37.3889366
"61","Songdo_Skywalk-Busan",32,129.016761,35.0754546
"62","Hyundai_Premium_Outlet_Songdo-Incheon",32,126.6571749,37.3814788
"63","Gwanghwamun_Square-Seoul",17,126.976775,37.5740339
"64","Sejong_Center-Seoul",17,126.9756429,37.5725254
"65","King_Sejong_Memorial_Hall-Seoul",17,127.0435458,37.590783
"66","Garosu_gil-Seoul",18,127.0229273,37.5205636
"67","Seomun_Market-Daegu",35,128.5807879,35.8688497
"68","Daegu_Metro-Daegu",35,128.597074,35.876314
"69","Jagalchi_Market-Busan",11,129.0304885,35.0967055
