,urls,attraction
0,https://www.tripadvisor.co.kr/Attraction_Review-g294197-d553546-Reviews-Myeongdong_Shopping_Street-Seoul.html#REVIEWS,Myeongdong_Shopping_Street-Seoul
1,https://www.tripadvisor.co.kr/Attraction_Review-g294197-d609340-Reviews-Myeong_dong_Cathedral-Seoul.html#REVIEWS,Myeong_dong_Cathedral-Seoul
2,https://www.tripadvisor.co.kr/Attraction_Review-g608520-d3805613-Reviews-Chuncheon_Myeongdong_Street-Chuncheon_Gangwon_do.html#REVIEWS,Chuncheon_Myeongdong_Street-Chuncheon_Gangwon_do
3,https://www.tripadvisor.co.kr/Attraction_Review-g297884-d4354720-Reviews-Gwangandaegyo_Bridge-Busan.html#REVIEWS,Gwangandaegyo_Bridge-Busan
4,https://www.tripadvisor.co.kr/Attraction_Review-g297884-d7918210-Reviews-Nurimaru_APAC_House-Busan.html#REVIEWS,Nurimaru_APAC_House-Busan
5,https://www.tripadvisor.co.kr/Attraction_Review-g297884-d1458553-Reviews-Haeundae_Beach-Busan.html#REVIEWS,Haeundae_Beach-Busan
6,https://www.tripadvisor.co.kr/Attraction_Review-g297884-d4354725-Reviews-Haeundae_Dalmaji_gil_Road-Busan.html#REVIEWS,Haeundae_Dalmaji_gil_Road-Busan
7,https://www.tripadvisor.co.kr/Attraction_Review-g294197-d2008729-Reviews-Jamsil_Baseball_Stadium-Seoul.html#REVIEWS,Jamsil_Baseball_Stadium-Seoul
8,https://www.tripadvisor.co.kr/Attraction_Review-g294197-d4438770-Reviews-Lotte_Cinema_Lotte_World-Seoul.html#REVIEWS,Lotte_Cinema_Lotte_World-Seoul
9,https://www.tripadvisor.co.kr/Attraction_Review-g294197-d12339161-Reviews-Jamsil_Sports_Complex-Seoul.html#REVIEWS,Jamsil_Sports_Complex-Seoul
10,https://www.tripadvisor.co.kr/Attraction_Review-g294197-d10183192-Reviews-Seokchon_Lake-Seoul.html#REVIEWS,Seokchon_Lake-Seoul
11,https://www.tripadvisor.co.kr/Attraction_Review-g294197-d8842556-Reviews-Lotte_World_Tower_Mall-Seoul.html#REVIEWS,Lotte_World_Tower_Mall-Seoul
12,https://www.tripadvisor.co.kr/Attraction_Review-g608520-d597358-Reviews-Nami_Island-Chuncheon_Gangwon_do.html#REVIEWS,Nami_Island-Chuncheon_Gangwon_do
13,https://www.tripadvisor.co.kr/Attraction_Review-g2024864-d10586793-Reviews-Gapyeong_Rail_Park-Gapyeong_gun_Gyeonggi_do.html#REVIEWS,Gapyeong_Rail_Park-Gapyeong_gun_Gyeonggi_do
14,https://www.tripadvisor.co.kr/Attraction_Review-g2024864-d13138068-Reviews-Gapyeong_City_Tour_Bus-Gapyeong_gun_Gyeonggi_do.html#REVIEWS,Gapyeong_City_Tour_Bus-Gapyeong_gun_Gyeonggi_do
15,https://www.tripadvisor.co.kr/Attraction_Review-g2024864-d3618503-Reviews-The_Garden_of_Morning_Calm-Gapyeong_gun_Gyeonggi_do.html#REVIEWS,The_Garden_of_Morning_Calm-Gapyeong_gun_Gyeonggi_do
16,https://www.tripadvisor.co.kr/Attraction_Review-g294197-d1552247-Reviews-Gangnam_Underground_Shopping_area-Seoul.html#REVIEWS,Gangnam_Underground_Shopping_area-Seoul
17,https://www.tripadvisor.co.kr/Attraction_Review-g294197-d1675961-Reviews-Seolleung_Jeongneung_Royal_Tomb-Seoul.html#REVIEWS,Seolleung_Jeongneung_Royal_Tomb-Seoul
