review_title,review_body
Definitely worth stepping out of the airport for when on transit,"This place is magical. Its exquisite, so well kept and historical. Definitely worth stepping out of the airport for on that 12 hour transit. So well worth it."
Palace,"Before visiting the palace I went into the free museum which is situated inside the walls of the palace, beautiful inside. You pay for tickets at a small booth very reasonable price, once inside all I can say is stunning"
Good for photo ops but difficult with pram,"If you want to take photos and wear hanbok- this is the place to be! If you want a deeper understanding of the history, get a guide. The grounds are expansive and you can spend hours wandering especially if you visit the museum there. However, note that it is not pram/wheelchair friendly. Also, lines to get tickets can get really long."
Definitely a must in Seoul ,Especially worth to see a ceremony. Great to see everyone with the traditional costume and if you dare to rent one your entry is FREE!Have tea at the tea house when available  
Good,The palace is really nice. Has a museum in there too. Lots of lovely Korean kids dressed up in traditional wear. 
Nice to see everyone in Hanbok! ,"First time here after rent hanbok at one of the store for 4 hours. Free entrance to Gyeongbokgung Palace if you’re wearing hanbok. Luckily no rain as the palace not all sheltered and it was hot day. Enjoy taking photos all around the palace and great experience to watch the Changing Guard. I spend the time here for 3 hours include my coffee break at one of the cafe, should put more indoor seats as all customer feeling hot and need aircon! Overall its a huge palace, nice to walk around and get many nice spot to take pics wearing hanbok. "
"Good for visiting, not really worth the Wons.","If you would like just to have a look at the neighbourhood, the grand palace and people strolling with their traditional hanbok, you can just stay outside and take wonderful pictures without having to soend your money getting inside as there were not so much to see."
Didn't know it's a replica,We went there thinking this is a real historic palace to only learn from the tour guide that it was rebuilt after WWII (the Japanese had demolished the original palace and built a modern government building on the same site!)
"Great, has many influence","Nice big complex, with múltiple buildings, historical place , i take with tour compañía, But cheaper by subway, a must if you go to seoul"
Historically endowed,"Everything about this Palace resonates history and the rich culture of the Koreans. Entry is free for vistors in the traditional outfit (Hanbok) and at a low cost for visitors without the outfit. There are several shops near the near Palace where you can rent a Hanbok for 1 to 2hours. The cost of renting my outfit was ₩10,000 for 2hours. The palace also has a park where you can have lunch after some sightseeing. This is worth your last penny. Enjoy"
First time at Gyeongbokgung Palace,"I visited Gyeongbokgung Palace on March 10th 2019, for me was a cold day since I live in the carribean, and thought I'd love to wear a hanbok, i could bear to be in thos very thin fabric dresses, so I skip that and pay the fee to access the palace. The place is HUGE I walked and walked and walked is seem endless. I visited the museum of South Korean history,was very interesting and very big too.The building I love to watch the most was the main building where the throne of the King was, and to watch the show of the change of guard at the main entrance of the palace. Was a great experience and I highly recommend it. Z"
Amazing!,"Unforgettable visit, will definitely return for another visit next time in Seoul! Very traditional architecture!"
Historic Palace Worth a Visit,"A visit to Gyeongbokgung should be on everyone’s list when visiting Seoul. It was the main palace for the Joseon Dynasty, the last dynasty before the Japanese colonization in 1910. It is significant historically, but also worth visiting because of its beauty. Be sure to rent some traditional clothing before going in to get some unique pictures that will be truly memorable!"
Beautiful Palace,"We had the fortunate timing of watching the palace guard change ceremony, and it was an event to watch. For those who are multi-lingual, the broadcast is in 4 languages: Korean, Japanese, Chinese, and English. The palace itself is grand, even though it's not the same scale as the Forbidden City in Beijing. Still, it is worthy of a visit."
Beautiful,We really enjoyed walking about the palace and learning some of the history. The dynasty and royalty is fascinating and the structures are beautiful.
Interesting,"If you ignore the whole place was rebuilt not long ago and hence isn't particularly original (although, of course, rebuilt in its impressive, historical, form) it is definitely worth seeing. Sprawling, busy and imposing it is a must when visiting Seoul."
Nice place to visit ,"Very nice place to visit while in Seoul. Historical site, not to crowded. Spend nice time there. Recomend it for everyone visiting even if they have little time. However is not worth to wait for the change of guards. "
The Happiest I ever was when i was here for half a day!!,Tried on a hanbok and had fun being silly photo taking and walking around the palace. Saw a cordoned off throne seating area. Walked the grounds in the summer heat but still enjoyed myself.
Largest and oldest of the palaces.,"This palace (mostly restored) is the oldest of the Joseon dynasty. Free for those over 65 and note that 64 in US counts as 65 in Korea (bring your passport for proof of age). Otherwise, just 3,000 won.Very large and many photo ops. Be sure to spend time in the free Palace Museum just outside the paying area."
A must see in Seoul,"Take metroline 3 (orange) and get out at Gyeongbokgung station. This is a must see/do when in Seoul. It´s one of the most well maintained historical sites I have ever visited. Like many ´main tourist attractions´ it´s full of tourists, but because many locals like to rent traditional clothing and walk around all dressed up it gives you a very authentic feeling (until you all see people taking selfies and you are reminded they are from 2019 and not from the past). For me it was a great way to get to know Seoul/ South Korea on my first day. I went on my own for a quick visit, but if you have a chance to do a guided tour and learn about it´s history I think that would be very interesting. The place itself is huge and you can easily hang around for two hours. Later I found out there was a huge chunk of the park I missed (the water part) because I crossed over to the National folk museum, which is also well worth a visit by the way. If you have more time and feel like walking a bit more, you can also visit the Bukchon Hanok village at about 500 meters distance."
"Yeah, it’s a bit like the Forbidden City of Seoul","Nice enough, but big open space and after you’ve stared at it for 5-10 mins...wondering what to do with one’s self. "
Nighttime Viewings Are Available on Specific Days Throughout the Year,"On the dates posted on their official website (in Korean; not in English), foreigners can purchase up to 4 tickets at the ticket booth with a valid ID/passport. When I visited in September 2019, nighttime ticket sales started at 6:30 pm. Visitors were able to enter the palace at 6:40 pm, and were guided to go out at 9:00 pm. Hanboks (Korean traditional dresses) look gorgeous with the palace's night view!"
Wonderful visit.,"The buildings, the grounds and the history are incredible. Everything you see is historic.To start, we took the #3 train and got off at the Jongno station, exit 1 takes you straight to the palace and museum. We got there right when the changing of the guards had finished so be there by 10 am or 2 pm if you want to see it. But we were able to go on the 11 am guided tour in English, it is free and it is the only way to know what you are seeing because most buildings look the same. The tour takes an hour and then you can walk around by yourself. It is very inexpensive, around $2.50 US unless you dress in traditional Korean clothes, then it is free.At the end exit towards the Seoul Library and walk to the Bukchon Hanok Village ."
Very nice ,"Very nice place, great to come over the weekend and see the local Koreans dressed on their traditional clothing "
Enthralling history,"Gyeongbokgung Palace was the royal palace of Joseon dynasty. Our tour guide, Erica, gave a detailed history of this dynasty and the sons fought with each other to occupy the throne and that lead to the construction of the other main palace. She explained about the summer and winter offices and rooms considering how hot and cold the temperature reaches during theses season in South Korea. Also, the change of guards is one of the major attractions of this palace. Don't miss it. Must visit."
Gorgeous piece of Joseon Dynasty,"An amazing, sprawling site you have to visit in Seoul. Get there by 10am on a weekday and you'll have a perfect view for the changing of the guard. it's an awesome show. Rent a traditional hanbok at a shop nearby, get in free and supercharge your instagram, yo."
Historical,"Since we booked a nearby hostel, it was just a good walk from our place. The palaces are quite interesting which gives you an idea of how they used to lived during the old times.It was a good thing that it was not crowded when we visited so we really enjoyed the beauty of the place."
Beautiful architecture,"This Palace has some beautiful architecture & bugger structures than Seoul other palaces, but this makes it a lot busier. The buildings are set in a classic structure - as you pass through the biggest & most regal first, then lots of structures of lesser quality follow after with buildings & Court yards to either side.This Palace is easy to wander on your own without a guide.The route follows through to the National Folk Museum & also the is the National Museum of Korea at the side. "
A must see in Seoul,"Love this Palace in every season. The Main Royal Palace of the Joseon Dynasty - if you are going to visit just one cultural site on your visit to Seoul I would recommend the Gyeongbokgung Palace. You can tour on your own, help a student volunteer offering a tour, or join a free guided tour offered by the management office in English, Japanese, Chinese, or Korean. Entry is a reasonable 3000 for adults, 1,500 for juniors and free for under 6y or over 65y. Changing of the guard takes place at 1000 and 1400 inside the Gwanghwamun gate and Gate Guard duty performance outside the gate is at 1100 and 1300 daily. Even without seeing these performances wandering through is worthwhile, you can see the blue house from the far corner of the grounds, and the National Folk museum entrance is connected to the eastern side. Highly recommend to all - accessible and enough room for the little ones to get some energy out."
I really feel like a princess,Gyeongbokgung Palace itself was easy to find! (Stop at gyeongbokgung station). Rent a hanbok and you are able to enter for free !! I must say the palace is big and beautiful As for me i really want to visit the palace as i always seen it on tv so seeing it in real life is amazing! Its big that you need 2 hours to explore the whole area and there’s alot of pretty spots where you can take photos with your hanbok!! Definitely recommend to visit with your hanbok because you’ll feel like you are a princess/prince!! But of course there will be alot of tourist so come early so there not much people!
Hanbok dress earns free entrance,A wonderful slice of history brought to life. Probably most easily navigated for tourists as part of a city tour. Note that there's free entrance to the palace for people in tradition Hanbok dress.
