Name,NumberOfReviews,Location,Rank,Review
°æÆ÷ ÇØº¯,212°ÇÀÇ<U+00A0>¸®ºä,°­¿øµµ °­¸ª,1À§(48°÷ÀÇ °­¸ª ¼ÒÀç °ü±¤Áö Áß),"I live not far from this area and so have been coming to Gangneung quite regularly for six years now. Gyeongpo is a wonderful place in that the beaches of the East Sea are far cleaner than those on the West Coast of Korea. The water quality is excellent. Wonderful to swim in. The adjacent lake is an excellent place for bird watching, with herons, cormorants, and sandpipers dominant from April to October, followed by various migratory duck species from late fall to early spring. My only gripe about the area is that the restaurants are slightly overpriced IMO. Can rent tubes and do paragliding, jetskiing, etc. St John's hotel, with one of the best saunas in the area, is a 15~20 minute walk away at Gangmun Beach.The place is good, a very beautiful lake view from the hotel, needs more attention to hotel management. the supplementary items are not up to the mark.Expected so much more.The beach is known for its romantic resting sculptures for couples. But there are just a few, spread along the wide beach. I really meant it by 'wide'. You gotta walk to each and everyone of them.The beach is huge. Lots of sand before you could reach the water.Directions:. Gangneung Bus Terminal. Bus 202. Alight at Gyeongpodae BeachC ( 18.12.18 ) The beach was famous place, and one of excellent beach in East Sea. There was well-managed and had good sand. There was very good place to enjoy sea bathing in summer and walk along the beach. Excellent beach.Wake up early and be rewarded with a surreal experience of the epic sunrise seen directly from the beach. The horizon stretches uninterrupted end-to-end.We live in Gangneung so we visit gyeongpo beach alot in the summer. The beach is quite nice and warm in the summer. The only downpoint is that is always packed of people. In the night they always have some festivals or music playing so its good even in the night. You could visit many restaurants and bars around that place in the morning and night plus during the day you could rent boats!This is a beautiful beach located in the east coast of korea. The area got a boost with the winter Olympics of 2018. Many new hotels, motels, restaurants and coffee shops were built. Unfortunately after the Olympics not many people are visiting. Beaches are beautiful, white sand and long and importantly not crowded. Recommended to visit.I loved this nice long beach walk which is decked so it's very easy to walk while enjoying the ocean and pine trees on the other side.We attended the winter Olympics and our accommodations were a block away from the beach. We used the great amenities of restaurants and hotels that catered to the beach crowd to our vantage. It was cold and windy while we were there, so not your typical beach weather. In celebration of the Olympics there were some great sculptures and other displays which made the cold weather less of a factor as we still enjoyed our time on the beach.This is a very popular beach, although there was no swimming in February! I was here for the Olympics, and there were cool large sculptures on the beach, intended to be burned on weekends. The sunrises were gorgeous, and there are lots of good food choices nearby."
Á¤µ¿Áø ÇØº¯,136°ÇÀÇ<U+00A0>¸®ºä,°­¿øµµ °­¸ª °­µ¿¸é Á¤µ¿Áø¸®,3À§(48°÷ÀÇ °­¸ª ¼ÒÀç °ü±¤Áö Áß),"Leaving the train station, straight ahead was the rail bikes. Super fun with minimal pedalling. Wished it was a little longer.Leaving the station to the left is the pristine beach with magnificent views of the Suncruise hotel. Hourglass park a little more farther.Good day trip.This is a clean and great beach. It also has lots of sea glass so we enjoyed an afternoon collecting lots of beautiful pieces. There is no shade however. There are lots of touristy things next to the beach like the time museum and the little peddle train but we chose to just walk.Foreigners can not ride nor register to purchase the rail bikes since they are only required Korean credit card. Global Korea???? A representative couldn't (did not) know what is going on.¿Ü±¹ÀÎÀº ·¹ÀÏ¹ÙÀÌÅ©¸¦ Å»¼ö°¡ ¾ø´Â°É ¾Æ½Ã³ª¿ä? ISP ÇÁ·Î±×·¥Àº ÇÑ±¹ ÇöÁöÀÎ¿¡°Ô¸¸ ÇÒ¼ö ÀÖ´Â ÇÁ·Î±×·¥ÀÔ´Ï´Ù. ¿Ü±¹ÀÎÀº ÇÒ¼ö°¡ ¾ø±º¿ä. ÇÑ±¹»ç¶÷¿¡°Ô Çö±İÀ» ÁÖ°í ÇØ¾ß ÇÒ Áö°æ ÀÔ´Ï´Ù.±Û·Î¹úÀ» ¿ÜÄ¡¸é¼­ ³Ê¹«³ª ¾Æ½±½À´Ï´Ù.We checked out the beach through the railway, we checked out the station too. Fits couples and families with small kids.in the middle of not really somewhere - but I didn't check before - hence - perfect for lovers.maybe more liveliness in peak season.Beautiful aqua green ocean in a small town. I loved the smell and nice color of the ocean. Beach trail that starts from the parking lot on top of the Sun Cruise hotel was awesome.We took an overnight train to the beach and as a result we saw the sun rising over the ocean. It is a very special experience. The beach is beautiful and easy to get to, but its a little rural and people don¡¯t speak a lot of English. There is a good bus system that can be used to get around as well.Cute little sea side town with quirky attractions, nice beach and lots of local restaurants but not a lot of EnglishBeach was not that long but the scenery itself is very satisfactory, there is a rail bike you can ride - from the railway station nearby. it is around 40~50 minutes experience. good for family activity.This is the beach near the Sun Cruise Resort-- famous for that ship hotel on a cliff. In fact, you could take a scenic photo with that as backdrop.At the time we can when it was a super peak season in the country, this beach just had few people. The sand is light brown. It's a relaxing spot. Swimming is only allowed till 6pm although the sun set at 7:30pm."
ÃÊ´çµ¿ ¼øµÎºÎ ¸¶À»,60°ÇÀÇ<U+00A0>¸®ºä,°­¿øµµ °­¸ª ÃÊ´çµ¿ (¿ì) 210-120,9À§(48°÷ÀÇ °­¸ª ¼ÒÀç °ü±¤Áö Áß),"Great place to visit for some traditional tofu restaurants. The tofu here is different as in other places because saltwater is used which makes the tofu soft. I really liked it. I ate at ³óÃË¼øµÎºÎ restaurant and had some tofu ice cream at ÃÊ´ç110. Give it a try, a good overall experience!After reading so much about sundubu (fresh tofu) as a specialty in Gangneung on the east coast of Korea, we decided to give it a try after walking the searoad or badabuchaegil.We headed to Chodang village and chose a restaurant without a queue and ordered the non spicy set. On taking the first mouthful of the sundubu, we were delighted to find the taste to be familiar as it is similar to the best of Japanese and Ipoh tofu.It was a simple set with few side dishes for which we paid 18,000 won for both of us. We then adjourned to a cafe across the road. The lovely pine trees around the cafe contributed to its nice laid back feel. This area is well served by cabs and was only a 5,000 won ride to the Gangneung station.Short street lined with tofu shops. Some specialized in seafood, so check out store front pictures. Felt welcomed even though English was basically ""hot"" or ""no hot"". CC accepted. Also had a popular tofu ice cream. Daytime hours are best.Chodang Sundubu Village is a place where they serve soft, milky and delicious tofu. There are many restaurants to choose from but I was told that this one is the oldest and the most popular. You can tell they are popular with the long lines outside.This street is famous for popular dishes with Tofu and fish. You can order soup or thick curry with rice. It¡¯s quit spicy but still worth trying because of speciality of the area. Recommended. Cost around 30,000 for 2 persons.Our Airbnb was basically inside of the Tofu Village, which was great for us. We found the hours confusing -- not easy to get dinner on a weeknight as most places seemed to have closed around lunchtime, while Saturday was crawling with people. If you can figure out how to avoid the crowds but get to the shops when they're open, it's well worth it. The food is excellent and its a neat cultural experience. We ate at two different restaurants. The first time we ordered the JungShik (dinner set) and the second we just ordered a jiggae (soup) to share. Both times we really enjoyed our meal.Freshly made soft tofu which I loved and this is great for vegetarians.  Price was reasonable at $8-10 per dish.Menus are in English. Although our waitress didn't speak English, she kindly got the host who was able to help us and recommend things. We got the Tofu set which same with tofu soup, two fish dishes cooked different ways, a nice, large piece of tofu, and a bunch of sides, all for 28,000 won (more than enough for two people).The restaurant was busy, but spacious and the food was delicious. I am not a huge fan of tofu, but its a must if you find yourself on this side of Korea.We had a great experience here and could not recommend it enough.Sundubu means fresh tofu in Korea. The best place to try their special version of tofu here in Gangneung. Since it locates near the sea, the best ingredient to make the tofu is sea water instead of usually plaster.The ""Chodang"" tofu tastes just wonderful, though it looks different than those normal tofu.Must try if you have the chance to visit Gangneung.I'm clearly not a tofu fan but since it's Gangneug specialty we wanted to try it. We asked the taxi driver to bring us to a famous sundubu place and he brougth us there (check the picture). When you enter, you notice a lot of korean celebrities pictures and broadcasting channels signs, I guess it was a famous place. Apparently they use sea water which makes it really tasty.The sundubu tasted amazing (Jambong Sundubu and Cho Sundubu) and the side dishes were amazing. One of the greatest surprise we had in Gangneung. The village is close to the beach so I would recommend to catch a taxi and to ask him to bring you to ""sundubu maheul"" or ask for ""sundubu matchib""."
°í¼º ÅëÀÏ Àü¸Á´ë,45°ÇÀÇ<U+00A0>¸®ºä,°­¿øµµ °í¼º Çö³»¸é ¸¶Â÷Áø¸® 188,1À§(19°÷ÀÇ °í¼º ¼ÒÀç °ü±¤Áö Áß),"This review is in three parts - the Observatory, its accompanying museum, and the new DMZ museumWe drove hire car so getting there not a problem. When we got to the military checkpoint, about 5 km out, a pleasant, young soldier explained in passing english that we had to turn around and go back to the other side of a tunnel, turn off and get the pass we needed there. We followed those instructions and they were fine. At the office, located in the back of a souvenir shop, a man gave us a form and english translation for how to fill it in. We paid him 6000 won. When we had completed the form we handed it to another bloke and he took 5000 won. We think 1 was the Pass fee, the other the Observatory fee.We returned northwards, the soldier greeted is worth a cheery 'welcome back'. Car, boot was checked. Given some instructions about not photographing military and a bright yellow card to put on dashboard.We went to the DMZ museum first. We were in by 9.05 and the only ones there for an hour or more. Another very good S Korea museum, in parts. It focuses more on the DMZ than the War. There is english on the ground floor, though more would be better, but little on the upper floor. It is all very modern. We them drove the 2km or so to the Observatory. You park below and it is uphill walk to the building. There there are outside platforms to look across to the border. There are also some pay for binoculars. If you look carefully you can make out a ridge running fence and path away in the distance. All looks pretty desolate It looks like they are building a higher modern observatory, all stainless steel and height, but when open don't know. Only date we could make out on the building screens was 2017, so they're late. Across the car park there is then the War Museum. Pretty depressing and aging somewhat. Also hardly any english there, just some English headings above Korean writing We were in the area for about 3 hour and it took more than an hour each way from Sokcho. At no stage were poor passports checked. Nor were we stopped from taking pictures at the observatory towards the borderCertainly an historical and fascinating place to visitPretty amazing, hard to get to if you don't have a car and no buses go right to the observatory so plan your trip.Did this as part of an organised tour run by Hanjin Tours. Not quite sure what I was expecting but ended up being a little disappointed by the experience. You get taken to an observatory where you can see the DMZ in the distance and there are a few artefacts (and some art) to look at. Didn¡¯t get to see any guards etc.This was a great experience and a must see if you visit South Korea. You can see where North Korea starts and the observatory has a great history.Probably hard to reach without a car. You have to stop and register 10 km before reaching the guards. Feels a bit tensed while passing, but once you're in it feels like you're in a tourist area again. Not crowded at all, at least not in March. The observatory is easy to reach, it's a five minute walk up a hill. The view is great, I would even say beautiful, but of course its chilling when you think of what you are actually looking at. You can se the border and far away a small city. Not too much information in english, but it's not a big problem. Among the most interesting and unique things we did while in South Korea.Not sure how easy this is to access via public transport. Most drive. You must stop 10km south of the observatory and fill out a form and pay. Then you are shepherded 30 vehicles at a time along the road, in and out of weaving tank traps and barbed wire. Car will be checked out by ROK military and then a 2km drive to the observatory. There is a white building on the left at the top of the hill with uninterrupted views over North Korea's beaches. In the car park there is a small, awfully presented museum (free) about military life. It was mostly fascinating for its awfulness. Not many food options here.The drive from Seoul is not hard, maybe 120 miles, and then all the way north on Highway 7. The ""educational"" film is 4 minutes all told. 2 minutes on the rules, the rest is all about how awesomely Korea put itself back together, better than ever, following the war. The restaurant at the site is a train, you eat inside. Korean food (Hwang tae is the local fix of choice) is good there, but I tried Pizza Don Katsu, so pizza fixings deep fried together--might fine. The observatory allows you to look into NK, but nobody is visible, probably ever. The beaches are beautiful, and sadly fenced off until who knows when to stop infiltrations from the north. The museum at the observatory is free and has a very interesting section on South Korea efforts to recovery missing war dead from around the country. Also a great display of how many UN troops from what countries came and fought and died here. When you leave the slightly run-down observatory place there is a new and beautiful DMZ museum just down the road, very nice. Interactive themes for kids and a lot to look at. Gift shop is nice too. This entire day is great cheap and easy if you speak Korean. If not, find a friend to go along.you can know today of korean unification and see north korea's nowadays.If you want to see north korea safely and know the sad history of Korean divisionThe most interesting part was the DMZ museum. It gives good explanations in English, though everything isn't translated. The staff at the museum speaks good English and will be able to help you with directions to the observatory. Though it isn't hard since it's on your left when getting out of the museum and there is only one road. The observatory isn't that much of a big deal we thought. Try going there by good weather if you want a chance of actually seeing something. And if you are going by your own means, you will need a car to get there since they don't let motorcyclists or pedestrians in. Don't forget to get the paperwork done in Machajin at the Tongil security park. The staff there doesn't speak English but patience, good will, your best efforts and a smile will get you there :)"
¸Á»ó ÇØ¼ö¿åÀå,26°ÇÀÇ<U+00A0>¸®ºä,°­¿øµµ µ¿ÇØ ¸Á»óµ¿ 393-16 Mangsang-dong,3À§(19°÷ÀÇ µ¿ÇØ ¼ÒÀç °ü±¤Áö Áß),"Strong Breeze hits the shore with Strong Waves. Refreshing and lotsa restaurants that you can choose from. We stayed in Donghae Boyang Spa Convention Hotel which is great to relax after our Spartan eventMangsang Beach was a very nice surprise. The beach is huge, stretching for kilometers. The sand is nice and the water clean. The water gets deep very steeply, so it can be dangerous, and lifeguards have no tolerance for those who step outsied of the designated swimming areas. Another good thing is that the beach is not only long, but it's also wide, which is great for people who want to play soccer, fly a kite or just want some extra room to run around. Finally, the central area of the beach has a nice area whit various dining options, coffee shops, small stores and even a small arcade.Mangsang beach.. located in the east coastal bed of south korea.. we went with an 2 year old kid. Similar to sokcho beach, the waves and depths are high for kids.. but for adults visitor, this beach is an awesome one.Overall a worth visit and not a much visit place..No cons for this beach.We (me & my fiance) visited Mangsang Beach in the middle of September, which should normally be monsun time, but this day was sunny and hot. In any case it was after season and additionally during the week, which resulted in the beach being almost empty. Unfortunately, ""No swimming"" signs were killing the fun right away, most likely due to strong waves and currents at this day. This was a shame as the beach is very nice and the clear, not-too-cold water would have made a great time. So we decided to just walk along the water in the southern direction.And here is what you should absolutely be aware of: The southern part of Mangsang Beach is a restricted military area, which is announced by one (!) small sign in Korean language only (photo attached). Rule of thumb: If you see barbwire to your right and the sea to your left, better turn around. We walked almost one kilometer into the restricted area, which features some nice parts of the beachline like rocks and a creek leading into the sea, before some heavily armed South Korean soldiers hastily jumped on their watchtower and blew their whistles to signal us to turn around immediately. Given that there are other watchtowers and some CCTV cameras before that, someone clearly wasn't doing his guard shift correctly... Why didn't we turn around long before? Easy - this far up north, basically the whole South Korean coastline is fortified against North Korean infiltration attempts using mini-subs. One can see soldiers patrolling along the beach on other locations, too, so the barbwire itself did not work as a particular warning to us.Enough of the scary stuff, the rest of the beach is wonderful and, given good wave conditions, clearly is an awesome place to go swimming. There were some quads and jetskis lying in front of a store, I assume they're for rent, and there are also stationary caravans to rent for a camping experience. There's also an Italian-style restaurant called ""Piano"" run by Koreans, close to the main vehicle entrance to the beach. A very neat place with little-above-average prices, but very good food, a tasteful interior and a beautiful view at the sea.The beach is long and wide, so there are lots of people and no shortage of space on the sand. There are also lots of shops and restaurants, loud speakers, and the constant whistles of obnoxious, speedo-clad (horrifyingly small), lifeguards. It's not a relaxing or quiet experience, but could be fun for families and groups who'd like a lot of space. The beach/sand has a pretty sharp drop off to the water, which makes for pretty hard waves and a strong current I suppose. The lifeguards are very strict about people going out in the water. I will grant them that it's pretty dangerous, especially for people not used to the ocean or young swimmers, but they whistle non stop and very rudely order you back out of the water (I was literally standing in water up to my shins when I was whistled). One guy in a tube went out in the water a good deal further than they liked and four lifeguards dramatically swam out and pushed him back to the sand. Stick to the small and pleasant beaches around Donghae. Mangsang's waves and surf is tough and the lifeguards ruin it anyway."
Ãß¾ÏÇØ¼ö¿åÀå,25°ÇÀÇ<U+00A0>¸®ºä,°­¿øµµ µ¿ÇØ ºÏÆòµ¿,2À§(19°÷ÀÇ µ¿ÇØ ¼ÒÀç °ü±¤Áö Áß),"CC+c ( 19.05.17 ) My family visited this beach for viewing Candlestick Rock. The beach was not big area, but beautiful and calm. Though another beach in East Sea was good, this beach was more calm and good. Some restaurant was operating, and proper size to enjoy sea. One of good beach in Gangwon-do.This is a very beautiful beach right near the candlestick structure. The surf pounding the beach late in the afternoon is awesome.It is recommended to go there in the day rather than at night. The view is more beautiful but there is constructiom going on so it would not be as beautiful, yet.Beautiful and busy beach. Lots of umbrella and safety tube facilities. Lots of eateries opposite beachfront Water good swimming temparatureClear water, Great scenic view,Good food and Friendly people. The Perfect weekend scape with family in relaxed atmosphere.This is a wonderful place to relax and enjoy the beautiful sea view while sipping a cup of tea at a cafe just along the beach. The cafe even played the theme songs from a few of the Korean hit drama. Such a nice cosy ambience .Remember to bring along a big straw hat and apply enough sunscreen as there are not many places with shade. The sea is very clear and the place is currently not crowded with people."
»ïÃ´ ÇØ¾ç ·¹ÀÏ¹ÙÀÌÅ©,47°ÇÀÇ<U+00A0>¸®ºä,°­¿øµµ »ïÃ´ ±Ù´ö¸é °ø¾ç¿Õ±æ 2,1À§(3°÷ÀÇ »ïÃ´ ¼ÒÀç ¾ß¿Ü È°µ¿ Áß),"Hi I'm local here. Rose Park is one of the greatest places to visit in Samcheock. It is a park famous it's many rose. I think the admission, you don't have to make a reservation in advance. I recommend this place especially for couples.You can go to rose park using a taxi. You can simply take a cab, and it takes 10 minutes to get here from the terminal. Also, it takes about 3,000 sons for service. There aren't have near by restaurant In addition, there is river in front of rose park. Àå¹Ì°ø¿ø¿¡´Â Á¤¸» ¸¹Àº Àå¹ÌµéÀÌ ÀÖ½À´Ï´Ù Á¦°¡ »ı°¢ÇÏ±â¿¡ Àå¹Ì°ø¿øÀ» °È´Ùº¸¸é ºĞ¸í ÁÁÀº Ãß¾ïÀ» ½×À» ¼ö ÀÖÀ» °ÍÀÔ´Ï´Ù.I did this with my friend in the pouring rain in October and had a blast, so I knew I had to come again in the spring with my mom.We arrived at 11:25am to find the ticket office closed for lunch. The office was to open again at 12pm and bikes starting at 1pm. Why would you close a very popular tourist attraction for 2 hours in the middle of the day? We nearly missed being able to do this because we were told there were no bikes until 3pm, but when we asked 20 min later there was one available for the 1pm departure.Information on the bike is difficult to find in English (even Chrome can't translate the webpage).Overall we had a great time, but it impacted our schedule for the day greatly.A really pleasant ride along the coast and through a few tunnels. The bikes are on a rail (obviously) so you can only go as fast as the car in front of yours. So this can slow things down quite a bit.Travelling with a friend. It was a 5.4km of cycling but the view and everything was worth the money and cycling!Better reserve the seats early during peak time but youre gonna need someone who knows Korean. Go to the tourist center to help you make the reservation!Suitable for people who love nice views while exercising (:This a fun family bonding experience that anyone can enjoy. You will bike close to the coast with the view of the gorgeous east coast sea and cliffs and totally relax and have a fun experience.It was a fun and relaxing ride with a view. The ride started on time as scheduled. The sea view was beautiful and riding in the tunnels was exhilarating with the lights/music. With so much to see, we didn't really feel that the distance was long or an issue. In no time, we reached the end.However, a word of caution to be careful of your belongings during riding. I hung my expensive Rayban sunglasses on my shirt but it dropped off in the midst of my excitement and photo taking. The only sad memory of this trip. Sob!This was a chilled out ride with some pretty, weird and wacky sightings. It's a totally unique experience, and I'm glad we gave it a go.Last time we could not enjoy the rail bike as we did not make a reservation in advance. This time we could make a reservation luckily even though we tried the reservation 3 days before.As the course is located along the coast of East sea, the scene is wonderful and we also encounter some tunnels. As it was Summer, we tried the 1st time in the morning.The rail biking with all the family together with a stunning coast view is fun and memorable. Please keep in mind that you should make a reservation in advance on the internet site.I went with my family. We have passed couple of tunnels in the whole 5.4km ride.. the tunnels are filled with patterned lightingz.. kid enjoyed it. There was 7 minutes break during the ride..Overall it took an hour for to complete the rail biking event. Online ticket booking is also possible.Inviting view of the ocean while on the rail bike. Be prepared to pedal and sweat (during summer), good combination of tour and work out. Ladies, I don't recommend being on maxi dresses or long skirts if nobody is going to pedal the bike for you, thanks to my husband he was prepared. A good experience though, a must try!"
¼³¾Ç»ê ±¹¸³°ø¿ø,985°ÇÀÇ<U+00A0>¸®ºä,°­¿øµµ ¼ÓÃÊ,1À§(39°÷ÀÇ ¼ÓÃÊ ¼ÒÀç °ü±¤Áö Áß),"It was very windy when I visited Seoraksan and the cable car stopped functioning. My friends and I hiked the Biryong trail to see the waterfall. The waterfall is stunning and worth the hike. The hike is not too long distance but relatively difficult for a beginner hiker like me. The Hallasan Yeongsil trail is easier than Biryong trail but much longer distant. Biryong trail has more stone paths, hanging bridge etc. Overall, I would revisit Seoraksan again for the beautiful scenery.If you want to be in nature but don¡¯t want to hike, this park is perfect for you. You can take your family here for a nice stroll, but make sure you go on a sunny and warm day unless you want to freeze! I went when it was super cold (but hiked, so it was OK) so I took a warm jacket and it was alright, but I think it would¡¯ve been much better if I had gone in the springtime.I did not join the hiking tour but took an easier one ie getting to the top in a cable car. The whole trip was much easier than originally thought. I had to wait only 40 minutes for the cable car (running every 5 minutes and carrying 50 persons; best to buy the cable car ticket as early as possible); took pictures of the Buddha statue and of the surrounding areas in the meantime, before going back to the cable car station. Then there was a walk of some minutes up to the fortress. The walk was not difficult and the stairs were lined with anti-slip rubber. At the top there were many people; all coming up for the expansive views. The whole trip took about 3 hours.Can easily spend days here doing all the various walks, bring water as some of the hikes are a little tough but are so worth itHailing from a lovely mountainous place myself, I take hikes and surrounding mountains very seriously while traveling. There¡¯s just something soul soothing about strolling along beautiful scenery, surrounded by nature. Seoraksan is massive, with the best views coming from the hikes themselves rather than just the cable car area shown in photos attached. There are food areas near Seoraksan cable car, and great snacks available this time of year such as Hotteok. It an absolute must see, photos cannot do it justice. Definitely look up more on the park before you go, you won¡¯t be disappointed.The easiest(??) and one of the popular route to seoraksan is to the Biryong waterfalls. We went here on a weekend, so it was like everyone from Seoul wanted to see Seoraksan. By the last week of October, there are already autumn leaves around the middle of the hike up to the water fall. If you want a more leisurely hiking pace, go here on a weekend. There are many restaurants, a coffee shop and many agricultural stores, but nobody speaks English. There are some street food, however, if you have allergies, the Ahjumma's will not be able to explain the ingreadients.It was autumn and though it came later than predicted this year, the view was still amazing. I would definitely come again and try out the trails. Went up through cable car and the hiking to the peak from cable car station on top, was not steep (+ stairs). I would like to enjoy just sitting still while watching the view for at least an hour up there. Unfortunately due to time constraint, was not able to do it. If you stay in Seoul and would like to come here, make sure you arrive at the express terminal station early in the morning to take earliest bus to Sokcho!Be aware that this park is very busy! Weekends are a no no, so we arrived on a Monday but even then it was crowded. However we saw some lovely Autumn colours and the paths are quite good to walk. We did take one to the round rock and this wasn¡¯t so easy for walking - a lots of steps made of large rocks really. Enjoyable though.We enjoyed a full day in the park. We appreciated views of beautiful riverscapes, autumnal tree foliage and rugged mountain formations. The varying angles and levels of light added to the spectacle. Be warned: we were there on a Monday and it was very busy with long queues of cars to enter the site and lots of people.The park is Very well maintained considering that it is quite a huge park. Requires lots of walking, for some hiking. Take the cable car for a closer view of Mt. Seorak & its surroundings. There is a big sitting buddha & temple as well. The natural landscape of the park makes for a relaxing ambience."
¿ï»ê¹ÙÀ§,190°ÇÀÇ<U+00A0>¸®ºä,°­¿øµµ ¼ÓÃÊ ¼³¾Çµ¿ ¼³¾Ç»ê±¹¸³°ø¿ø ³» (¿ì) 217-120,2À§(39°÷ÀÇ ¼ÓÃÊ ¼ÒÀç °ü±¤Áö Áß),"I went in November and I thought it would be really cold, but the weather on the mountain was so nice I had to take off my hoodie and wear my tank top to hike! The hike up to Ulsanbawi takes around 2-4 hours depending on how fit you are; it took me around 3 because we went slow. The mountain looked beautiful even with its leafless trees & I would love to go back to hike here again. Please be advised though: the hike is rather strenuous and you need to be at a relatively fit level to be able to hike to the top!This is the best hike in the whole park but warning it is very tough and you need to be fit to do itThe hike up was really tiring for a good 1.5 - 2 hours (upwards) but well worth as this is not a very touristy place (you'll find yourself hiking amongst mostly locals). Go early so you don't have to squeeze w everyone else when going up and when you've reached the top. We started at 9am and would say the crowd was moderate - we did have to wait a few minutes before our turn to take photo w the rock £¬The light plays on the white rocks all day with changing angles and intensities. This is a spectacular formation set in an amazing landscape.The path is okay, it starts easily and gets more exhausting when approaching the peak. As a sportive person it is absolutely feasible, it took us 1.5h to reach the peak. The view was stunning! I would recommend to start as early as possible. We began at 8 am and there were only few people, when we hiked down after a looong break the path was very crowded!! After that we climbed up to Geumganggul cave, the path is more difficult but less exhausting and the view was even more beautiful than ulsanbawi and less crowded. So do ulsanbawi early to avoid the crowds and continue with Geumganggul, if you want to seize the day :)This hike is an absolute must when visiting Seoraksan National Park. The hike takes about four hours back and forth. The hike starts easy enough walking trough a beautiful forest on good trails, but it gets strenuous after you've passed Heundeulbawi Rock. From then on the path leads you straight up so many stairs that I lost count. But the view after conquering this climb is so rewarding that you'll forget all your suffering in a heart beat.The Ulsanbawi rock formation is gorgeous, but you need to be a a good condition to get there.Ulsanbawi Rock is a unique rock formation composed of six granite peaks. One needs to be of general fitness to do this round trip hike of 4 hours. The initial trail is relatively easy, walking along the forest on big gravel rocks, boardwalk and stairs. After about an hour, I arrived at the famous Heundeulbawi Rock and had a 15 mins break for snacks and drinks.From Heundeulbawi Rock to Ulsanbawi Rock, the slope gets relatively steep. The majority of the trek is made up of steps, and the steeper stone sections come with ropes while the steel steps come with handrails. I needed to my arms to pull myself up from this point onwards. I finally arrive at Ulsanbawi Rock after hiking 1 hour 45 mins from the base. To reach the summit, I had to queue for about 15 mins along the narrow stretch, just to take photos of the flag and the rock indicating 836m.At the summit, one is rewarded with spectacular view of Seorak Mountain. There were many local hikers resting in the open space to have their meals as well as enjoying the view. The weather was perfect, clear blue sky with some clouds adding texture to the background. I spent 45 mins at the summit before my descent. Overall, it was an enjoyable hike, though tiring.Just want to comment on difficulty. I am a 65 year old man, in decent, but not great, shape. The walk was strenuous, especially the last 0.6 km. Uphill on either steps or a rock path. By the time I reached the top, I was quite pooped. But glad I did it. For someone younger in good shape it shoud not be that hard. For someone older or in poor shape, it will be a challenge. Also, I did it in April, so it wasn't very hot.Show lessWe decided to climb up Ulsanbawi even though it was rated ""advanced"" on KTO website. We were glad we did because the climb up was great and the view even better. It wasn't not difficult as there were proper tracks and stairs although some parts were rocky steps. The difficult part was probably the energy and endurance to keep walking and climbing. But it was worth it.The last .8 km seemed to take forever. Be sure to go early if you wish to avoid the crowds. Got there just after 7am, taking pictures before really starting out on the course around 7:30am (on Wed 10/24). Total trip time ~4 hours. The crowds started coming in when I went back down."
Á¦ 4 ¶¥±¼,10°ÇÀÇ<U+00A0>¸®ºä,"°­¿øµµ ¾ç±¸ Hyeon 3-ri, Haeahn-myeon (¿ì) 255-840",1À§(9°÷ÀÇ ¾ç±¸ ¼ÒÀç °ü±¤Áö Áß),"When in Yanggu, a visit to the 4th Tunnel shouldn't be missed! It's educational because you are going to learn history about North and South Korea. Before going inside the tunnel, we wore a protective helmet. We walked for five minutes to get to the ride stop. Since there were a number of people when we visited, we had to queue in for the trolley ride. With this ride, we were able to get to the inner part of the tunnel. Unfortunately, we were not allowed to take photos. After the ride, we went back outside and had a chit-chat with the soldiers since they know English well.This is a great experience to see what lengths North Korea went to to try and tunnel through to south Korea.First you HAVE to go to ""Eulji Observatory.The 4th Tunnel Ticket office.I have placed a screenshot of the location.There you will show your Passport and fill out a form with car registration also .They will give you 3 pieces of paper.One for guard at the gate before the tunnel.One with guard at the tunnel and one for guard at the observatory.If you don't get these before you get to the tunnel you will not get through.They say you have an hour at the tunnel and an hour at the Observation.At the tunnel you will see ashort doco on the war.Then the guard will tell you no photos inside the tunnel.You will walk 100 meters to a small train.Then you will have a 100 meter ride,stop and return backwards.Its noisy but save.Then you return to the outside and head for the Observatory.Once in the Observatory the lady will tell you a little history.You look through a large window at North Korea.No photography allowed.inside.You then return via the guards at the gate.If you have a car you must use LOW gear on the way back.Very steep long road.The entries are all FREE.Going into the tunnel and seeing the efforts that the North Koreans have gone through in an effort to be ready to attack the South is remarkable. This is the DMZ in your face, at your fingertips. No photos are permitted, but when you see the tunnel and imagine that something like 10,000 soldiers per hour could have gotten through, it is shocking. The minefields (with live munitions) are just yards away. This, more than anything, reminds you that the Koreans play for all of the marbles, all of the time.It is quite the experience to visit this place, put on a hard hat and walk the several hundred metres to the end. But it's not for the unfit or those with a heart condition...the tunnel is a steep descent and a very tiring climb back to the top awaits!The good news is that a mining style railway exists and is used to transport visitors to the bottom who are not keen to walk.You'll be asked to store your cameras in lockers at the top, as photos inside the tunnel are prohibited. If you're out touring the DMZ then tunnel 4 is a must.This location is pretty remote, but to experience it firsthand gives you an uneasy sense of ongoing ""state of war"" that exists and that overshadows what is a pretty peaceful area. It's pretty incredible to see first hand the work the North Koreans did was by hand. The views above looking over the DMZ is also beautiful and eerie. If the business of Panmunjom doesn't appeal to you, then this is a place worth checking out."
