url,title
/Attraction_Review-g294197-d8737878-Reviews-Grevin_Museum-Seoul.html,Grevin Museum
/Attraction_Review-g294197-d324890-Reviews-The_National_Folk_Museum_of_Korea-Seoul.html,The National Folk Museum of Korea
/Attraction_Review-g294197-d598499-Reviews-Leeum_Samsung_Museum_of_Art-Seoul.html,Leeum Samsung Museum of Art
/Attraction_Review-g294197-d1957627-Reviews-Yeouido_Park-Seoul.html,Yeouido Park
/Attraction_Review-g294197-d590748-Reviews-Gwanghwamun_Gate-Seoul.html,Gwanghwamun Gate
/Attraction_Review-g294197-d1554603-Reviews-Changgyeonggung_Palace-Seoul.html,Changgyeonggung Palace
/Attraction_Review-g294197-d609340-Reviews-Myeong_dong_Cathedral-Seoul.html,Myeong-dong Cathedral
/Attraction_Review-g294197-d324887-Reviews-Deoksugung-Seoul.html,Deoksugung
/Attraction_Review-g294197-d592495-Reviews-Coex_Aquarium-Seoul.html,Coex Aquarium
/Attraction_Review-g294197-d8798065-Reviews-Lotte_World_Aquarium-Seoul.html,Lotte World Aquarium
/Attraction_Review-g294197-d592490-Reviews-Seoul_Children_s_Grand_Park-Seoul.html,Seoul Children's Grand Park
/Attraction_Review-g294197-d554634-Reviews-Jongmyo_Shrine-Seoul.html,Jongmyo Shrine
/Attraction_Review-g294197-d2008729-Reviews-Jamsil_Baseball_Stadium-Seoul.html,Jamsil Baseball Stadium
/Attraction_Review-g294197-d554303-Reviews-Starfield_COEX_Mall-Seoul.html,Starfield COEX Mall
/Attraction_Review-g294197-d1551271-Reviews-Namsangol_Hanok_Village-Seoul.html,Namsangol Hanok Village
/Attraction_Review-g294197-d6656879-Reviews-Samcheongdong_gil_Road-Seoul.html,Samcheongdong-gil Road
/Attraction_Review-g294197-d1440196-Reviews-Seodaemun_Prison_History_Hall-Seoul.html,Seodaemun Prison History Hall
/Attraction_Review-g294197-d324907-Reviews-Namdaemun_Market-Seoul.html,Namdaemun Market
/Attraction_Review-g294197-d1604009-Reviews-Garosu_gil-Seoul.html,Garosu-gil
/Attraction_Review-g294197-d2571660-Reviews-Itaewon-Seoul.html,Itaewon
/Attraction_Review-g294197-d324891-Reviews-Lotte_World-Seoul.html,Lotte World
/Attraction_Review-g294197-d2094166-Reviews-Seoul_Museum_of_History-Seoul.html,Seoul Museum of History
/Attraction_Review-g294197-d4095685-Reviews-Naksan_Park-Seoul.html,Naksan Park
/Attraction_Review-g294197-d3871936-Reviews-National_Museum_of_Modern_and_Contemporary_Art_Seoul-Seoul.html,National Museum of Modern and Contemporary Art Seoul
/Attraction_Review-g294197-d1958930-Reviews-Korea_House-Seoul.html,Korea House
/Attraction_Review-g294197-d2011401-Reviews-Shinsegae_Dept_Store_Main-Seoul.html,Shinsegae Dept. Store Main
/Attraction_Review-g294197-d10020530-Reviews-Seoul_Lantern_Festival-Seoul.html,Seoul Lantern Festival
/Attraction_Review-g294197-d7154750-Reviews-Hongdae_Art_Market_Free_Market-Seoul.html,Hongdae Art Market Free Market
/Attraction_Review-g294197-d7717373-Reviews-Seoul_City_Wall-Seoul.html,Seoul City Wall
/Attraction_Review-g294197-d1956582-Reviews-Majang_Meat_Market-Seoul.html,Majang Meat Market
/Attraction_Review-g294197-d7264107-Reviews-GOTO_Mall-Seoul.html,GOTO Mall
/Attraction_Review-g294197-d13199013-Reviews-Ikseon_dong_Hanok_Street-Seoul.html,Ikseon-dong Hanok Street
/Attraction_Review-g294197-d1549822-Reviews-Inwangsan_Mountain-Seoul.html,Inwangsan Mountain
/Attraction_Review-g294197-d1836198-Reviews-National_Palace_Museum_of_Korea-Seoul.html,National Palace Museum of Korea
/Attraction_Review-g294197-d10183192-Reviews-Seokchon_Lake-Seoul.html,Seokchon Lake
/Attraction_Review-g294197-d1990451-Reviews-Times_Square_Mall-Seoul.html,Times Square Mall
/Attraction_Review-g294197-d1962594-Reviews-Lotte_Department_Store_Main-Seoul.html,Lotte Department Store Main
/Attraction_Review-g294197-d6847900-Reviews-Gwanghwamun_Square-Seoul.html,Gwanghwamun Square
/Attraction_Review-g294197-d1675961-Reviews-Seolleung_Jeongneung_Royal_Tomb-Seoul.html,Seolleung & Jeongneung Royal Tomb
/Attraction_Review-g294197-d502576-Reviews-Samcheonggak-Seoul.html,Samcheonggak
/Attraction_Review-g294197-d2341905-Reviews-Dongdaemun_History_Culture_Park-Seoul.html,Dongdaemun History & Culture Park
/Attraction_Review-g294197-d3901265-Reviews-Seoul_Central_Mosque-Seoul.html,Seoul Central Mosque
/Attraction_Review-g294197-d561808-Reviews-Seoul_World_Cup_Stadium-Seoul.html,Seoul World Cup Stadium
/Attraction_Review-g294197-d6570666-Reviews-Ewha_Woman_s_University-Seoul.html,Ewha Woman's University
/Attraction_Review-g294197-d1579821-Reviews-Statue_of_Sejong_the_Great-Seoul.html,Statue of Sejong the Great
/Attraction_Review-g294197-d1478599-Reviews-Dongdaemun_Shopping_Complex-Seoul.html,Dongdaemun Shopping Complex
/Attraction_Review-g294197-d3957040-Reviews-National_Museum_of_Korean_Contemporary_History-Seoul.html,National Museum of Korean Contemporary History
/Attraction_Review-g294197-d3694519-Reviews-Ihwa_Mural_Village-Seoul.html,Ihwa Mural Village
/Attraction_Review-g294197-d6378743-Reviews-Alive_Museum_Insadong-Seoul.html,Alive Museum Insadong
/Attraction_Review-g294197-d11918183-Reviews-Stylenanda_Pink_Hotel_Flagship_Store-Seoul.html,Stylenanda Pink Hotel Flagship Store
/Attraction_Review-g294197-d1643534-Reviews-Seoul_Arts_Center-Seoul.html,Seoul Arts Center
/Attraction_Review-g294197-d10020529-Reviews-Seoul_International_Fireworks_Festival-Seoul.html,Seoul International Fireworks Festival
/Attraction_Review-g294197-d9996891-Reviews-Poopoo_Land-Seoul.html,Poopoo Land
/Attraction_Review-g294197-d1163226-Reviews-Jungbu_Market-Seoul.html,Jungbu Market
/Attraction_Review-g294197-d12459260-Reviews-Seoullo_7017-Seoul.html,Seoullo 7017
/Attraction_Review-g294197-d3600495-Reviews-Namsan_Cable_Car-Seoul.html,Namsan Cable Car
/Attraction_Review-g294197-d1418675-Reviews-COEX_Center-Seoul.html,COEX Center
