review_title,review_body
Serene palace,"Honestly, I prefer this palace if compare to Gyeongbokgung Palace. Beautiful landscape and has a mixture of different era building. Some part of the palace was rebuilt after being burned down. Joined a free English walking tour and got to know more about a beautiful story of the king family."
Manageable size,Very much enjoyed wandering around this UNESCO site. Now regret that we didn’t do the Secret Gardens but we were tiring.
Very nice place ,We had a good time visiting this place. We came on weekend and had many locals dressed with traditional clothes. Plenty to do for 2-3 hours. 
Changdeokgung Palace,"Interesting Palace to learn about ancient Korea and its architecture.The English tour guide to the hills and valleys of the Secret Garden was a superb insight to the life and times of the early dynasties.The Palace is spread over a wide area, which is mainly flat, but there are some steep areas, so allow plenty time to visit.Crowds,queues,heat not a problem in September."
Neat experience,Highly recommend visiting at least one palace during your stay to South Korea. We visited two and they were both beautiful.
fun way to discover South Korean history,"beautiful architecture, amazing way to learn about South Korean history. Small entrance fee, was definitely worth the visit. Took about 2 hours to truly visit each part of the palace. Guides were very accommodating, even with limited English"
Fascinating,Don't miss the Secret Garden! Definitely worth pre-booking in advance and one of the highlights of my visit to Seoul. The palace itself is also interesting and very well preserved.
Only worth it with a private guide.,"We took a tour (booked thru trip advisor) where we had a private guide and a choice of destinations. We chose this one since we could do Gyeongbokgung by ourselves. A bit smaller (less walking), but more time for guide to explain things."
Beautiful place not to be missed when in Seoul ,"We visited this place with two children.It is beautiful place and lots to see Highly recommend.Give enough time .Lots of walking .We took English speaking guide,Bit disappointed as she spoke very fast and did not allow group together to catch up.Go early as not to miss changing of guard and visit to Gardens. ."
The most impressive Royal Palace in Seoul,"Changdeokgung Palace is the most well-preserved Palace from the Joseon Dynasty. This is the place where the King and their ministers dicussed about Political affairs and was the residence of the Royal Family, too.As all the palaces, it was burnt during the japanese invasion and, later, it was rebuilt.Do not let to visit the Secret Garden and enjoy its peaceful atmosphere."
My favorite Seoul Palace,"This palace is quieter than the central site. It's close to Bukchon Village and great places to eat and cafes. Just a beautiful, sprawling historical landscape."
Lovely architecture & a feel for Royal living,"Visited this Palace first & picked up a free guide outside the Palace. These are students that are practicing their languages & are very helpful & friendly. They wear orange tops & can be found outside the entrance area. They give an excellent overview without going into too much depth.The Palace architecture is lovely, but the buildings contain very little themselves.Tickets can be purchased to access the secret garden too. This does require an official guide & your given your tour start time. The guide is very helpful & informative & does go into lots more detail. As you meander through the gardens, mainly trees, there are pavilions & water feature areas. The walk/tour does have steeper areas.Both are worth a visit it you want a feel for Royal living "
Must to see,It’s really impressive and worth while to visit! If possible at the sunset time.. as you will have a different experience.. more quite and romantic
lovely palace to visit,"The Changdeokgung Palace is smaller than Gyeongbokgung (faster to see if you are short on time) and quite beautiful. With more time visiting both on the same day is possible. Entry is 3,000 won for adults and 1,500 won for youth, garden an additional 5,000/2,400. The palace can be appreciated wandering on your own or guided tours are available in Korean, Chinese, Japanese, and English throughout the day. It can get a little crowded so a morning visit may be a better option than afternoon (opens at 0900 daily). Really an interesting place and amazing to imagine the royalty living in these buildings not too long ago."
Favorite of the palaces and secret garden was fabulous,"Please do not miss the GARDEN. It was gorgeous and the guide was outstanding. If I had one palace to go to ,this would be it,but I would take the garden over the palace itself if the time was limited. The guide did a wonderful job of conveying the feel of life in the palace and within the garden.This was a favorite activity during my time in Seoul."
The Second Palace Dating Back To 1405,This was a secondary palace of the Joseon Dynasty that ruled from 1392 -1910. The original palace was built in 1405 and was secondary to the bigger palace just down the road. It was destroyed when the Japanese invaded between 1592 -1598 and was rebuilt in 1610. This was an impressive series of buildings and definitely worth a look. Access is via Ext 3 of the Anguk Station.
Secret Garden worth a look!,"We went to the palace on the Korean Thanksgiving Day, so entry was free. However, we had booked a walking tour of the secret garden. The tour was in English, and you can only go into the secret garden with a guide. It is not accessible to the general public. Our guide was very sweet, and very knowledgeable about the history of the palace and the garden. The walk lasts 90 minutes, and there are 4 stops along the way. It is hilly in parts and somewhat shady, but on a warm day a fan is advisable to help keep cool. After the tour we were free to explore the palace, which has many buildings. There was a gift shop where you could also buy a drink but not food. There are 5 palaces in Seoul, but we chose to visit this one purely for the secret garden tour and we were glad we did. "
Charming Palace and Beautiful Secret Garden,"Changdeokgung Palace has a timeless beauty that will make you visit again and again. It is no wonder why the ancient kings and royalties preferred here than the main palace. We are lucky to be in time for the 1030am guided tour into the palace's secret garden, a huge garden with Instagram worthy pavilion. The best pavilion is the one with the mini rice paddy field! "
Go befare the storm,"Beautiful visit, The koreans have rebuilt this site to look very authentic and with a great eye for detail. The buildings itself are beautiful but when you add the awesome scenery in the background it becomes an epic picture perfect experience.To enjoy the experience to the fullest, be sure to arrive early. If you come at noon it is packed with tourist which for me really ruins the experience.HOT TIP!!! If you dress in traditional Korean attire, you can get free access! "
Changing of the guards is a must.,I think many people do not realise that if you visit at either 10 am or 2pm you can see the changing of the guards. If you are visiting it makes sense to see this.The Palace is quite substantial and well maintained. Interesting to watch all the folks dressed in traditional style Korean outfits taking photos!A nice few hours and right next to the Buchan Hanok village. 
"Overall , not over impressed!","It was our first day in Seoul, and having our small rented apartment nearby and it was a free entry day, it was our first visit!If I say it set the tone for similar visits over our 4 days in Seoul , I would not say we were greatly impressed! The great halls are quite impressive in themselves ( although most parts are later reconstructions resulting from hostile events in Japanese/Korean history! However , overall, the site seems to lack any coherence to help the visitor to understand the history of the place! There is very little access INTO any of these buildings and rather too many notices "" Do not step!"" A big minus point in this and seemingly most of the central Seoul historic sites is the use of SAND on most of the pathways in the complex! Seoul seems to be quite a windy city , even when summer temperatures top 35 degrees, everything is covered in a thin layer sand , including visitors! We did pay for a guided tour of the Secret Garden, really not a greatly rewarding experience ( even if you could understand the guide's English ) but you're not allowed to go around except on a tour?"
