review_title,review_body
Lots of “street food” options,"Was initially a bit confused and intimidated by the setup but eventually found it be a very way to discover new food. Not sure who is buying the clothes on sale but the food stalls definitely attract lots of customers. Just need the guts to sit down at one of the places and give the offerings a try. Seems to be segmented a bit by seafood, noodles, etc. Ended up having delicious food for very little money. Food stalls were closing up fast at 3PM when we were there so get there early enough to have options."
Love it!,"We went there as part of our ""explore Seoul"" trip and it was worth it! The atmosphere and energy were unmatched. The ox head meat made it worth the hassle!"
Good for one visit only?,"My family sat at a stall that was empty at the time (but as we finished our lunch all the empty chairs were almost full). Tried the great spicy tteokbokki and shared some mandu (dumplings), gimbap, fish cakes and bibimbap. Perhaps not the best food I ate during my stay, but very decent.The issue I saw was that most food vendors seemed to serve the same dishes and although I can’t compare their cooking styles, this fact would make me think twice to return. When we went to see the Myeongdong Nanta show all the street vendors were offering their innovative cuisine in the streets (including lobster with cheese) and all the stalls offered something different. I wish this market offered that (or at least some type of) dish variety."
Busy food stall market & other stalls,Easy to find from subway exit 9. This market is busy with food stalls & lots of variety. An excellent way to try a little of different korean foods. Other stalls for a whole range of products & goods. Various lanes of stalls spread out so you come back to a central point then take the next avenue. 
A taste of Real Korea ,"We watched Netflix show about street food of Seoul and it was a must do and see for us when we visited Seoul last week. We managed to find the stall from the show which makes the famous mung bean pancakes . The market was so big and it felt like it wasn’t ending. You can find anything there: food, clothes, fabric, sea food ... it’s definitely a must visit in Seoul as you will experience a real Korean culture. "
Korean street food classics,"The Kwangjang (sometimes spelled Gwangjang) market is a real foodie heaven. Many resources on the internet say it closes at 6PM and this may be true for many of the shops, however the food scene seems to be going strong at least until 10:00 PM. Here you will find many street food classics such as mung bean pancakes, Korean blood sausage, dumplings, steak tartare, fresh octopus and many others. All menus are in English, I don’t see why you would book a tour to come here to eat - read up on the Korean street food dishes and venture out on your own - I met several nice Koreans as I was hoping from stall to stall who was very friendly and wanted to share their food culture and their Soju with a total stranger. Geonbae!"
Kalguksu and mung bean pancakes!,"Came here for the knife cut noodles and mung bean pancakes. Loads of shops selling hanboks, traditional decorations and snacks."
"The ""Soul of Seoul""","Street food markets always represent the beating heart of a country.Here, in Gwangjang Market, you can find the true traditional korean food.There is a lot of attractive food; try as much as you can in order to have the most genuine experience possible!"
Just as good on a second visit,Street food in abundance. Live fish for sale and local delicacies (unidentifiable to me). Sitting at a stall or one of the rooms is probably better than getting a take-away as the 'to go' option involves a lot of plastic and polystyrene packaging.
it’s good for tourist to come but the food here is not good," Full of foreigners. Good place to walk around, see different foods, get the market atmosphere, but I wouldn't eat here. obviously it's pricey and targeted tourists. street food in Korea be like plus this market is more expensive."
interesting place to visit,worth a visit to check out the food. didn’t spend that much time here but my favourite stall was the kalguksu (knife-cut wheat flour noodles in soup) and mandu (dumplings) stall made famous by the netflix street food show (happy to report that it is worth the hype and the possible wait for seats as it’s now a hot spot for foreigners thanks to the show). it’s also a good place to shop for fabrics if that’s what you’re looking for!
Food you should try,This market is more about food than other stuff. You can try a lot of diffrent food. If you are around you should try to eat there!
Korean markets,Big markets. Lots and lots of stalls. Dry goods. Cooked food. Textiles. Linen. Toys. Souvenirs. Korean craft. Good to explore especially during rainy day since it is covered. The textile sections on ground and upper floor is enough to make you lost. All good price. Don’t miss out the food stores. We had the noodle and dumpling at one of the Netflix street food featured stores. Not disappointed. 
Fantastic market. ,Went specifically because I watched on Netflix. Found the noodles and dumpling stall and the crab stall. Both amazing. Really good food from wonderful hardworking people. 
Delicious,"Fantastic market with heaps of small street food stalls. Pretty big area covering the block, heaps of stalls to walk around and can sit down to each at eat. Heaps of variety, catering for truly Korean food. Very tasty and fresh."
Great market,"Gwangjang market is a traditional Korean / Asian market. Lots of stalls selling all kinds of edible products, some raw some cooked. A great Street food location or buying some fresh fruit."
Lots to eat,"You are spoilt for choice in the market for eateries. The centre food court has many small stalls that offer pancakes, noodles, rice rolls, live octopus, and more pancakes and more noodles. You can also purchase fresh vegetables, seafood and other raw food for your own cooking as it is a market. Another interesting thing to buy is cloth. Rolls and rolls of colourful and beautiful cloth are for sale here with many shops owners trying to make a living."
Must visit for an authentic and cheap Korean meal,"Gwangjang market is the place to see the locals do their daily marketing. Besides the usual tteokbokki ( spicy ricecakes), you should try the fried mungbean pancakes, served with a delicious soy sauce onion dip. This market caters to the locals, so it is as authentic an experience watching Korean people buy and sell. A food paradise for people who love to eat or cook."
Shopping and eating and clean bathrooms!,"Lots of great shopping and a huge center food court. Great fun, clean, reasonable prices. Loved the clean bathrooms."
Amazing!!!!,"What a colourful and sense evoking experience with so many things to eat, smell, see and be a part of! A fabulous market. The kimchi dumplings and mung bean pancakes were amazing! Some good options if you are vegetarian."
I had a blast ,"This place is a must see to in my book. I had a Seoul Korean native who lived in the States for 25 years give me a tour after moving back to Seoul for the past 11 years. Took me places that tourist would NEVER see and many Koreans don’t even know about it. This was one of his stops and gave me the history of the Market and how it grew and expended over decades. This is the largest traditional Korean markets and is known for food, silk and anything you want to find. You can also book a tour through TripAdvisor "
very disappointed,"Went with my brother to have a good experience as seen online. One of the food stall owners was very pushy and persuaded us to sit down after saying she'd give us ""service"" (free food). We ate some and asked if we could take the rest of the food away as we wanted to leave quickly, still thinking it was ""service"". Also important to note I spoke Korean though I'm not 100% fluent. I was quite naive, and at this point she added more food that we didn't ask for. I then asked how much this would all be(as it was a lot for free food) and she told me it was 16,000won. I then felt pressured into paying because she purposefully gave us a lot of food without asking. The stall owner was very old and our Korean wasn't good enough to argue with her. My brother was also feeling sick. At the time, there were a lot of people as well as the weather being very rainy and humid, so we just wanted to get away as soon as possible. Make sure to be very firm with what exactly you want to eat and always ask straightaway as to how much the food will be or make sure that the food is still ""service"" if offered."
Great Market Place to experience local culture ,"Great Market Place to experience local culture & food. Many tastes of local Korean food like the Korean pancake, noodles, kimchi, gimbap, seafood & etc. Dry preserved seafood can also be found there.The other side of the market is fabric area which closes in the evening after the food market comes alive.Walk around Jungno-gu you can also find fruits & flower markets."
The best food,Tried all the 3 shops that were featured on Netflix. Loved the experience. Netflix 1 Dimsums @ 5000 KRW were delicious2: The raw crab in soya (very expensive 20000 KRW) for a small crab.3. Pan cake (average - nothing special) the experience and the atmosphere is super.
Traditional market,"This one of Korea’s largest traditional markets, with one section selling authentic Korean street food. It is crowded with tourists as well as locals along the narrow alleys. For some stalls, there are some seats for customers who ordered pancakes, Korean dumplings, braised pig's trotters, gimbap, seafood, etc. If you are adventurous, you can try the raw octopus tentacles.There are also stalls selling fruit, vegetables, meat and fresh seafood. I purchased some apples and peaches, which were rather expensive. Suggest you buy fruits from other places."
"Souvenirs, food, something for everyone","No, this is not an upscale, ultra-clean chain department store where credit cards are king -- it is a market with numerous food stalls are centered along the walkways and sellers of fish, produce, silk, souvenirs, kimchi, housegoods and junk line the walkways. For me, all the food looks alike but obviously some are better than others as they are very busy and others have no customers. When in Seoul, one really has to visit -- not necessarily buy, but at least visit."
