review_title,review_body
good food nice shops,"here is a place where you can buy make ups and tons of korean beauty products. they also have some restaus, pharmacies, groceries and street food. live the street food especially the fried banana and glazed strawberries"
Shopping,"Looking to stock up on beauty products, creams and everything you will ever need, this is the street to go.. They do deals for tourists like buy 10 get 10 free plus if you take your passport with you they will give you the vat back on it. You dont need to take your passport but it saves the lines once you get to the airport to claim your vat back"
More of an evening location,"Initially walked around at mid-day and it was deadsville. Lots of shops and restaurants that could be found in multiple other locations. Happened to come back in the early evening and was shocked by the amount of people walking around, the lights and the energy. Don’t regret going but still didn’t feel it was particularly special."
Everything you need is here,"very neat and organised shopping street, good stuffs ranging from cheap until branded.the attractive ones are line shop and art box. the place is also very instagrammableproblem is quite hard to find that can show the direction in English, since the google maps doesn't help a lot in finding certain spots by walking. Still very interesting place to visit even more than 1 time during one visit. will try again to visit during night time with different ambiences of course. Since it would take a lot of walking, good shoes and nice weather/ season choosing would be important."
Delicious food vendors,"The Myeongdong marketplace is a large area offering a large variety of clothing, beauty products, and food vendors. It comes alive after 5:00 PM with young people and tourists converging into the area. Of special note is the “Cookin’ Nanta” theatrical production located in the heart of Myeongdong. A definite “must see”. Also, if you like lobster, the bbq lobster tails with cheese are scrumptious. Numerous street vendors offer this delight."
Lots of food and shopping,Full of tourists and nice ambience for shopping. Good prices and a lot of varieties but a lot of fake goods so beware
Trending market ,"This is a long and small road that has formed a market. Inexpressible by the excitement of this market. This is a street market so it is very fun and too much items.If you are a food lover, this is the street with the most junk food, the price of food is not expensive, only about 10.000won.Besides, this is also a place selling many cosmetics and fashion clothes. From famous fashion brands to ordinary types. The neighboring countries in Asia also see this market as a precursor and create fashion trends for Asia.If you come to this market to shop, you should prepare personal trolleys because there are so many goods here, you will save health and spend more time to shop, enjoy delicious food."
Shopping ,We had no idea how much shopping plays in the lives of the Koreans. This area is like times Square in New York. 
"Very clean, friendly and polite people, interesting and a visual shopping feast","Very interesting varied shopping area. Friendly, helpful and polite venders. Good bargains to be had.At night markets, street food very cheap and delicious. Fascinating to watch the stall holders prep and cook their food- very clean. Area well lit, easy walk, friendly atmosphere, Well worth a visit"
Great place to shop and eat,"Fun, bustling area with plenty of places to shop , people watch and eat. Great Korean restaurants and street food options are plenty and delicious."
Hustling and bursting with food,"We stay at nine tree Myeong-dong2 hotel ,about a block away from the shopping area Nice walk up the litter hill and you are there , after 4pm all the street food stall starting to come out and in no time at all every corner is fill with food stall , prepare to go there with an empty stomach, everything you can imagine it’s there , wow what a place to be I feel like a kid , wanting to try everything, because of so many different type of food we went there 3 night in a roll just to try as much as we can"
Good for an evening vibe,"This is where to come to get the street food in Seoul - there is loads of it available in the evenings. There's also a lot of high street fashion brands, including the Korean affordable brand 8 seconds. Recommend visiting the Myeongdong cathedral at the same time."
