review_title,review_body
Museum ,"Great day, some of the items were closed but it was still worth the visit. It's free! Lots to see. Very large spread area."
"Fantastic memorial, worth it for everyone","Definitely must make a trip to this memorial--my seven year old son loved looking around all of the exhibits, and we easily spent 2.5 hours here. A lot of rich history to be learned, and there are loads of translations in English, Chinese, and Japanese. Easy to get to, about a 5min walk from Samjaki Line 6 station. Every detail of this memorial has been thought out so well, and there are so many amazing places to see here. Free entry as well."
Amazing memorial,"A beautiful memorial to honor those who served in the Korean War. It gives awesome insight to what was happening in Korea as well as the world. This beautiful place honors those who deserve honor. Korea is a beautiful place with a sad history. We had a tour guide that said, ""We can't change our history, but we can change our future."" I was thankful for the opportunity to learn more about that history."
Interesting exhibition,"Interesting exhibition with a lot of detail in an imposing building. The 4D films are a bit contrived and cartoonish as are some of the rooms, but overall an interesting way to learn about the Korean War."
Well worth a visit,"This is a great place to understand the history of Korea, dating right back to 900BC! Entry is free. You can get here via Samjaki station and you enter on the South side.One full days itinerary could be:1. Was memorial2. National Museum of Korea3. Ichon Hangang riverside park4. Seoul national cemetery"
Incredible for Korean and 20th Century History Buffs,"My visit to The War Memorial of Korea was very insightful, as I was able to take in a lot of history of South Korea and the 20th century. It was an incredible overall experience."
Excellent museum with plenty in English.,"And it is free. Outside are plenty of airplanes, tanks, boats including one recently shot up by North Korea. But be sure to go inside to see the exhibits of not just the Korean war, but ancient warriors and ROK's participation in Vietnam."
Incredibly informative,This is a 3F museum with history inside and outside with the inside including history from the dawn of the korean people to the current day practically after the separation of the two Koreas. There is so much information I didnt see it all. Outside there are flags for each country that helped South Korea in the war against the communists and inside includes info on the communist allies China and Russia under stalin. The outdoor exhibits include old war vehicles and giant statues and reliefs of people / soldiers. I can't express what's really inside except that it is a really informative memorial/museum. Entry is free. Lockers provided and a cafe inside. 
Well Presented,"I have visited the War Memorial of Korea over the past several years and it seems to improve with each visit. The information is well presented and honors Soldiers from all nations that contributed to the war efforts. There are many floors/exhibitions to visit and it can be a bit much for just one visit - thankfully the museum is easily access from the metro (just off Samgaki Station - line 4 or 6, exit 10/12 or Namyeong Station - line 1, exit 1) and general admission is free. There is an outdoor exhibit for children and the interior is appropriate for all ages, may appeal more to older children. I would highly recommend a visit to put things in perspective during your visit to Korea."
Impressive!!! ,"Seoul has many state funded museums and forms the ones I've visited or know of, all are well presented. It seems little is spared to put on a hood, high quality show. The National War Museum is no different. It showcases her military history from the earliest period up to the Korean War. You'd be surprised that Korea is not the doormat people perceive. But a proud and sophicated nation. There are things on display that you would not expect and not mentioned in books elsewhere. I've seen pictures of the turtle boat, but to sea in person is a nice experience. Yes is a scaled replica, but it's still impressive. There is also the large outdoor display. With a number of Korean War period planes and tanks. Also other retired items of hardware. You'd have to pay good money to see this elsewhere, but all free in Seoul. There is a B52 bomber, which is smaller than I thought. At the time of my visit, done halls and the outdoor display was closed off for maintenance. There are plenty of toilets, most displays have English and I suppose the only let down is that the giftshop. You can spend a fair few hours here. "
Nice visit,"If you like war museums, this is the place for you. I learned a lot and was quite impressed with the gratitude expressed to the 21 nations that contributed troops or support. "
